འང-དེ	vacant
ཕྱག-རྒྱ-མེད-པའི-མཐས	{C}on account of their being sealed with a seal from the beginning
ཕྱག-རྒྱས-བཏབ-པར	{C}sealed
ཕྱག-རིས	{C}lines of the hand
ཕྱང-ཉེ-བ	{C}does not hang down
ཕྱེ	{C}powder; drew their strength from; brought about (from); brought forth; derives its dignity; exalts; one discerns; discerned; exalted; derived from; come forth (e.g.: bhūta-koṭi-prabhāvita; bodhisattva-prabhāvita; mahāsamudra-prabhāvita; asaṃskṛta-prabh
ཕྱེ-བ	{C}distinction; dissention; breaking up; break; divided; difference; division; one distinguishes; the one ... the other
ཕྱེ-མར-བྱས	{C}grind as finely as they can be ground
ཕྱེད	half
ཕྱེད-པ	know; known
ཕྱི	{C}outwardly; on the object-side
ཕྱི-བཞིན-རྒྱུད-མར-ལོང-བཏགས-ནས	{C}in (quick) succession
ཕྱི-མ	{C}future; last; endng with; final
ཕྱི-མའི-མུ-མཐར	{C}the limit which is further on
ཕྱི-མོ-དང-མེས-པོ-གཉིས-ཀྱི-བདུན-རྒྱུད-ཚུན-ཆད-ཀྱི-བར-གྱི	{C}backwards through seven generations (on both his father's and mother's side)
ཕྱི-མཐའ	{C}in/at the end; from where it ends
ཕྱི-རོལ-ཏུ	{C}expulsion
ཕྱི-རོལ-ཏུ-འགྱུར-ཏེ	{C}expulsion
ཕྱི-སྟོང-པ-ཉིད	{C}emptiness of the object
ཕྱིན-ཆད	{C}in future
ཕྱིན-ཅི-ལོག	{C}contradictory; contradictory view; perverted view; what can upset; perverted; corrupt; wayward view; wrong view
ཕྱིན-ཅི-ལོག-མེད-པ	{C}uncontradictory; unperverted
ཕྱིན-ཅི-ལོག-པ	{C}contradictory; perverted
ཕྱིན-ཅི-མ-ལོག	{C}absence of contradictory/mistaken/perverted views
ཕྱིན-ཅི-མ-ལོག-པ-དེ-བཞིན-ཉིད	{C}non-falseness
ཕྱིན-ན-བསྐལ-པ-ལས-ལྷག-པར	{C}for up to an aeon
ཕྱིན-ནས	{C}attained (to); reached
ཕྱིན-པ	{C}goes; go away/through; walk; come to; journey; the journey will bring to; having entered
ཕྱིན-པ-པ	{C}one who wears a garment made of felt
ཕྱིན-པར	{C}when he has attained/reached; when they have reached; to arrive at
ཕྱིན-པར-འགྱུར	{C}get to; approach; come to; run through; implies; undergo; bear; admits of
ཕྱིར	{C}with reference to; motivated by; beginning with; with the help of; where they began with; directed on; successively; as being; with regard to; linked with; foundation; for the sake of; Origins; (e.g.: etan-nidāna, because; kiṃ nidānam, wherefrom, and f
ཕྱིར-བལྟས	{C}dispersed
ཕྱིར-བཤགས-པར-གྱིས-ཤིག	{C}confesses his error; see their error
ཕྱིར-བཞག-པར	{C}dropped
ཕྱིར-ཀྱང	{C}again
ཕྱིར-ལྡོག-པ	{C}turns (his) back on; returns
ཕྱིར-ལྡོག-པར-འགྱུར-ཏེ	{C}turns (his) back on; returns
ཕྱིར-ལོག-སྟེ-དོང-ངོ-སླར-དོང-སྙམ-མོ	{C}depart; go off; come out of; leaves home (life)
ཕྱིར-མི-ལྡོག	{C}irreversible
ཕྱིར-མི-ལྡོག-པ	 {C}irreversible; turns (his) back on; returns; one who cannot be turned back|{C}depart from; stray away from 
ཕྱིར-མི-ལྡོག-པ-ཉིད-དུ	{C}state of irreversibility
ཕྱིར-མི-ལྡོག-པའི-ས-ལ-གནས-པ	{C}one who stands on the irreversible stage
ཕྱིར-ཕྱོགས-པར-བྱེད	{C}turn his mind away from
ཕྱིར-རྒོལ-པ	{C}provokes hostility; enemy; foe; hostile forces
ཕྱིར-སྨྲ-བ	{C}answer back
ཕྱིར-ཟློག-ཅིང	{C}deter
ཕྱིར-ཟློག-པ	{C}contradict
ཕྱིས	{C}afterwards; in future; later on
ཕྱིས-ཀྱང	{C}again
ཕྱིས-ནས	{C}having shed
ཕྱིས-སོང-སྟེ	{C}would reach
ཕྱོགས	{C}region; country; space; factiousness; wing; alternative; definition of the doctrine; to a limited extent; spot; place; piece of land; {GD:263} thesis
ཕྱོགས-བཅུའི	{C}in the ten directions
ཕྱོགས-ཆ	{C}spot; place; piece of land
ཕྱོགས-ཆོས	{GD:275} property of the position; {GD:684} criterion; {GD:783} first criterion
ཕྱོགས-དང-ཕྱོགས-སུ	{C}in all directions
ཕྱོགས-གནས	{C}placed in a spot; stand at a point
ཕྱོགས-མེད-པ	{C}without locality
ཕྱོགས-ན-གནས-པ	{C}placed in a spot; stand at a point
ཕྱོགས-པ	{C}sloping towards
ཕྱོགས-རྣམས-སྲེག-ཅིང	{C}conflagration on the horizon
ཕྱོགས-ཙམ	{C}merely by way of an outline
ཕྱོགས-ཚིག-སྒྲུབ-བྱེད-དུ-འདོད-པ	{GD:787} fallacy of holding the statement of the thesis as being a proof
ཕྱུགས-རྫི	{C}cattle-keeper
ཕྱུང	issued
ཕྱུང-གྱུར	{C}taken out of
པུས-མོའི-ལྷ-ང	{C}knee(s); knee-cap
རབ	{C}culminating point; boon; choicest; supreme; foremost
རབ-འདས-ནས	{C}more than; overpowering; after rising above; having passed beyond (all bounds)
རབ-བྱེད	{C}investigation; discernment
རབ-དམར	{C}well colored red
རབ-གུས	{C}with respect and affection
རབ-མཆོག	{C}excellent
རབ-རིབ-བཅས	{GD:480} with opthalmia
རབ-ཤེས	{C}knows wisely
རབ-ཤེས-ན	{C}when he wisely knows
རབ-ཏུ	various
རབ-ཏུ-འབབ-པར-འགྱུར-རོ	{C}(shall) rain down to
རབ-ཏུ-འབྱེད-པ	revelation; augmentation; coming forth; distinctive manifestation; cleaves; distinction; divided; cleaving; sub-division
རབ-ཏུ-འབྱུང	{C}is kept going; has spread; goes out into
རབ-ཏུ-འབྱུང-བ	come to pass; takes up the homeless life
རབ-ཏུ-འབྱུང-བར-འགྱུར-རོ	{C}recluse; left the world
རབ-ཏུ-འདྲེན-པ	{C}guide
རབ-ཏུ-འཛིན-པར-འགྱུར-བ	{C}receives; accepts; acquires; take hold of
རབ-ཏུ-འགྱེད-པ	{C}shedding of; emits; gives up; discharges; bestows; lets go; lets loose
རབ-ཏུ-འཇིག-པ	{C}crumble away; brittle
རབ-ཏུ-འཇུག	{C}finds satisfaction
རབ-ཏུ-འཐོབ-པ	{C}acquires; find; receives; gains; regains
རབ-ཏུ-བརྗོད	{C}is called
རབ-ཏུ-བརྩོན	{C}being; substance; energy
རབ-ཏུ-བཤད	{C}revealed
རབ-ཏུ-བསྐོར-པ	turn; spread
རབ-ཏུ-བསྟན-པ	{C}proclaims; reveals; shows; makes known
རབ-ཏུ-བསྟེན-བྱེད	{C}practicing
རབ-ཏུ-བསྟེན-པ	{C}cultivate; indulge in
རབ-ཏུ-བྱེད	{C}get delayed; has idle fancies about; cause (a) delay; prolong (their sojourn in the world)
རབ-ཏུ-བཟུང-བ	{C}exerts; makes tense
རབ-ཏུ-དད-པར-བྱུང-བ	{C}finds faith in
རབ-ཏུ-དང-བ	{C}serenity; serene faith/confidence/belief; trust; confidence
རབ-ཏུ-དབེན-པ	{C}detached; isolated(ness)
རབ-ཏུ-དབྱེ-བ	{C}drew their strength from; brought about (from); brought forth; derives its dignity; one discerns; discerned; exalted; derived from; come forth; recognition; distinction; divided; cleaving; sub-division; is clarified; is brought about; is the prime caus
རབ-ཏུ-དགའ-བ	{C}overjoyed; joyful; joyous; elation; rejoicing; Rapture; exceedingly joyous
རབ-ཏུ-དགའ-བ-སྐྱེ-བ	{C}jubilant
རབ-ཏུ-དགའ-བ-སྐྱེ-བར-འགྱུར-རོ	{C}glad and elated; zest and rejoicing; joy and rejoicing; jubilant
རབ-ཏུ-དགའ-བར-བྱེད-པ	{C}in order to gladden
རབ-ཏུ-དགའ-ཞིང-སྤྲོ-བ	{C}joy and zest
རབ-ཏུ-གདོན-པར-བྱ	{C}spread; turn
རབ-ཏུ-གནས-པ	{C}well-established in
རབ-ཏུ-གཞོག-པར-བྱེད-པ	{C}establishes; introduces to; transfers to; builds; places; deposits in; bestows
རབ-ཏུ-ལྡན-པ	{C}intent on
རབ-ཏུ-མི-དགའ	{C}agitation; tribulation
རབ-ཏུ-མི-ཤེས	{C}not consider wisely
རབ-ཏུ-མཁྱེན-པ	{C}(wisely) knows; knows, in his wisdom; comprehends
རབ-ཏུ-ཉམས-པ	lose; forget; disappear; {C}deficient; failed in
རབ-ཏུ-ཉམས-པ-འགྱུར-བ	{C}impair
རབ-ཏུ-ཉེན	{C}oppression
རབ-ཏུ-ཕྱེ-བ-ཡིན-ནོ	{C}drew their strength from; brought about (from); brought forth; derives its dignity; one discerns; discerned; exalted; derived from; come forth; recognition
༅རབ-ཏུ-ཕྱེ-བ༏-རབ-ཏུ-བཞག-པ	{C}drew their strength from; brought about (from); brought forth; derives its dignity; one discerns; discerned; exalted; derived from; come forth; recognition
རབ-ཏུ-རྣམ-པར-འབྱེད-པ	{C}investigation; discernment; encompassed by; being made to appear
རབ-ཏུ-རྣམ-པར-འབྱེད-པར-བྱེད	investigation; discernment
རབ-ཏུ-རྣམ-པར-འཇིག-པ	{C}collapse
རབ-ཏུ-རྣམ-པར-དབྱེ-པ	{C}investigation; discernment
རབ-ཏུ-རྣམ-པར-རིག-པར-བྱ-བ-མ-ཡིན	{C}cannot be intimated; what cannot be a subject of wise instruction; inconceivable; should/can not be conceived
རབ-ཏུ-རྣམ-པར-སྤྱད-པར-བྱའོ	{C}amuse oneself with
རབ-ཏུ-རྟོག-པ	{C}abolition; removal; avoid(ing)
རབ-ཏུ-རྟོགས	awake; become conscious; understand; knowledge
རབ-ཏུ-རྟོགས-པ	{C}penetrated (to); penetration; assignment
རབ-ཏུ-སྦྱར	{C}associated with; practiced
རབ-ཏུ-སྦྱིན	{C}offering; freely bestow; generosity; donation
རབ-ཏུ-སྒོམ-བྱེད	{C}fosters; brings forth; promote; exalts; cause the distinction
རབ-ཏུ-ཤེས	{C}penetrates to; (is/can be) conceived; conceive; comes under the concept of; (one) can conceive; becomes/is conceivable; have a conception of; recognizes; asserts; claim
རབ-ཏུ-ཤེས-པ	{C}exercise of wisdom; wisely knowing
རབ-ཏུ-སིམ-པར-བྱེད-པ	{C}exhilarated by
རབ-ཏུ-སྨྲ	false teacher; {C}one who utters
རབ-ཏུ-སྤྱོད	{C}proceeds; circulates; be observed; appears; appear; spread
རབ-ཏུ-སྟོན	{C}defines; reveals; exhibits; exhibit; reveal; manifest
རབ-ཏུ-སྟོན-པར-བྱེད	{C}defines; reveals; exhibits
རབ-ཏུ-ཐོབ-པ	{C}acquisition; acquire; acquiring; to win; will win
རབ-ཏུ-ཞི-བར-འགྱུར-རོ	{C}will get rid of
རབ-ཏུ-ཞི-བར-བྱ-བ-ཡིན	{C}appeases; blow out
རབ-ཏུ-ཞི-བར-བྱེད-པ	{C}allayer; appeasing
རབ-ཏུ-ཞུགས-པ	{C}set out for
རབ-ཏུ-ཞུགས-པར-གྱུར	{C}set out for
རབ-ཏུ-ཟིན	{C}taken hold of
རབ-ཞི	{C}peace; calm
རབ-ཞི-བ	{C}calm; quiet(ed); calmly quiet
རགས-པ	ignorant; huge; tangible; material; {N} gross objects; {GD:131} extended objects
རགས-པར-སྣང-བ	{GD:134} impression of extension
རང	{C}one's own; self; himself; myself; for themselves; his own
རང-འབྱུང	{C}Self-existent; cognition of the Self-existent
རང-འཛིན-མེད	{C}no sense of ownership; no I-making
རང-བྱུང-གི-ཆོས	{C}dharmas of the Self-existent
རང-བཞིན-གཅིག-པ	{C}having one single essential nature; {GD:284} identity in nature
རང-བཞིན-གྱི-འོད	{C}natural splendor
རང-བཞིན-གྱི-མདོག	{C}color
རང-བཞིན-གྱི-སྐུ	{C}his own natural body; which come naturally to
རང-བཞིན-གྱིས	{GD:228} naturally existing similarities
རང-བཞིན-གྱིས-སྟོང	{C}empty in (their) own-being
རང-བཞིན-མེད	{C}to be without own-being; absence of own-being
རང-བཞིན-ཡིན-པ	{C}to have the self-nature of
༅རང-བཞིན༏-ངོ-བོ-ཉིད	{C}final nature [e.g.: evaṃ svabhāva, of such an own-being; abhāva-svabhāva, non-existent own-nature]; natural; essential; essence; in its own-being; state of own-being; made; consists of; grows; has become; (there has been) born
རང-དབང	{C}as an independent entity
རང-དབང-དུ-འབྱུང-བའི-ཕྱིར	{C}it occurs as an independent reality
རང-དབང-དུ-གྱུར-པ-ལགས-ཀྱང	{C}a private (nirvāṇa) of his own
རང-དབང-པ	sovreignty
རང-གི-དོན-རྗེས-སུ-ཐོབ-པ	{C}their own weal accomplished
རང-གི-དོན-སྦྱར-བ-ལ-རྗེས-སུ-བརྩོན-པར-བྱ	{C}devotes himself to his own welfare
རང-གི-མངོན-པར-ཤེས-པ	{C}his own higher knowledge
རང-གི-མངོན-པར-ཤེས-པས-རྟུལ-བ	{C}the courageous advance towards their own higher knowledge
རང-གི-མཚན-ཉིད-ཀྱིས-སྟོང-པ	{C}empty of own-marks
༅རང-གི-མཚན-ཉིད།-རང-མཚན	specifically characterized phenonenon; own-characteristic
རང-གི-ངོ-བོ-ལ-གནས-པ	{GD:122} abiding within their own nature
རང-གི-ངོ-བོ-ལ-རང-རིག	{GD:598} self-cognition with respect to its own nature
རང-གི-ཕ-ཐ	{C}ancestral
རང-གི-རིགས	belonging to one's own kind
རང-གི-ས	{C}their own stage
རང-གི-ཡུལ-ནས-འདུ-བ	{C}in his own home
རང-གསལ-བར-སྨྲ-བ	{GD:592} self-relevatory cognition (the position of Dharmakirti, as well as, the Prābhākara Mīmāṃsakas and Advaitin Vedāntins)
རང-མཚན	 specifically characterized phenonenon; own-characteristic|{N} self-character; {GD:112} specific defining property 
རང-ཉིད	{C}of their own accord; on their own
རང-རང-གི	their; {C}each one (in) his/their own
རང-རང-གི-སྟན-ལ-དགའ-བར-མི-འགྱུར-བ	{C}they do not enjoy themselves on their respective seats
རང-རྒྱལ	{C}condition; conditioned; reason; pratyekabuddha
རངས-པ-དང-ཡིད-བདེ-བ-སྐྱེ-སྟེ	{C}exultant and glad; overjoyed and enchanted; full of zest and gladness; full of joy and zest; exultant and jubilant
རངས-པར-བྱེད-པ	{C}gladdens
རས-བལ-གྱི-འདབ-མ	{C}cotton wool; a ball of cotton wool
རྡིང	{C}pond; pool
རྡོ-བ	{C}stone
རྡོ-བ-མེད-པ	{C}free from stones
རྡོ-རྗེ	{C}diamond; thunderbolt
རྡོ-རྗེ-ལྟ-བུ	{C}adamantine (e.g.: samādhi; dharma; jñāna; parṣad); like a vajra
རྡོ-རྗེ-ལྟ-བུའི-སེམས	{C}adamantine thought
རྡོ-རྗེ-མཉམ-པ-ཉིད	{C}self-identity of the vajra(?)
རྡོ-རྗེ-ཉིད-པ	{C}vajra-ness
རྡོ-རྗེའི-སྙིང-པོ	{C}(to be) a vajra in embryo; vajra-womb
རྡོ-རྗེའི-སྙིང-པོ-ཅན	{C}(to be) a vajra in embryo; vajra-womb
རྡོག	{C}point
རྡུལ	{C}dirt; {GD:594} energy
རྡུལ-དང-བྲལ	{C}dispassionate
རྡུལ-མེད	free from passion
རྡུལ-ཕྲ-རབ	{C}atom
རྡུལ-ཕྲ-རབ-ཀྱི-ཚོགས	{C}collection of atomic qualities
རྡུལ-ཕྲན	{GD:126} atom
རྡུལ-ཕྲན-ཆ-མེད	{GD:281} [generic] partless particle
རྡུལ-ཕྲན-དུ-གནས	{GD:147} atomically
རྡུལ-རྫ	{GD:155} atomic substance
རྡུལ-ཙམ	{C}atom; smallest thing; least
རྡུམ-པོ	{C}cripple
རྡུང-བ	{C}beating
རྫ-སོ	{C}(earthen) jar
རྫས	{C}actual reality; thing in itself; as an actual reality; own; (for) himself; what is his
རྫས-ཀྱི-ཆ	{GD:147} substantial parts
རྫས-ལ-དགག-གྲུབ-མི-བྱེད	{GD:247} it is not possible to establish or refute anything in direct reference to a substance
རྫས-མེད-པ	{C}not actually real
རྫས-སུ-མེད-པ-ཉིད	{C}non-substantiality
རྫས-ཐམས-ཅད-ཡོངས-སུ-བཏང-བ	{C}renunciation of all that is his
རྫི-བ-མཆོག-གི-འདྲ-བ	{C}like those of an excellent cow
རྫི-མ	{C}eye-lashes
རྫོགས	{C}perfectly
རྫོགས-པ	{C}perfectly; full of; the fullness of; full; developed; large; entire
རྫོགས-པའི-བྱང-ཆུབ	{C}perfection
རྫོགས-པར-བྱ-བ	{C}penetration
རྫུ-འཕྲུལ	{C}majesty; potency; wonderworking powers; ability to work wonders
རྫུ-འཕྲུལ-གྱི-ཆོ-འཕྲུལ	{C}wonder; wonder-working powers; the miraculous wonderworking power; miracle
རྫུ-འཕྲུལ-གྱི-རྐང-པ	{C}roads to psychic power; bases of psychic power
རྫུ-འཕྲུལ-གྱི-རྣམ-གྲངས	{C}perverted; new; what can upset
རྫུ-འཕྲུལ-མངོན-པར-འདུ-མཛད-པ	{C}wonderworking power
རྫུ-འཕྲུལ-མངོན-པར-འདུ-མཛད-པ-མངོན-པར-མཛད-དེ	{C}exercised his psychic power
རྫུན-པ	{GD:504} illusory
རྫུས-ཏེ-སྐྱེ-བ	{C}miraculously; apparitionally
རེ	{C}enjoyment; relishing; aspires for
རེ-བ	{C}expects; desire
རེ-བ-མེད-སེམས	{C}his mind free from hesitation
རེ-བར-བྱའོ	{C}one must expect; should be expected; should expect
རེ-རེ	{C}each one; a single one; one single; each single; each singly; each one singly by himself; one by one
རེད-མདའ-བ	{GD:310} Ren-da-wa [p.n. of a Sa-gya lama who was one of Dzong-ka-ba's teachers] (1348/9-1412 ce.)
རེག	{C}touched (by); in contact with
རེག-འདོད	{C}generate longing for
རེག-བྱ	{C}touchable; touch
རེག-པ	{C}touched (by); in contact with
རེངས-པ	{C}be stiff with fright
རྒ	decay
རྒ-ཆེན-པོ	{C}sublime; exalted; an uncommon degree of
རྒས-ཤིང	{C}(very) aged
རྒོད-ཅིང	{C}puffed up
རྒོད-པ	{C}raised; elevated; prideful; puffed up; conceited; agitated; laughing; unsteady
རྒོད-པར	{C}unsteady
རྒོལ-བ	{C}question; censure; rejection; adversary; contradiction; refusal; answer; fight; reply; rejoinder; defendant; opponent
རྒྱ-ཆེ	{C}Expanded Text(s); abundance; vast
རྒྱ-ཆེ-བ	{C}wide; abundant; expand; expanded; in detail; to explain in detail
རྒྱ-ཆེན	{C}many; all; large; long; very much; sublime; exalted; an uncommon degree of
རྒྱ-ཆེན-པོ	{C}sublime; exalted; an uncommon degree of · 
རྒྱ-ཆེན-པོ-རྒྱ-ཆེན-པོ	{C}very sublime
རྒྱ-ཆེར	{C}in detail; expanded; in full; for the most part; more and more; again and again; still more; wide; large; abundant
རྒྱ-ཆེར-བ	expanded; in detail
རྒྱ-མཚོ	{C}great flood
རྒྱ-མཚོ-འདྲ-བ	{C}ocean-like
རྒྱ-མཚོ-ཆེ-བ	{C}great ocean
རྒྱ-མཚོ-ཆེན-པོ	{C} [great] ocean
རྒྱ-མཚོ-ལྟ-བུ	{C}vast like the ocean
རྒྱ-མཚོའི-ཆུ	{C}watery ocean
རྒྱ-མཚོའི-ཕ-རོལ-ཕྱིན-པར-འགྱུར	{C}travel to the other shore and reach it
རྒྱ-མཚོར-འཇུག-པ	{C}sea-going (?)
རྒྱལ	{C}victory
རྒྱལ-བ	{C}victor
རྒྱལ-བའི-རིང-བསྲེལ	{C}relics of the Jina
རྒྱལ-བའི-ཡོན-ཏན	{C}victor-qualities
རྒྱལ-ཆེན-བཞིའི-རིས	{C}the divinities belonging to the four Great Kings
རྒྱལ-ཆེན-བཞིའི-རིས-ཀྱི-ལྷ-རྣམས	{C}the gods of the Four Great Kings
རྒྱལ-ཆེན-པོ-བཞི-པོ-དག	{C}the four Great Kings
རྒྱལ-ཆེན-རིས	{C}the divinities belonging to the four Great Kings
རྒྱལ-མཚན	{C}banner; ensign; flag
རྒྱལ-མཚན-དཔལ	{C}glorious ensign
རྒྱལ-ནས	{C}transcending
རྒྱལ-པོའི-བུ-ཞིག	{C}prince
རྒྱལ-པོའི-ཁབ	{C}name of a town
རྒྱལ-པོའི-མཐུས	{C}royal might
རྒྱལ-པོའི-ཕོ-བྲང-འཁོར	{C}capital; royal city
རྒྱལ-རིགས	warrior and ruling caste
རྒྱལ-རིགས-ཆེ-ཞིང-མཐོ-བ	{C}good warrior family; good families, i.e., nobles
རྒྱལ-སྲས	{C}son of the Jina
རྒྱལ-སྲིད	{C}kingship
རྒྱལ-སྲིད-གནས-ནས	{C}established as the ruler of a kingdom
རྒྱན	{C}mass; (miraculous) harmony; display
རྒྱང-མ-ནས	{C}from a distance
རྒྱང-རིང-དུ-བྱེད-པར-འགྱུར	{C}move away from; keep aloof from
རྒྱང-རིང-པོ-ན	{C}athwart
རྒྱས	{C}broad; in full; in detail; singleness; compact; well-developed; thick; muscular; full (of); fullness (of); fulfilled; complete; fully developed; large
རྒྱས-བཏབ-པ-ལྟ-བུར	{C}sealed
རྒྱས-པ	{C}(over) crowded; with prominences; in (full) detail; in extenso; in its full breadth; in greater detail; extensive; widespread
རྒྱས-པ-བྱེད-པར-འགྱུར	{C}strengthens
རྒྱས-པའི	{C}is inflated
རྒྱས-པའི-བསྟན-བཅོས-ཚད-མ-རྣམ-འགྲེལ-གྱི-བཀའ-འགྲེལ-དགོངས-པ-རབ-གསལ-ཞེས-བྱ-བ-མཁས-པའི-དབང-པོ-བསོད-ནམས-གྲགས-པས-མཛད-པ-བོལ-གསལ-མཁས-པའི-མགྲིན-རྒྱན	{GD:846} Paṇ-chen S#ö-nam-drak-b#a's (paṇ chen bsod nams grags pa) The Throat Ornament of Clear-minded Scholars Composed by the Mighty Scholar Sö-nam-drak-ba called Commentary on the Teaching, the Complete Revealer of the Thought of the Extensive Treatise
རྒྱས-པའི-བསྟན-བཅོས-ཚད-མ-རྣམ-འགྲེལ-གྱི-དོན-འགྲེལ-རྒྱལ-ཚབ-དགོངས-པ-རབ-གསལ-ཞེས-བྱ-བ-ལེའུ-དང-པོའི-དཀའ-བའི-གནས-ལ-དོགས-པ-གཅོད-པ-འདི-ནི-རྗེ-བཙུན-ཆོས-ཀྱི-རྒྱལ-མཚན-དཔལ-བཟང-པོའི-གསུང-རྒུཡན-ལགས-སོ	{GD:844} Jay-d#zün Chö-g#yi-gyel-tsen's (rje btsun chos kyi rgyal mtshan) Stream of Sayings of the Noble and Glorious Jay-d#zün Chö-g#yi-gyel-tsan, the Elimination of Qualms with Respect to the Difficult Points of the First Chapter, Called the Complete Re
རྒྱས-པའི-བསྟན-བཅོས-ཚད-མ-རྣམ-འགྲེལ-གྱི-ངག-དོན-རྣམ-པར-བཤད-པ-ཀུན-ཏུ-བཟང-པོའི-འོད-ཟེར	{GD:842} Go-ram-pa's (go rams pa bsod nams seng ge) The Perfect Light Explaining the Meaning of the Words of the Extensive Commentary on [Dharmakīrti's] "Valid Cognition" (The Complete Works of the Great Masters of the Sa-sKya Sect, XI)
རྒྱས-པའི-བསྟན-བཅོས-ཚད-མ-རྣམ-འགྲེལ-གྱི-རྒྱ-ཆེར-བཤད-པ-རིགས-པའི-རྒྱ-མཚོ	{GD:845} Kay-drup's (mkhas grub) Extensive Explanation of the Extensive Commentary on "Prime Cognition," the Ocean of Reasoning (Collected Works, X)
རྒྱས-པར-འགེངས-པ	{C}radiation; radiant
རྒྱས-པར-བཀང	{C}irradiate; radiate (over)
རྒྱས-པར-དགང-བར	{C}irradiate; radiate (over)
རྒྱུ	{C}comparison; reason; for the sake of; linked with; foundation; Origins; because; wherefrom and for what reason?; on the strength of that; as a result of; that link; observation; performance; proceeds; takes place; move forward; spread;causality
རྒྱུ-བ	{C}proceeds; takes place; move forward; spread
རྒྱུ-ལས-བྱུང-བ	{C}because of; the cause of
རྒྱུ-མེད-པ	{C}without a cause
རྒྱུ-མཐུན	{C}outpouring; outcome
རྒྱུ-མཐུན-པ	{C}outpouring; outcome
རྒྱུ-མཚན	{GD:119} other factors
རྒྱུ-ཕྱིར	{C}because; wherefrom and for what reason?; on the strength of that; that link
རྒྱུ-རྣམ-གཉིས-ཀྱིས	{C}for a double reason
རྒྱུ-ཚོགས-པ	{GD:88}causal complex; {GD:153}causal aggregate
རྒྱུ-ཞིང-སོང	{C}'wanders along'; understanding
རྒྱུད	{C}birth; species; kind; different varieties; lineage;{GD:515} indirect (as opposed to direct, dngos)
རྒྱུད-ལེགས-པར-འབྲེལ	{C}tightly knit
རྒྱུད-པ	ruin; fall(ing) away from
རྒྱུད-པར-རྒོལ	{C}disputations and talk
རྒྱུག	{C}flow towards; rubs off (?)
རྒྱུན-ཆད-པར-འགྱུར	{C}forget; is annihilated; is cut off
རྒྱུན-ཆགས-ཡིན-པ	{C}making a continuous series
རྒྱུན-གཅོད	{C}abolish; shrivel up
རྒྱུན-མ-ཆད-པ	{C}not unfixed; not discontinous; the same confusion at
རྒྱུན-མི-ཆད-པ	{C}assembly; joined; same; like; promise; agree; complete; measure; mete out; commensurate; always; uninterrupted; constant(ly and always); always; non-interruption
རྒྱུན-མི-ཆད-པར-བྱ-བ	{C}non-interruption
རྒྱུས	{C}linked with; foundation; for the sake of; Origins; because; wherefrom; and for what reason?; that link; as a result of
རྒྱུས-ཤེས-བྱ-བའི-ཕྱིར	{C}so as to get acquainted with
རི	{C}people(?)
རི-དྭགས	{C}beasts; black antelope
རི-དྭགས-ཨཻ-ན-ཡའི-བྱིན-པ-ལྟ-བུ	{C}his shanks are like those of an antelope
རི-དྭགས-ཀྱི-རིགས-ཕྲ-མོ	{C}smaller wild animals
རི-དྭགས-རྒྱར-ཆུད-འདྲར	{C}like a snare/trap/net for wild beasts
རི-མོར-བགྱིས-པར-འགྱུར	{C}adore
རི-མོར-བྱ-བ	{C}revered
རི-མོར-བྱེད	{C}adore
རི-རབ-འདྲ	{C}fashioned like Meru
རི-སུལ	{C}mountain cave
རི-ཡི-སུལ	{C}mountain cave
རིའི-ཕུག	{C}mountain cleft
རིག-བྱ	{C}accessible to experience
རིག-པ	{C}lore; existence; science(s); secret lore; magical formula; discern(ing); have understood; convinced; having known/seen/noticed
རིག-པ-མེད-པ	{C}unfindable; cannot be known
རིག-པར-བྱའོ	{C}one should look through to/understand; must see through; should be understood; should understand; expects; desire; one must expect; should expect; should be expected
རིག-པར-མེད-པ	{C}unfindable; cannot be known
རིག-སྔགས	{C}lore; existence; science(s); secret lore; magical formula
རིག-སྔགས-འཆང	{C}sorcerer
རིག-སྔགས-འཆང-བ	{C}sorcerer
རིག-སྔགས-ཆེ	{C}a great lore
རིགས	{C}family; clan; grows; has become; (there has been) born; birth; species; different varieties
རིགས-འགྲོ-བའི	{C}of those who belong to the clan
རིགས-ཅན	{GD:269} manifold instances (lit. typified)
རིགས-དང-ལྡན-པ	{C}of good birth; of (noble) family; belonging to a family
རིགས-དམའ-བ	{C}low-class family
རིགས-གནས-རིགས	{C}those who are reborn in the families of men and gods, respectively
རིགས-ཀྱི-ནང-ན-རྒན-པ-ལ-རིམ-གྲོ-བྱེད-པ	{C}honoring the elders of the family
རིགས-ཀྱི-རྣམ-པ	{C}the stage of becoming (where one becomes) one of the lineage/clan; level of the lineage
རིགས-ཀྱི-ས	{C}the stage of becoming (where one becomes) one of the lineage/clan
རིགས-མཐུན-པ	{C}is of the same/like kind; {GD:150} similar type
རིགས-པ	{C}method; standard; rule; that type of reasoning which employs logical principles and analysis; fitting; seemly
རིགས-པ-དང-ལྡན-པར	{C}adroitly
རིགས-པ-ལྡན-ཚིག-སྨྲ	{C}he speaks suitably
རིགས-སྤྱི	{GD:176} type-universal
རིགས-ཡིན-འགྲོ-བའི	{C}of those who belong to the lineage
རིལ-པོར-འཛིན-པ	{C}seizing on a material object
རིམ-གྲོ	{C}help; service; act of worship
རིམ-གྲོ-བྱེད	{C}busy oneself about
རིམ-གྲོ-བྱེད-པ	{C}serving upon
རིམ-གྲོ-ལས	{C}service
