ཀ-ངོས	cylinder
མ-དཔེའི-སྒྲ	sample sounds
མ-པང	main board
མ-པང-སྒྲིག-གཞི	board infrastructure
མ-ཚིགས	primary station
མ-ཟིན	draft copy
མ-འཇུག-པ	unloaded
མ-འབྱོར-བའི-བརྡ-ཐོ	nonreceipt notification
མ-ཡིག	original document
མ-རྙེད	not found
མ-ལག-གི-སྒྲིག-གཞི	architecture
མ-ལམ-གཙོ-བོ	backbone
མ-ལམ-གློག-ཐགས	trunk cable
མ-ལམ-ཟུང-སྦྱོར-སྡེ-ཚན	trunk coupling unit
མ-ལམ-སྦྲེལ-མཐུད-སྡེ-ཚན	trunk connecting unit
མ-ལེན-པ	not receiving
མ-སྐུད-དྲ-རྒྱ	bus network
མ-སྐུད-ཟློས-ཕྱོད	bus frequency
མ-སྐུད-འཇགས-བརྡ	bus-quiet signal
མ-སྐུད	bus
མ-སྤྱོད	don't use
མཁའ-རླུང-སྡུད-མགོ	air-floating head
མཁས-ནག	hacker
མཁས-པ-རྒྱུད-ཁོངས	expert system
མཁས-པ	expert
མཁོ-ཕབ-བཟོ	create a copy
མཁོ-ཕབ-མཉམ-སྒྲིལ	copy merged
མཁོ-ཕབ-མཉེན-མ	soft copy
མཁོ-ཕབ-ལེན-མཁན	copy recipient
མཁོ-ཕབ-སྲ-མོ	hard copy
མཁོ-ཕབ-སྲུང-སྐྱོབ	copy protection
མཁོ-ཕབ	to copy
མཁོ-མཁན-ཞབས-ཞུ-ཆས	client-server
མཁོ-མཁན-གྱི-གནས-ཡུལ	client address
མཁོ-མཁན-དབང-གནང-དཔེ-རྣམ	client licensing mode
མཁོ-མཁན-ཕྱོགས	client side
མཁོ-མཁན-འཕྲུལ-ཆས	client
མཁོ-མཁན-སྣེའི-སྒྲིག-འགོད	client settings
མཁོ-མཁན	clients
མཁོ-འདོན-བྱེད-མཁན	provider
མཁྲེགས-ཆས-གསར-པ-མཐོང	found new hardware
མཁྲེགས-ཆས-ཇུས-འགོད-སྐད-བརྡ	hardware design language
མཁྲེགས-ཆས-ནོར-སྐྱོན-བཤེར-དཔྱད	hardware error detection
མཁྲེགས-ཆས-ཞུགས-གྲངས	hardware arguments
མཁྲེགས-ཆས-ལྟ-སྡོམ	hardware monitor
མཁྲེགས-ཆས-སྒྲིག-འཇུག	hardware install
མཁྲེགས-ཆས-སྤོ-ཆོག	safe to remove hardware
མཁྲེགས-ཆས	hardware
མཁྲེགས-དབྱེ-ཡབ-ཁུལ	hard sectoring
མག-མོག-ལིང-ཚེ	confusion matrix
མགོ-གྲངས	characteristic
མགོ-ནས-འོག	top-down
མགོ-བརྗོད	heading
མགོ-ཡིག	initial
མགོ-ཤོག-ཕྱིར-འདོན-དུས-ཚོད	cover page output time
མགོ-སྐོར	to spoof
མགོ-སྣེ	headend
མགྱོགས-མྱུར-བར-ཁུལ	cache
མགྱོགས-མྱུར-སྡུད-འགོད	rapid enrollment
མགྱོགས-མྱུར	fast
མགྱོགས-ཚད-ལྡབ-མ	double speed
མགྱོགས-ཚད	speed
མགྲོན-པོ	guest
མང-བསྒྲགས	multicast
མང-འདེམས-སྒྲོམ	checkbox
མང-འདེམས	multiple selection
མང-སྤྱོད-བསལ-བ	demultiplexing
མང-སྤྱོད	multiplexing
མངགས-ཉོ-མཁན	subscriber
མངོན-ཁཱ-ཉིང-ལྷེབ	video chip
མངོན-ཁཱ	display adapters
མངོན-གསལ	highlighting
མངོན-གྱུར-རྗེས-ཀྱི-དཔྱད-བརྗོད	post-implementation review
མངོན-ཆས-ཀྱི-ཆེ-ཆུང	monitor size
མངོན-ཆས	monitor; display device
མངོན-མེད-གནས-འཚོལ	implicit addressing
མངོན-མེད-གསལ-བཤད	implicit declaration
མངོན-མེད-དབང-རྩའི-རྒྱུ	hidden neuron
མངོན-མེད-མཁོ-ཕབ-ལེན-མཁན	blind-copy recipient
མངོན-མེད-ལེན-མཁན	potential recipient
མངོན-འགྱུར	implementation
མངོན-སྟོན-ཁ-མདོག	display color
མངོན-སྟོན-ཁཱ	display adapters
མངོན-སྟོན-གཞི-རྒྱུ	display element
མངོན-སྟོན-གྲུབ-འབྲས	display effect
མངོན-སྟོན-ངོས	display surface
མངོན-སྟོན-ཆེ-ཆུང	display size
མངོན-སྟོན-ཉིང-ལྷེབ	display chip
མངོན-སྟོན-བཀའ-བརྡ	display instruction
མངོན-སྟོན-བཀའ	display command
མངོན-སྟོན-བར-སྟོང	display space
མངོན-སྟོན-མཐུད-ཁ	display interfaces
མངོན-སྟོན-ཚན-བྱང	display columns
མངོན-སྟོན-ཚོད-འཛིན-སྟེགས-བུ	display console
མངོན-སྟོན-རྩིས-ཆས	display calculator
མངོན-སྟོན-རྩོལ-ནུས	display functions
མངོན-སྟོན-སྒེའུ-ཁུང	display window
མངོན-སྟོན-སྡུར-ཚད	show scale
མངོན-སྟོན	display
མཆན-མདོག	note color
མཆན-འགྲེལ	comment; annotation; remark; note
མཆོང-པ	jump
མཆོང-བ	skip
མཆོང-འགྱུར	transition
མཆོང-སྤོ	jump
མཇུག-གྲངས	mantissa
མཇུག-ཏུ-སྤོ-བ	move to end
མཇུག-ཕྲེང	bottom row
མཇུག-མཆན	endnote
མཇུག-མའི-ཕྲེང-ཧྲེང	orphan; orphan line
མཇུག-ཚིགས	terminal node
མཇུག-ཚེག	end node
མཇུག-འབྲས-ཕྱིར-འདོན-སྲིང-བའི-རྩོལ-ནུས	extended result output function
མཇུག-འབྲས	result
མཇུག-སྒྲིལ-གནས-ས	finish position
མཇུག-སྒྲིལ-བྱ-རིམ	end program
མཇུག-སྒྲིལ-ཚེས-གྲངས	end date
མཇུག-སྒྲིལ-ལས-བྱ	terminate job
མཇུག-སྒྲིལ	end
མཇུག-སྡུད-སྒྲིག-གཅོད-བྱ-རིམ	postprocessor
མཇུག-སྡོམ-ཆ-ཤས	conclusion part
མཇུག-སྣེ-ཚིགས-ཚེག	endpoint node
མཉམ-གཡོ-རྩེ	formant
མཉམ-གཡོ-རྩེའི-འདྲེས-གྲུབ	formant synthesis
མཉམ-གཤིབ-མཐུད-ཁ	parallel port
མཉམ-གཤིབ-འཁོར-སྐྱོད	parallel run
མཉམ-བསྲེས-དཔེ-རྣམ	mixed mode
མཉམ-བསྲེས-ཞབས-གྲངས-གྲངས-ལུགས	mixed base numeration system
མཉམ-བསྲེས-རིགས-གྲས	mixed type
མཉམ-བསྲེས-རིམ-དབྱེ-སྒྲིག-གཞི	mixed hierarchy
མཉམ-བསྲེས-རྨང-གྲངས-གྲངས-ལུགས	mixed radix numeration system
མཉམ-བསྲེས-སྐད-ལམ-ནས-ཕྱིར-འདོན	mixed sound output
མཉམ-བསྲེས	mixed
མཉམ-བྱུང	concurrent
མཉམ-བྱུང-བརྒྱུད-རིམ	concurrent processes
མཉམ-འདུས-བརྙན-འཕྲིན-ཕྱིར-འདོན	compound video output
མཉམ-འདུས-ཚུལ-གྱི-རིགས-གྲས	composite type
མཉམ-འདྲེས	contamination
མཉམ-འབྲེལ-ཆ-འཕྲིན-ནང-དོན	joint information content
མཉམ-སྒྲིག-ཚོད-ལྟ	integration test
མཉམ-སྒྲིལ	merge
མཉམ-སྤྱོད-གཞི-གྲངས	shared data
མཉམ-སྤྱོད-གྲངས-ཐང	shared variable
མཉམ-སྤྱོད-དབང-ཐོབ-དྲ-རྒྱ	weight-sharing network
མཉམ-སྤྱོད-པར-འཁོར	shared printers
མཉམ-སྤྱོད-བྱ-ཆོག	enable sharing
མཉམ-སྤྱོད-བྱེད-སྟངས	shared as
མཉམ-སྤྱོད-མཚམས-འཇོག-པ	stop sharing
མཉམ-སྤྱོད-ཡིག-ཁུག	share the folder
མཉམ-སྤྱོད	share
མཉམ-སྦྱོར-བྱ-རིམ	coroutine
མཉམ-སྨོ-གློག-གནོན-ཆེ-ཤོས	maximum common mode voltage
མཉེན-གཤིས-བཟོ-སྐྲུན-རྒྱུད-ཁོངས	flexible manufacturing system
མཉེན-ཆས-ཐུམ-བུ	software package
མཉེན-ཆས-བེད-སྤྱོད-གྲོས-ཆིངས	software license
མཉེན-ཆས-མཛོད	software library
མཉེན-ཆས-འཁྲོལ-འཛིན-གྲོས-མཐུན	software license
མཉེན-ཆས-རྐུས-དཔར	software piracy
མཉེན-ཆས-ལག-ཆ	software tool
མཉེན-ཆས-ལས-གྲྭ	software engineering
མཉེན-ཆས	software
མཉེན-དབྱེ-ཡབ-ཁུལ	soft sectoring
མཉེན-སྐུལ	flopy driver
མཉེན-སྐྱོན	soft error; transient error
མཉེན-སྡེར-ཆུང-བ	diskette
མཉེན-སྡེར	floppy disk
མཐའ-ཐག	margins
མཐའ-ཐག-འོག-མ	margins bottom
མཐའ-མ	last
མཐའ-མང-ཁ-སྐོང	polygon fill
མཐའ-མཚམས	border
མཐའ-མའི-སྤྱོད-པ-པོ	end user
མཐའ-སྐོར	surround
མཐའ-སྒྲོམ-ཆེ-ཆུང	border size
མཐའ-སྒྲོམ-བཟོ-ལྟ	border style
མཐའ-སྒྲོམ-མེད-པ	no borders
མཐའ-སྒྲོམ	bounding box; borders
མཐའ-སྣེ	terminal
མཐར-སྣེའི-སྤྱོད-མཁན	end user
མཐིལ-ལ-སྙོམ-གཤིབ-བྱེད-པ	align bottom
མཐུད-ཁ	port; interface
མཐུད-ཁའི-གནས-ཡུལ	interface's address
མཐུད-ཁའི-ཨང-རྟགས	port number
མཐུད-ངོས	interface
མཐུད-པའི-འདྲེས-གྲུབ	concatenation synthesis
མཐུད-བརྟན-དུས-ཚོད	turn-on stabilizing time
མཐུད-མངག	renewal
མཐུད-འཁོར	switch
མཐུད-འཇུག	cutover
མཐུད-རྟགས-མཉེན-པོ	soft hyphen
མཐུད-རྟགས-སུབ-པ	hyphen drop
མཐུད-རྟགས-སྲ-མོ	hard hyphen
མཐུད-རྟགས	hyphen
མཐུད-སྐྱེལ	extended
མཐུད-སྒོ	switchpoint
མཐུད-སྦྲེལ-འཕྲིན-ཡིག	chain letter
མཐུན-པ	conform
མཐེབ-གང-རུང-གིས-མཚམས-འཇོག	any key abort
མཐེབ-གཅུས-ཆེ-བ	large buttons
མཐེབ-གཅུས-མགོ-ལེབ	flat button
མཐེབ-གཅུས-ཟོལ-མ	virtual push button
མཐེབ-གཅུས-འགྲིལ-བ	scroll button
མཐེབ-གཅུས-ར-སྤྲོད	keystroke verification
མཐེབ-གཅུས	button
མཐེབ-གཞོང	keyboard
མཐེབ-གཞོང-བཀོད-པ	keyboard layout
མཐེབ-གཞོང-མཉེན-པ	soft keyboard
མཐེབ-གཞོང-མཐེབ	keyboard key
མཐེབ-གཞོང-མཚོན-རྟགས	keyboard sign
མཐེབ-གཞོང-འབིགས-འཁོར	keyboard punch
མཐེབ-གློད	release keystroke
མཐེབ-བཀྱག	keys
མཐེབ-བཀྱག-གནོན-སྡོད	press and hold keys
མཐེབ-བཀྱག-གོ-རིམ	key sequence
མཐེབ-བརྗེ-སྒྲིག-འགོད	settings for togglekeys
མཐེབ-མང-ཡིག-རྟགས-ཕབ-འཇུག	multistroke character entry
མཐེབ-ཞིག-གནོན	press a key
མཐེབ-འཁོར	thumb wheel
མཐེབ-འཇུག	typing
མཐེབ-འབྲེལ	keystroke link
མཐེབ-འཛིན-འབིགས-འཁོར	keypunch
མཐེབ-འཛིན	keyboard-controlled
མཐོ-ཚད	height
མཐོ-རིམ-གཞི-གྲངས-ཕྲེང-ལམ-ཚོད-འཛིན	high-level data link control
མཐོ-རིམ-འཚོལ-པ	advanced query
མཐོ-རིམ-སྐད-བརྡ	high-level language
མཐོ-རིམ	advanced
མཐོ-ཤོས	highest
མཐོང-ཐུབ-ཆ-ཤས	visible part
མཐོང-ཚད	visibility
མཐོང-ཚོར-རྒྱུ-རྐྱེན	visual element
མཐོང-རིས-ཁ-འབྱེད	open views
མཐོང-རིས	view
མཐོང-རུང	visible
མཐོང-རུང-ཅན	visualization
མཐོང-རུང-དབང-རྩའི-རྒྱུ	visible neuron
མཐོང-རུང-མངོན-སྟོན-མཐའ-སྣེ	visual display terminal
མཐོང-རུང-མངོན-སྟོན-སྡེ-ཚན	visual display unit
མཐོང-རུང-ཟུར-ཚད	visual angle
མཐོང-རུང-རིམ-པ	visible layer
མཐོང-རུང-སྐད-བརྡ	visual language
མཐོང-རྒྱ	visibility
མདའ-རྟགས-འགྲིལ-བ	scroll arrow
མདའ-རྟགས	arrow sign
མདའ-རྩེ-སུབས	delete arrow
མདའ-རྩེ	arrow
མདའ	axis
མདའི-ཁ-བྱང	axis title
མདའི-རྣམ-གཞག	format axis
མདུན-གོམ-མཉམ-གྱི-ཨང-རྟགས	preamble
མདུན-ངོས	front
མདུན-ནས-རྒྱབ	front to back
མདུན-ཕྱོགས-ཁྱབ-ཆུང-དྲ-རྒྱའི-འཕྲིན-ལམ	forward LAN channel
མདུན-ཕྱོགས-ཁྱབ-སྤེལ-དྲ-རྒྱ	forward-propagation network
མདུན-ཕྱོགས-ཁྱབ-སྤེལ	forward propagation
མདུན-ཕྱོགས	step forward
མདུན-བརྙན	before-image
མདུན-རིས	foreground image
མདུན-ལྗོངས-ཁ-མདོག	foreground color
མདུན-སྐྱེལ-ཁྱབ-སྤེལ	feedforward propagation
མདུན-སྐྱེལ-དྲ-རྒྱ	feedforward network
མདུན-སྣེ-སྒྲིག-གཅོད-ཆས	front-end processor
མདུན-སྣེ	front
མདུན-སྣེའི-རྩིས-འཁོར	front-end computer
མདུན-སྣེའི-སྒྲིག-འཁོར	front end processor
མདོ-ཚེག	focus
མདོ-འགྱུར	focusing
མདོག-ཟབ-ཐིག-རིས	dark strokes
མདོག-སེལ	deseturate
མདོར-བསྟན	overview
མདོར-བསྡུས	summary
མན-ཁྲུ-སི-ཐེ-ཁྱད-ཆ-ཨང-སྒྲིག-ཐབས	differential manchester encoding
མན-ཁྲུ-སི-ཐེ-ཨང-སྒྲིག	manchester encoding
མཚན-གནས-མུ-མཐུད-གྱི-ཟློས-སྤོ-མཐེབ-འཛིན	phase-continuous frequency shift keying
མཚན-གནས-འབྲེལ-སྒུལ-གྱི-ཟློས-སྤོ-མཐེབ-འཛིན	phase coherent frequency shift keying
མཚན-གནས-སྤྲུག-པ	phase jitter
མཚན-གནས-ཨང-སྒྲིག	phase encoding
མཚན-ཉིད-ཐག-གཅོད-བྱས-མེད-པ	undefined
མཚན-ཉིད	define
མཚན-སྒྲིག-ཟིན-ཐོ-འགོད-ཐབས	phase modulation recording
མཚམས-གཅོད-མཚོན-རྟགས	separator
མཚམས-གཅོད-རྟགས	separator
མཚམས-གཅོད	compartmentalization
མཚམས-བཞག	disabled
མཚམས-འཇོག	terminate
མཚམས-འཇོག-པ	stop
མཚམས-འཇོག-བཀའ-བརྡ	stop instruction
མཚམས-འཇོག-ཚོད-ལྟ	termination test
མཚམས-རྟགས	delimiter
མཚམས-རྟེན-འབྱུང-གྲངས	threshold function
མཚམས	bound
མཚུངས-པ	equal
མཚུངས-རྟགས-རྩོལ-ནུས	equals function
མཚུངས-སྤོས	translating
མཚུངས	equals
མཚོ-མདོག	aqua
མཚོན-བྱེད-རྒྱུན-ཚད	figurative constant
མཚོན-ཚུལ	expression
མཚོན-རྟགས-གཏན-ཚིགས	symbolic logic
མཚོན-རྟགས-གནས-ཡུལ	symbolic address
མཚོན-རྟགས-ཕྲེང	symbol string
མཚོན-རྟགས-བཤར-འབེབས	mark scanning
མཚོན-རྟགས-རྗེས-འདེད	symbolic trace
མཚོན-རྟགས-ལག-བསྟར	symbolic execution
མཚོན-རྟགས-སྐད-བརྡ	symbolic language
མཚོན-རྟགས-སྦྲེལ-མཐུད	symbolic link
མཚོན-རྟགས	symbol
མཛུབ-སྟོན	directive
མཛོད-ཀྱི-བྱ-རིམ	library program
མཛོད	library
མར-འགྲིལ	scroll down
མར-འགྲོ-སྦྲེལ-ལམ	downlink
མར-འཐེན-འདེམས-བྱང	 drop down menus|pull-down menu 
མར-འཐེན-རེའུ-མིག	drop down list
མར-འཐེན	drop down
མར-འདེད-གསལ-ཐོ	pushdown list
མར-འདེད-གསོག-ཆས	pushdown storage
མར-འདེད-དོས-ཁང	pushdown stack
མར-རིམ-སྒྲིག	down sort
མར-ལུད-མཚོན-སྟོན	underflow indication
མར-ལུད-རྒྱུན-འགལ	underflow exception
མར-ལུད	underflow
མར-སྤོ	down move
མར	down
མལ-གསོ	hibernate
མཱར-ཁོབ-གབ-ཚུལ-དཔེ-དབྱིབས	hidden markov model
མི-ཆོག	disallow
མི-བཟོས-ནོར-སྐྱོན	mistake
མི-བསུབས	undelete
མི-མཐུན-པ	incompatible
མི-མཐུན-པའི-ཡིག-ཆའི-རྒྱུད-ཁོངས	incompatible file system
མི-མཚུངས	does not equal
མི-འགྱུར-བ	invariant
མི-འདུག	does not exist
མི-འབྲེལ-བརྡ-ཐོ	interpersonal notification
མི-འབྲེལ-བརྡ-འཕྲིན-སྒྲིག-སྤེལ	interpersonal messaging
མི-འབྲེལ-བརྡ-འཕྲིན	interpersonal message
མི-སུབ	to undelete
མི-སྒེར	personal
མི-སྙོམ	don't align
མི-སྤྱོད	disable
མི-སྦྱོང-བ	unlearning
མིག-སྔའི-གཏམ-གླེང	current sessions
མིག-སྔའི-གནས-ས	current position
མིག-སྔའི-གནས-སུ-སྤོ-བ	move to current position
མིག-སྔའི-གྲངས-ཐང	current values
མིག-སྔའི-དཀར-ཆག	current directory
མིག-སྔའི-བྱ-འགུལ	current activity
མིག-སྔའི-མདོ-ཚེག	current focus
མིག-སྔའི-ཟིན-ཐོ	current record
མིག-སྔའི-རྣམ-གཞག	current format
མིག-སྔའི-ཤོག-ངོས	current page
མིག-སྔའི-སྡོད-གནས-སྦྲེལ-མཐུད-བྱེད-པ	link current position
མིག-སྔའི-སྤྱོད-མཁན	current user
མིག-སྔར-སྟོན-མདའ	current pointer
མིག-སྔར	current
མིང	name
མིང-གཞན-དམིགས-འཛུགས-བྱེད-པ	designated alias
མིང-གཞན	alias
མིང-ཐོ	directory
མིང-ཐོག-ལ-སྡོད-མིང-སྣོན-པ	name resolution
མིང-བཀོད-པའི-ཞུགས-གྲངས-ཟུང-འབྲེལ	named parameter association
མིང-བཀོད-ཟིན-པ	signed
མིང-བཏགས-མེད-པ	unnamed
མིང-བརྡ-གདོང-གཏུག	name conflict
མིང-བསྐྱར-འདོགས	rename
མིང-མཐུན-པ	homonymic
མིང-མཚན-དམིགས-འཛུགས-བྱེད-པ	create names
མིང-མེད-སྦྲག-སྐུར-བསྐྱར-གཏོང-ཆས	anonymous remailer
མིང-འགོད-དུས-ཚོད	signed at
མིང-འདོགས-པ	create name
མིང-འདོགས-ལས-ཁུངས	naming authority
མིང-འདོགས-སྲོལ	naming rule
མིང-འདོགས	naming
མིང-རྟགས-བར-འཇུག	insert signature
མིང-རྟགས	signature
མིང-ལྟར-ཐང-སྤྲོད	assignment by name
མིང-ལྟར-འདོན-སྤྱོད	call by name
མིང-ལྟར-འཚོལ-བ	find by name
མིན	no
མིས-འབོད-པ	manual calling
མིས-ལན-སློག	manual answering
མུ-མཐའ	margin
མུ-མཐུད-ཐིག-ཅན-ཤོག-བུ	continuous forms paper
མུ-མཐུད-བྱེད-པ	resume
མུ-མཐུད-མི-ཐུབ-པ	cannot continue
མུ-མཐུད-ཚོད-ལྟ	continuation test
མུ-མཐུད-སྐད-གདངས-ཤན-འབྱེད	continuous-speech recognition
མུ-མཐུད-སྒུག-པ	continue waiting
མུ-མཐུད	continue; continuous
མུ-འགྲམ-དཔྱད-འཇལ	marginal check
མུ-འགྲམ-ཚོད-ལྟ	marginal test
མུ-འགྲམ-ཞིབ-སྡུར	marginal check
མུག-འབུ	worm
མེ-འགོག-གྱང	firewall
མེད-པ	none
མོ-གྲངས-མཛུབ-སྟོན	negative indication
མོ-གྲངས	negative
མོ-ཐང-སྤྲོད-པ	negative entry
མོ-མིན-ཧྲིལ-གྲངས	nonnegative integer
མོས-མཐུན	agree
མྱུར-བའི-གཞི-གྲངས	immediate data
མྱུར-མགྱོགས-གནས-གོང-འགྲིལ	high-speed carry
མྱུར-མཐེབ	shortcut key
མྱུར-ལམ-བཟོ	create shortcut
མྱུར-ལམ-རྟགས-རིས	shortcut icon
མྱུར-ལམ	shortcut
མྱུར-ལྟ	quick view
མྱུར-སྐུལ-སློང	quick launch
མྱུལ-བ	panning
མྱུལ-འཕྲིན	navinfo
ཙག-ཙིག	miscellaneous
ཙག-ཙིག-དུས-ཚོད	miscellaneous time; incidental time
ཙི-གུ-གཅིག-རྡེབ	click mouse
ཙི-གུ-གནས-ངེས	mouse locating
ཙི-གུ	mouse
ཙི-གུའི-མཐེབ-གློད-པ	release mouse buttons
ཙི-གུའི-མཐེབ	mousekeys
ཙི-གུའི-སྟོན-མདའ	mouse pointers
ཙི-གུར-ཉིས-རྡེབ	double click mouse
ཙི-མཐེབ-གནོན-སྡོད	press and hold mouse buttons
ཚ-ཁུལ	hotspot
ཚ-མཐེབ	hot key
ཚ-ཚིགས	hot site
ཚ-སྐྱེན-པར-འཁོར	thermal printer
ཚ-སློང	warm start
ཚགས-ཉར	filing
ཚགས-ཡིག	message; archived file
ཚགས-ཡིག-བརྗེ-བ	message switching
ཚགས-ཡིག-འཚོལ-ལེན	message retrieval
ཚང-མ-ཆེ-འབྲི	all caps
ཚངས-ཕྱོགས-རྨང-རྟེན-འབྱུང-གྲངས	radial basis function
ཚད-གཞི-གསལ-བཤད	formal specification
ཚད-གཞི-མིན-པའི-སྒྱུར-བ	normalized transformation
ཚད-གཞི-འབྱེད-ཕྱོད	standard resolution
ཚད-གཞི	specification; standard
ཚད-བཀག	qualification; restrictions
ཚད-བཀག-གདོང-ཐུག	constraint violation
ཚད-བཀག-མེད-པ	no restriction
ཚད-བཀག-རིགས-གྲས	limited type
ཚད-བཟོས-མིང	qualified name
ཚད-བརྒལ	over
ཚད-མེད-རེས-འཁོར	infinite loop
ཚད-འགོག-ཆས	limiter
ཚད-འཕར-སློབ-སྦྱོང	incremental learning
ཚད-འབེབས	to quantize
ཚད-ཡོད-རྒྱུའི-དཔེ-བཟོ	finite-element modeling
ཚད-ཡོད-རྒྱུའི-དབྱེ-ཞིབ	finite-element analysis
ཚད-རིམ-ཅན	to normalize
ཚད-རྒྱ-མང-བའི-ཆེར-སྐྱེད-ཆས	multirange amplifier
ཚད-ལྡན-ཅན	standardization; normalization
ཚད-ལྡན-ཡིག-གཟུགས	standard fonts
ཚད-ལྡན-རིགས-གྲས	standard types
ཚད-ལྡན-སྐད-བརྡ	specification language
ཚད-ལྡན-སྒྲིག-ཆས-གནས-ཚད	normalized device coordinate
ཚད-ལྡན-སྒྲིག-བཀོད	standard configuration
ཚད-ལྡན-སྟར-ཞེང	standard width
ཚད-ལྡན-སྡེབ-སྒྲིག	standard configuring
ཚད-ལྡན	standard
ཚན-བྱང	bar
ཚན-བྱང-ཆེ-དྲག-པ	column too big
ཚན-རིག-མཐོང-རུང-ཅན	scientific visualization
ཚན-རྡོག-སྒྲིག-གཞི-སྐད-བརྡ	block-structured language
ཚན	term
ཚབ-འཇུག	substitution
ཚབ-རྩིས-གཏན-ཚིགས-རྩིས-ཆས	calculator with algebraic logic
ཚབ-རྩིས-སྐད-བརྡ	algebraic language
ཚབ-ལེན-མཁན	alternate recipient
ཚབ-ཨང	code
ཚབ-ཨང-གཞི-རྒྱུ	code element
ཚབ-ཨང-གྲངས-ཐང	code value
ཚབ-ཨང-ནང-གསལ	code-transparent
ཚབ-ཨང-བརྒྱོངས-པའི-ཡིག-རྟགས	code extension character
ཚབ-ཨང-ཚོགས-སྤྱི	code set; code element set
ཚབ-ཨང-རྗེས-འདེད	code trace
ཚབ-ཨང-སྐྱེད-སྒྲུབ-ཆས	code generator
ཚབ-ཨང-སྒེར-ཚུགས	code-independent
ཚབ-ཨང-སྒྱུར-ཆས	code converter
ཚབས-ཆེ-བ	severity
ཚབས-ཆེན	severe
ཚིག	word
ཚིག-གྲངས-རྩིས-པ	word count
ཚིག-གྲུབ	sentence
ཚིག-དོན-དྲ-བ	semantic net
ཚིག-དོན-དྲ-རྒྱ	semantic network
ཚིག-དོན	semantics
ཚིག-རྐྱང-ཤན-འབྱེད	isolated-words recognition
ཚིགས-ཚེག	node
ཚིགས-ཚེག-གནས-ཡུལ	node address
ཚིགས-ཚེག-མིང	node name
ཚིགས-ཚེག-ཡོངས-རྫོགས	all nodes
ཚུར-སྐྱེལ	to return
ཚེག	point
ཚེག-གྲམ-པར-འཁོར	dot printer; matrix printer
ཚེག-གྲམ-ཡིག-གཟུགས	raster fonts
ཚེག-གྲམ-ཡིག-རྟགས-སྐྱེད-ཆས	dot matrix character generator
ཚེག-ཐིག	dot line; dotted
ཚེག-ཐིག-སྒྲོམ	marquee
ཚེག-ནས-ཚེག	point to point
ཚེག-ནས-ཚེག-འབྲེལ-མཐུད	point-to-point connection
ཚེག-བར	dot pitch
ཚེག-མང-འབྲེལ-མཐུད	multipoint connection
ཚེག-འབྲིང	comma
ཚེག-རིས-དཔེ-རྣམ	stipple pattern
ཚེག-རྟགས-ནུས-པ	punctuation capability
ཚེག-རྟགས	punctuation
ཚེག-ལིང-ཚེ-ཡིག-རྟགས-ཐོན-ཆས	dot matrix character generator
ཚེས-གྲངས-དང-དུས-ཚོད-སྒྲིག-འགོད	date and time settings
ཚེས-གྲངས-དང-དུས-ཚོད	date & time
ཚེས-གྲངས-དམིགས-འཛུགས-བྱེད-པ	designate date
ཚེས-གྲངས-བཟོ	create date
ཚེས-གྲངས-འཇལ-ཚད	date unit
ཚེས-གྲངས-ཡིག-དུམ	date field
ཚེས-གྲངས	date
ཚོ-གྲངས	complex number
ཚོ-གྲུབ-བཟོ-རྩལ	group technology
ཚོ-ཆུང-སྒྲོམ	group frame
ཚོ-མིང	group name
ཚོ	group
ཚོགས-ཆགས-བར-འགྱེད	grouping isolation
ཚོགས-པ-གསར-སྣོན	add new group
ཚོགས-སྤྱིའི-རིགས-གྲས	set type
ཚོགས	set
ཚོང-དོན-ཁ-པར	business phone
ཚོང-རྟགས	brand
ཚོང-སྤྱོད	business purpose
ཚོད-དཔག-བསྡོམས-འབོར	assumed-size aggregate
ཚོད-འཛིན-ཁུལ	control area
ཚོད-འཛིན-ངོས-པང	control panel
ཚོད-འཛིན-ཆད-ས	control breakpoint
ཚོད-འཛིན-ཐེབས-པའི-འོད-ཆུན-མངོན-ཆས	directed-beam display device
ཚོད-འཛིན-དང-བརྟག-བཤེར-སྒྲིག-ཆས	controls and checking devices
ཚོད-འཛིན-བྱ-རིམ	control program
ཚོད-འཛིན-བྱེད-རུང-བ	controllable
ཚོད-འཛིན-བྱེད-སྟངས	control method
ཚོད-འཛིན-མཐུད-ཁ	control port
ཚོད-འཛིན-མདོ-ཐག	control focus
ཚོད-འཛིན-མི-ཐུབ	not controllable
ཚོད-འཛིན-ཚན-བྱང	control bar
ཚོད-འཛིན-ཟུང-སྦྱོར	control coupling
ཚོད-འཛིན-ཡིག-རྟགས	control character
ཚོད-འཛིན-རྒྱུན-རིས	control flow diagram
ཚོད-འཛིན-རྒྱུན-རྗེས-འདེད	control-flow trace
ཚོད-འཛིན-རྒྱུན	control flow
ཚོད-འཛིན-ལྟ-སྤྱོད-རྒྱུད-ཁོངས	controlled access system
ཚོད-འཛིན-ལྟ-སྤྱོད	control access
ཚོད-འཛིན-ལྡེབ	control frame
ཚོད-འཛིན-ས-ཚིགས	control station
ཚོད-འཛིན-སྐད-བརྡ	control language
ཚོད-འཛིན-སྲུང-སྐྱོང	controlled maintenance
ཚོད-འཛིན	control
ཚོད-རྩིས-གྲངས-ཐང	estimated value
ཚོད-རྩིས	estimated
ཚོད-ལྟ-ཁྲོད-ཀྱི-རེས-འཁོར	in-test loop
