འལ-འོལ	{འལ་ལེ་འོལ་ལེ} vague/ imprecise
མང-དུ	in great number
མང-པོ	many
མར-ཐུད	soft creamy cheese; residue on the side of a milking bucket [Khenpo Ngaga's metaphor for buildup of mental accretions/ habits]
མར-གྱི-ཟང-ཐལ	(direct and) unobstructed descent (to vajra hell)
མས-བརྟན-འབྲས-བུའི-དགའ-བ-བཞི	four resultant degrees of joy stabilized upward
མཆན-བུ	apprentice/ assistant (esp. of painter, capenter, etc.) [KNT]
མཆེད-གྲོགས	(vajra) siblings and fellow practitioners
མཆེད-ལྕམ	brothers and sisters; (rdo rje'i) mched lcam - (vajra) brothers and sisters/ siblings
མཆེད-པ	to evolve/ proliferate/ unfold; evolution/ proliferation/ unfolding; to emerge
མཆིན-ཁྲི	diaphragm
མཆིན-པ	liver
མཆོད-པ	(to make) offerings
མཆོད-རྫས	offering substance
མཆོད-རྟེན	stupa/ funerary monument
མཆོད-སྦྱིན	(ritual of) worship/ puja
མཆོད-པར-བརྗོད-པ	to show reverence
མཆོད-པའི-རྫས	offering substance
མཆོག-དགའ	sublime joy
མཆོག-གི	(most) sublime/ excellent; (of the) highest caliber
མཆོག-སྦྱིན	perfect generosity
མཆོག-ཏུ-མི-འགྱུར-བ	utterly unchanging
མཆོག-ཏུ-གྱུར-པ	(to become) sublime
མཆོག-གི-སྤྲུལ-པ	{བྱང་ཆུབ་མཆོག་གི་སྤྲུལ་སྐུ།་པ} emanation of sublime enlightenment/ sublime nirmanakaya
མཆོག-གི-སྤྲུལ-སྐུ	{མཆོག་གི་སྤྲུལ་པ,་བྱང་ཆུབ་མཆོག་གི་སྤྲུལ་སྐུ།་པ} emanation of sublime enlightenment/ sublime nirmanakaya
མཆོག-གི-དངོས-གྲུབ	sublime spiritual attainment/ siddhi
མཆོག-དང-ཐུན-མོང	sublime and more common
མཆོག-དང-ཐུན-མོང-གི-དངོས-གྲུབ	(the) sublime and more common spiritual attainments/ siddhis
མདའ	arrow
མདའ-ཡབ	ledge
མདངས	(inner) "glow" *; luster
མདངས-གསལ	lustrously clear
མདོ	sutra/ discourse; point of convergence
མདོ-མདུད	unifying principle [?]
མདོ-སྡེ-པ	Sautrantika/ follower of the sutras
མདོར-བསྡུས	concise/ abridged; to abridge/ summarize
མདོར-ན	in brief; in brief, . . . / (to put it) concisely, . . .
མདོར-བསྡུས-ན	in summary/ to summarize (briefly), . . .
མདོར-བསྡུས-པ	concise/ abridged; to abridge/ summarize
མདོར-བསྟན-པ	brief presentation; to present concisely
མདུད	knot; blockage (in subtle channel)
མདུང	lance
མདུང-ཐུང	spear
མདུང-རྩེ-གསུམ	trident
མདུང-ཚུགས-སུ	penetrating(ly)/ piercing(ly)
མཛད-པ	to do/ cause/ enact; deed/ act(ion) (of enlightened being)
མཛོད	treasury
མཛོད-ཁང	treasure house
མེ	fire
མེ-དཔུང	{མེ་ཕུང} mass of fire
མེ-མཉམ	{མེ་མཉམ་གྱི་རླུང} subtle energy stabilizing warmth (governing digestive functions)
མེ-ཕུང	{མེ་དཔུང} mass of fire
མེ-རེ	all-embracing; overflowing
མེ-རེ-བ	all-embracing; overflowing
མེ-དང-མཉམ-པའི-རླུང	subtle energy stabilizing warmth (governing digestive functions)
མེ-ལོང-ལྟ-བུའི-ཡེ-ཤེས	mirror-like timeless awareness
མེད	(pos. + neg.) {མེད} there is no question of whether . . . or not; whether . . . or. . . is of no consequence
མེད-དགག	unqualified/ flat/ total negation
མེད-ལ	{.་.་.ར་མེད་ལ} isc. there is no existence in
མེད-པ	(in the "lower" sense, as the opposite of existence) (to be) nonexistent; to lack/ be without; not to involve; nonexistence; isc. to be negated/ denied (in the "higher" sense, beyond limitations or opposites) ineffability; ineffable
མེད-པར	without (concern for) . . . ; in the absence of . . .
མེད-སྣང	{མེད་པ་ལྟར་སྣང} appearing, but not being what it appears to be; isc. apparent yet nonexistent. {མེད་བཞིན་དུ་སྣང་བ} apparent yet/ (even) yet ineffable/ nonexistent; apparent phenomena that manifest yet are ineffable
མེད-ཐབས-མེད	{མེད་ཐབས་མེད་པ} (to be) indispensable/ sine qua non/ inevitable; cannot be omitted
མེད-སྣང-སྟོང-པ	empty appearances of what is ineffable
མེད-དུ-མི-རུང-བ	indispensable; (to be) indispensable/ sine qua non
མེད-བཞིན-དུ-སྣང-བ	apparent yet/ (even) yet ineffable/ nonexistent; apparent phenomena that manifest yet are ineffable
མེད-པའི-རང-བཞིན-བཅུ	the ten attributes whose nature is ineffable
མེད-པ-བཅུ	ten attributes whose nature is ineffable
མེད-པ-གསལ-སྣང	clearly apparent yet nonexistent (phenomena); clearly apparent without (truly/ actually) existing; manifesting clearly without (truly/ actually) existing; (what) manifest(s) clearly without (truly/ actually) existing/ (what is) clearly apparent yet nonexistent
མེད-པ-བཅུའི-རང-བཞིན	the nature of the ten ineffable attributes; the ineffable nature of the ten attributes
མེད-པ-ལྟར-སྣང	appearing, but not being what it appears to be; isc. apparent yet nonexistent
མེལ-ཚེ	watchman/ sentinel
མེར-མེར	overflowing
མགོ-གནོན-པ	to repress/ suppress; repression/ suppression
མགོ-ཐོན-གྱིས	safely [KNT]
མགོ-འཁོར-བ	(to be) fooled/ confounded
མགོན-པོ	guide; isc. protector/ protective guardian
མགྲོན-བཞི	four kinds of guests
མགུལ	throat; slope (of a mountain)
མགུལ-ཆིངས	ribbon tied around the neck [of a vase]
མགུལ-རྒྱན	necklace/ choker
མགྱོགས-པོ	{མགྱོགས་པོར} readily; quick(ly)/ swift(ly)
མི	human being; (verb) + mi (verb) (med par) . . . - . . . (this is) (not) a question/ there is no question of (verb)
མི-འགྱུར	unchanging
མི-བསམ	{མ་བསམ} without (requiring) deliberation
མི-བསྐྱོད	immutable/ unshakeable/ unmoving
མི-བཟད	irresistible; unbearable
མི-མཁས	unknowing/ unwise
མི-རིགས	{མི་རིགས་པ} unacceptable/ irrational/ illogical/ unreasonable; does not apply
མི-ཟད	inexhaustible
མི-ཕམ-པ	invincible
མི-ཤིགས-པ	indestructible; indestructibility; indestructible (one of seven vajra qualities)
མི-ཤིགས-པ-རྡོ-རྗེའི-ཆོས-བདུན	seven vajra qualities of indestructibility
མི-རྟོག-པ	nonconceptual(ity)
མི-ཟད-རྒྱན-གྱི-འཁོར-ལོ	{མི་ཟད་པ་རྒྱན་གྱི་འཁོར་ལོ} ongoing/ continuous/ continuum of inexhaustible adornment
མི-ཟད-པ-རྒྱན-གྱི-འཁོར-ལོ	ongoing/ continuous/ continuum of inexhaustible adornment
མི-སྐྱེ-བ	nonarising/ nonorigination; unborn
མི-སྐྱེ-བ-ཤེས-པ	knowledge that suffering no longer occurs
མི-འདྲ-བ	{དང་མི་འདྲ་བ} to bear no similarity to . . .
མི-གཙང-བ	uncleanness
མི-གཙང-བའི-འདུ-ཤེས-དགུ	nine perceptions of uncleanness
མི-སྲ-བ	corruptible
མི-ཆོད-པ	invulnerable (one of seven vajra qualities)
མི-འགུལ-བ	immoveability
མི-འགྱུར-བ	unchanging
མི-མཁས-པ	unknowing/ unwise
མི-ཕྱེད-པ	{མི་ཕྱེད་པ་འི} undivided; indivisible/ bility; unswerving; inviolable
མི-ཕྱེད-པའི-དད-པ	undivided faith
མི-འཇིགས-པ-བཞི	four states of fearlessness
མི-མཇེད-འཇིག-རྟེན-གྱི-ཁམས	long-suffering world/ universe; world of sorrow
མི-གནས-པ	{མི་གནས་པ་འི} does not remain/ abide in any specific way; (fig.) transcending extremes/ any specific point of reference; unconfined to any specific limits; nonlocalized; in no way static or localized; without fixed location; unfixed; cannot be specified
མི-སློབ-པའི-ལམ	path of no more learning
མི-རྟག-པ	impermanence; impermanent
མི-མངོན-པ	(to be) nonevident/ not evident; isc. undefined; isc. intangible
མི-བརྟན-པ	unstability; unstable
མི-བྱེད-པ	without doing anything; unfabricated
མི-སྣང-བ	to vanish/ disappear; (to be) nonapparent
མི-རིགས-པ	unacceptable/ irrational/ illogical/ unreasonable; does not apply
མི-མཐུན-པ	{དང་མི་མཐུན་པ} in disagreement/ disharmony (with . . . )
མི-མཐུན-པའི-ཕྱོགས	disharmonious elements/ factors
མི-བསྐྱོད-པ	immutable/ unshakeable/ unmoving
མི-བསྐྱོད-རྡོ-རྗེ	Akshobhyavajra; Immutable/ Unshakeable Vajra
མི-འཇིག-པ	imperishable; imperishable/ indestructible
མི-འཆུག-པ	unerring
མི-ནུབ-པ	(that will) never falter/ be lowered; unfailing
མི-སྡུག-པ-སྒོམ-པའི-རྣལ-འབྱོར	yoga of meditating on ugliness
མི-ལྡོག-པ	irreversible/ bility
མི-བརྗེད-པའི-གཟུངས	power of complete recall
མི-གཡོ-བ	the immovable one [8th spiritual level/ bhumi]
མིག	eye
མིག-འཁྲུལ	optical illusion
མིག-ཡོར	hallucination
མིག-ལོང-བ	blind
མིག-གི-དབང-པོ	visual sense faculty
མིག-གི-རྣམ-ཤེས	visual consciousness; {མིག་གི་རྣམ་པར་ཤེས་པ} visual consciousness
མིག-གི-རྣམ-པར-ཤེས-པ	visual consciousness
མིན-པ	not to be; is not
མིང	name/ title/ term/ label; characterization
མིང-གཟུགས	name and form; {མིང་དང་གཟུགས} (lit., "name and form") (formation of) mind-body (complex) (one of twelve links of interdependent connection)
མིང-མེད	state beyond labels/ names; unnameable/ nameless/ without name/ label; cannot be/ not to be labeled/ characterized; isc. the label (of . . . ) is irrelevant; isc. to which no labels apply; not even the name … remains/ exists. {མིང་མེད་དུ} such that names/ concepts do not/ no longer exist; such that it cannot be characterized; . . . in its namelessness/ unnameability
མིང-ཙམ	mere(ly) characterization/ label/ name
མིང-དང-གཟུགས	name and form; (lit., "name and form") (formation of) mind-body (complex) (one of twelve links of interdependent connection)
མིང-གི-ཚོགས	words; groups of words/ word stems/ names
མིང-གི-རྣམ-གྲངས	synonyms; list of synonyms
མིང-འདོགས-པ	{མིང་བཏགས་པ} to (apply a) label/ term/ name
མིང-བཏགས-པ	{མིང་འདོགས་པ} to (apply a) label/ term/ name
མཇལ-བ	to meet/ encounter/ have audience with. {ཞལ་མཇལ་བ} to be graced by/ meet with (a deity/ guru) in a vision
མཇུག-བསྡུ-བ	conclude; to summarize/ conclude
མཁའ	sky/ space; openness
མཁའ-འགྲོ	daka; (masculine) sky goer/ dancer. {མཁའ་འགྲོ་མ} dakini; (feminine) sky goer/ dancer
མཁའ-དབྱིངས	spacious sky
མཁའ-གསང	secret sky; secret sky [=bhaga]; isc. [contraction of nam mkha' and gsang ba'i rdo rje], female and male sexual organs (in union)
མཁའ-ཁྱབ	{མཁའ་ཁྱབ་ཏུ} pervading all of space
མཁའ-མཉམ	equal (in extent) to space (itself)
མཁའ-སྤྱོད	khecara; enjoyment of/ delight in space
མཁའ-སྤྱོད-མ	Khecari/ Goddess Who Enjoys Space
མཁལ-མ	kidney
མཁན	something (that . . .); agent (responsible for) . . . ; isc. potential for . . .
མཁན-པོ	scholar-abbot; abbot (monastic)
མཁར	stronghold
མཁར-པོ	stronghold
མཁས-པ	learned/ wise/ scholarly; (learned) scholar; skilled (in/ at)
མཁྱེན-གསུམ	{མཁྱེན་པ་གསུམ} three aspects of omniscience itself
མཁྱེན-པ	wisdom; (enlightened) knowledge/ wisdom; to know
མཁྱེན-པ-གསུམ	{མཁྱེན་གསུམ} three aspects of omniscience itself
མཁྱེན-པའི-ཡེ-ཤེས	knowing quality of timeless awareness
མཁྱེན-བརྩེ-ནུས-གསུམ	three qualities of widsom, benevolence/ loving kindness, and spiritual power
མནན-པ	(ritual of) suppression
མནར-བ	to be afflicted/ tormented
མནར-མེད	(hell of) ceaseless/ unending torment
མངའ-བདག	ruler
མངའ-བརྙེས-པ	to gain/ acquire
མངའ-དབང-འབྱོར-བ	to bring mastery
མངའ-གསོལ-བ	(to confer) authority/ investiture; (to invest with)
མངལ	womb
མངལ-སྐྱེས	rebirth through womb
མངལ-དུ-འཇུག-པ	enter a womb; to enter a womb; {མངལ་དུ་ཞུགས་པ} enter a womb
མངོན-བརྗོད	etymology [?] (one of the five minor fields of learning)
མངོན-བྱང	{མངོན་པར་བྱང་ཆུབ་པ} manifest enlightenment
མངོན-དགའ	(pure realm of) Manifest Joy/ Abhirati
མངོན-གྱུར	{མངོན་དུ་གྱུར་པ} (to become) fully evident; (to) actualize(d); actually present
མངོན-པར	evident/ actual/ manifest
མངོན-རྟོགས	canonical description [of a deity]. {མངོན་པར་རྟོགས་པ} true/ manifest realization
མངོན-ཤེས	{མངོན་པར་ཤེས་པ} sublime state of perception
མངོན-སྣང	{མངོན་པར་སྣང་བ} to become fully evident/ manifest; to manifest in full evidence; to predominate
མངོན-སྤྱོད	direct wrathful intervention
མངོན-སུམ	immediate/ direct experience/ perception/ cognition; actually/ directly; (to be) actually present
མངོན-ཞེན	{མངོན་པར་ཞེན་པ} obsession; to (be) obsess(ed)
མངོན-པའི-ང-རྒྱལ	overt pride
མངོན-པར-སངས-རྒྱས-པ	{མངོན་སངས་རྒྱས} manifest aspect of buddha(hood); actual buddhahood; to awaken; to manifest/ actual buddhahood
མངོན-པར-རྟོགས-པ	{མངོན་རྟོགས} true/ manifest realization
མངོན-པར-དགའ-བ	(pure realm of) Manifest Joy/ Abhirati
མངོན-པར-ཤེས-པ	{མངོན་ཤེས} sublime state of perception
མངོན-པར-ཤེས-པ-ལྔ	five sublime states of perception
མངོན-པར-བྱང-ཆུབ-པ	{མངོན་བྱང} manifest enlightenment
མངོན-པར-ཞེན-པ	{མངོན་ཞེན} obsession; to (be) obsess(ed)
མངོན-པར-སྣང-བ	{མངོན་སྣང} to become fully evident/ manifest; to manifest in full evidence; to predominate
མངོན-པར-རྫོགས-པའི-སངས-རྒྱས	manifestly perfect buddha(hood)
མངོན-མཐོ-ངེས-ལེགས	higher states of rebirth and the definitive excellence of enlightenment
མངོན-ཤེས-ལྔ	five sublime states of perception
མངོན-དུ-གྱུར-པ	the one who makes evident [6th spiritual level/ bhumi]; authentic presence. {མངོན་གྱུར} (to become) fully evident; (to) actualize(d); actually present
མངོན-དུ-སད-པ	(to become) fully evident; (to) actualize(d); actually present
མངོན-དུ-བྱེད-པ	to make evident; isc. to fully experience
མངོན-སུམ-དུ	in immediate/ direct experience/ perception/ cognition; actually/ directly; (to be) actually present
མངོན-སུམ-དུ-མཐོང-བ	to experience/ perceive/ cognize directly; to behold in actuality
མངོན-སུམ-རིག-པ	direct experience of awareness
མངོན-བྱང-ལྔ	five aspects of manifest enlightenment
མངོན-སངས-རྒྱས	{མངོན་པར་སངས་རྒྱས་པ} manifest aspect of buddha(hood); actual buddhahood; to awaken; to manifest/ actual buddhahood
མཉམ-འཇོག	{མཉམ་གཞག} (formal meditative) equipoise; to rest/ settle in
མཉམ-བརྡལ	{མཉམ་པར་བརྡལ་བ} congruency; (to be) congruent; equal extension; to extend equally. {མཉམ་དུ་བརྡལ་བ} congruency; equal extension/ coextension; to be congruent/ extend equally
མཉམ-བཞག	mnyam par bzhag pa; {མཉམ་པར་བཞག་པ} (formal meditative) equipoise
མཉམ-གཞག	{མཉམ་པར་འཇོག་པ} (formal meditative) equipoise; to rest/ settle in
མཉམ-ཉིད	(state of) equalness/ evenness; isc. impartiality
མཉམ-པ	equal(ness); even(ness); alike; to be equal/ alike/ the same (whether or not . . . ); isc. uniform/ impartial; isc. undifferentiated
མཉམ-རྗེས	formal meditation and/ vis-à-vis postmeditative awareness
མཉམ-རྫོགས-ཆེན-པོ	supreme state of equalness and perfection
མཉམ-དུ-བརྡལ-བ	congruency; equal extension/ coextension; to be congruent/ extend equally
མཉམ-པར-འཇོག-པ	{མཉམ་པར་གཞག་པ} (formal meditative) equipoise; to rest/ settle in
མཉམ-པར-བརྡལ-བ	congruency; (to be) congruent; equal extension; to extend equally
མཉམ-པར-གཞག-པ	{མཉམ་པར་འཇོག་པ} (formal meditative) equipoise; to rest/ settle in
མཉམ-པར-བཞག-པ	(formal meditative) equipoise
མཉམ-ཉིད-ཡེ-ཤེས	{མཉམ་པ་ཉིད་ཀྱི་ཡེ་ཤེས} timeless awareness as equalness/ of (the) equalness (of all phenomena)
མཉམ-པ-ཉིད	(state of) equalness/ evenness; isc. impartiality
མཉམ-པ-ཉིད-ཀྱི-ཡེ-ཤེས	timeless awareness as equalness/ of (the) equalness (of all phenomena)
མཉམ-པོར-འོང-བའི-བདུད	personal injurious maras/ demons (who "follow/ come along" with one)
མཉེན-ལྕུག-འཁྲིལ-ལྡེམ	graceful, pliant, lithe, and supple [qualities of peaceful deities]
མཉེས-པ	to please/ serve
མོ	lady of . . .
མོ-རྒྱུད	female lineage
མོད	. . . (verb+) {མོད} (while it is) indeed (the case that . . . )
མོས-གུས	devotion
མོས-པ	dedicated interest; firm conviction; dedication; devoted intent; devotion; inspiration; to imagine/ intend/ feel (devoted to)/ envision
མོས-སྒོམ	meditation based on devoted intent/ interest
མོས-པ-བྱེད-པ	to generate devoted intent/ interest
མོས-པ-ལམ-བྱེད	forging the path as/ through/ with firm conviction/ devoted intent
མོས-པས-སྤྱོད-པ	one who acts out of a sense of dedication; one who acts out of a sense of dedication/ dedicated interest
མཐའ	limit(ation)/ extreme/ boundary; isc. scope; isc. (utmost) extent
མཐའ-བྲལ	free of/ beyond extremes [where dualities seem "prevalent"]/ limit(ation)s [where there is no specific reference to dualities]; limitless/ boundless
མཐའ-བཞི	four extremes/ limit(ation)s
མཐའ-ཅན	subject to the limit(ation) of
མཐའ-དག	countless/ unlimited
མཐའ-དབུས	everywhere
མཐའ-གྲོལ	freedom from/ free of limit(ation)s/ (limiting) extremes
མཐའ-མ	end; finish
མཐའ-མེད	{མཐའ་ཡས} limitless/ unlimited/ endless/ unending; isc. innumerable/ countless
མཐའ-རྫོགས	sum total
མཐའ-ཡས	{མཐའ་མེད} limitless/ unlimited/ endless/ unending; isc. innumerable/ countless
མཐའ-བྲལ-རྫོགས-པ-ཆེན-པོ	great perfection free of limitation
མཐའ-ལས-འདས-པ	beyond limitations/ extremes
མཐའ-ཀླས-པ	boundless
མཐའ-གྲོལ-ལྟར-ཤར-བ	arising (in a manner) consistent with freedom from limitation/ (limiting) extremes*
མཐའ-གྲོལ-ཆེན-པོ	supreme freedom from/ supremely free of limit(ation)s/ (limiting) extremes
མཐའ-དབུས-མེད-པ	without limit/ circumference or center
མཐའ-སྡུད-པ	to bring to an end/ conclusion
མཐའ-གཅིག-ཏུ	unilateral(ly); (some kind of) absolute
མཐའ-གཅིག-ཏུ-འཛིན-པ	to hold to any one/ a single version
མཐའ-ཁྲོལ-བ	to take (something) to its conclusion; reach the limit (of something)
མཐར	finally/ in conclusion/ to conclude, . . .
མཐར-ཐུག	eventual/ long term/ far-reaching; final; isc. consummate
མཐར-གྱིས-གནས-པའི-སྙོམས-པར-འཇུག-པ-དགུ	nine successive stages of meditative equipoise
མཐར-སྡུད-པ	to bring to an end/ a finish
མཐར-འཛིན-གྱི	absolutist
མཐར-འཛིན-པ	(holding to) absolutism/ some final limit; to take something to be a final limit/ an end in itself; to think in terms of/ believe in absolutes/ limiting views; to reify/ conceptualize limits
མཐར-འཛིན-པའི-ལྟ-བ	view of fixating on one extreme or another [such as eternalism or nihilism]; to view/ view of adhering to philosophical extremes/ absolutist view; view of belief in limiting views/ thinking in terms of absolutes
མཐར-ཐུག-པ	eventual/ long term/ far-reaching; final; isc. consummate
མཐར-ཕྱིན-པ	(to bring/ come to/ reach) consummation/ completion/ furthest limit/ furthest extent/ full expression; (to) consummate/ bring (something) to its ultimate conclusion; isc. to reach the ultimate state/ point
མཐིལ	depths/ center; pith/ core
མཐིལ-བཅོལ-བ	to take as the core (of)
མཐོལ-བ	to acknowledge (faults)
མཐོང-བ	to see/ perceive; isc. to realize
མཐོང-ཆོས	{མཐོང་བའི་ཆོས} phenomena in one's immediate perception
མཐོང-ལམ	path of seeing; path of seeing/ vision
མཐོང-མེད	not to be perceived; intangible
མཐོང-སྣང	apparent phenomena manifesting in one's perceptions
མཐོང-སྤང	{མཐོང་ལམ་གྱི་སྤང་བྱ} process of renunciation taking place on the path of seeing; factor to be removed on the path of seeing
མཐོང-སྤངས	{མཐོང་ལམ་གྱི་སྤང་བྱ} process of renunciation taking place on the path of seeing; factor to be removed on the path of seeing
མཐོང-བའི-ཆོས	phenomena in one's immediate perception
མཐོང-བའི-ཡུལ	object to be perceived/ of perception; isc. outlook
མཐོང-ལམ-གྱི-བཟོད-པ-བརྒྱད	eight degrees of patient acceptance pertaining to the path of seeing
མཐོང-ལམ-གྱི-སྤངས-བྱ	process of renunciation taking place on the path of seeing; factor to be removed on the path of seeing
མཐོང-ལམ-གྱི-ཤེས-པ-བརྒྱད	eight degrees of knowledge pertaining to the path of seeing
མཐོང-ལམ-གྱི-སྤང-བྱ	process of renunciation taking place on the path of seeing; factor to be removed on the path of seeing
མཐུ	power/ force; sorcery
མཐུན-པ	. . . (dang) mthun pa - in harmony/ accord/ agreement/ keeping with . . . / conducive to . . . ; (to) parallel; isc. in keeping with . . . ; conforming to . . .
མཐུན-རྐྱེན	supportive/ productive circumstance
མཐུན-སྣང	consensual/ collective manifestation; apparent phenomenon manifesting (to beings) collectively/ consensually; "consensus reality"
མཐུན-པའི-ཕྱོགས	harmonious elements/ factors
མཐུས	power; . . . gi mthus - through the power/ force of . . . ; on the strength/ basis of . . .
མཚམས	boundary; retreat; intermediate direction
མཚམས-སྦྱོར	liner notes (textual genre)
མཚམས-བཅད-པ	to establish a boundary (for a retreat)
མཚམས-མེད-པ	(harmful) action entailing/ with/ bringing immediate (and severe) consequences (at death)
མཚམས-སྦྱོར-བ	to join together/ link; to ensure/ provide continuity
མཚན	major mark of (physical) perfection
མཚན-འཛིན	{མཚན་མར་འཛིན་པ} to think/ conceive (in terms) of/ invest with/ ascribe (ordinary) characteristics
མཚན-བཅས	involving constructs; (incorporating) thematic (structures)
མཚན-གཞི	definiendum; basis of characteristics; subject being characterized
མཚན-ལྡན	{མཚན་དང་ལྡན་པ} well(-)formed; thoroughly qualified
མཚན-མ	distinguishing mark; (ordinary) characteristic; indication (of successful spiritual practice); isc. ordinary distinction
མཚན-མེད	{མཚན་མ་མེད་པ} cannot be characterized; absence of (definitive/ ordinary) characteristics; without/ involving no constructs; nonthematic; involving no thematic structures
མཚན-ཉིད	[when used in an ordinary sense] (definitive) characteristic; - characteristic feature; qualification [when used in a positive sense] attribute/ a . . . quality
མཚན-རྟོག	concepts/ thoughts concerning the (ordinary) characteristics of things
མཚན-ཞེན	{མཚན་མར་ཞེན་པ} to fixate on (thing in terms) of/ invest (things) with/ (ordinary) characteristics
མཚན-ཉིད-པ	genuine; dialectician; authentic/ genuine; having truly authentic status; indisputable; (in the) true (sense (of the term/ word)); isc. something that can be characterized in the ordinary sense
མཚན-ཉིད-འཛིན-པ	to exhibit an attribute
མཚན-ཉིད-འཛིན-པའི-ཡེ-ཤེས	timeless awareness that/ as it exhibits attributes [cf. CYDz 133.b.1; note reference to extended treament in TCDz]
མཚན-ཉིད-ཀྱི-ཐེག-པ	dialectic(al) approach
མཚན-དང-ལྡན-པ	well(-)formed; thoroughly qualified
མཚན-མའི-ཆོས	phenomenon with (ordinary) characteristics/ that can be characterized; thing to be characterized
མཚན-མའི-ཡུལ	objects with (ordinary) characteristics; objects as they are usually characterized
མཚན-མའི-དཀྱིལ-འཁོར	mandala of (ordinary) characteristics
མཚན-མ-ཅན	having/ endowed with (defining) characteristics
མཚན-མ-རྫས-ཀྱི-དབང	usual process of empowerment involving ritual objects
མཚན-མ-མེད-པ	cannot be characterized; absence of (definitive/ ordinary) characteristics; without/ involving no constructs; nonthematic; involving no thematic structures
མཚན-མར-འཛིན-པ	to think/ conceive (in terms) of/ invest with/ ascribe (ordinary) characteristics
མཚན-མར-སྣང-བ	to manifest with/ as having (ordinary) characteristics
མཚན-མར-གྱུར-པ	something worthy
མཚན-མར-ཞེན-པ	to fixate on (thing in terms) of/ invest (things) with/ (ordinary) characteristics
མཚང	hidden flaw/ weakness
མཚང-འདྲུ-བ	{མཚང་འབྲུ་བ} to expose the hidden flaw/ weakness
མཚང-འབྲུ-བ	to expose the hidden flaw; {མཚང་འདྲུ་བ} to expose the hidden flaw/ weakness
མཚང-ལ-རྒོལ-བ	to dispute the hidden flaw; to dispute the hidden flaw/ weakness
མཚང-འཚལ-བ	to root out the hidden flaw/ weakness
མཚེར-པ	spleen
མཚོ	lake
མཚོ-གླིང	island
མཚོ-གླིང-མཁའ-འགྲོ	dakini of the isle(s)
མཚོན-བརྗོད	characterization/ illustration and (verbal) expression/ description
མཚོན-བྱ	object of definition/ illustration/ signification
མཚོན-བྱེད	(process of) definition/ illustration/ signification
མཚོན-ཆ	weapon
མཚོན-པ	to characterize/ illustrate/ designate/ signify/ indicate/ point out/ represent/ define; (to) portray(al); characterization/ designation; illustrated (as)
མཚོན-ཚིག	words that characterize
མཚོན-ཆའི-འཁོར-ལོ	whirling/ spinning blade
མཚོན-པའི-ཡུལ	object that can be characterized
མཚོན-བརྗོད-མེད-པ	cannot be characterized/ illustrated and/ or expressed/ described; defying illustration or expression/ description
མཚོན-བརྗོད-ལས-འདས-པ	beyond characterization/ illustration and/ or expression/ description
མཚུངས	{.་.་.་དང་མཚུངས་པ} parallel/ analogous (to); congruent/ coincident (with)
མཚུངས-ཟླ	approximation; rival
མཚུངས-ལྡན-གྱི-རྒྱུ	congruent cause
མཚུངས-པའི-རྐྱེན	condition that provides cohesiveness/ congruency/ continuity
མུ	(philosophical) alternative; boundary; restriction
མུ-བཞི	four (philosophical) alternatives
མུ-གེ	famine
མུ-ཁྱུད	circumference; rim
མུ-མཐའ	limiting alternative; boundary and/ or limit(ation); restriction and/ or limit(ation); isc. limitation(s)
མུ-རན	perimeter
མུ-སྟེགས-པ	(proponent/ holder of) extreme (religious) views
མུ-མཐའ-མེད-པ	without limiting alternatives/ boundary or limit/ restriction or limitation
མུ-མཐའ-དང-བྲལ-བ	free of limiting alternatives/ boundary or limit/ restriction or limitation; free of restrictive limitation(s)
མུན-ཁང	dark(ened) house/ room
མུན-མཚམས	retreat in darkness
མུན-པ	tamas; (the) darkness (of ignorance); obscurity (Skt. tamas); (the state of) unknowing
མུན-རྡོ	casting about in the dark
མུན-པ-ཅན	benighted (being)
མྱ-ངན	sorrow
མྱ-ངན-ལས-འདས-པ	nirvana; transcendence of sorrow/ nirvana
མྱང-འདས	mya ngan las 'das pa; nirvana; {མྱ་ངན་ལས་འདས་པ} transcendence of sorrow/ mya ngan las 'das pa
མྱོང-བ	to feel/ experience; to partake of (existence, e.g.); personal experience
ན	if . . . ; let me/ us . . . ; isc. whenever . . . ; isc. once . . .
ན-བ	to be ill/ sick/ feel pain
ན-ད	sound; primordial sound
ན-ཚ	illness/ sickness
ནད	disease
ནག-ཕྱོགས	forces of negativity/ evil
ནག-པོ	negative
ནམ-མཁའ	space; sky; openness
ནམ-ཞིག	at one/ a certain point; once; when . . .
ནམ-མཁའ-མཐའ-ཡས-ཀྱི-སྐྱེ-མཆེད	field of infinite space (1st of 4 states in formless realm)
ནམ-མཁའ-མཐའ-ཡས-སྐྱེ-མཆེད	{ནམ་མཁའ་མཐའ་ཡས་ཀྱི་སྐྱེ་མཆེད} field of infinite space (1st of 4 states in formless realm)
ནམ-མཁའི-མཐའ	limits/ far reaches of space; isc. limitless space
ནམ-མཁའི-རྣལ-འབྱོར	immersion in the genuine experience/ nature of space
ནན-དུ	{ནན་ཏན་དུ} scrupulous(ly)/ meticulous(ly); insistent(ly)
ནན-ཏན-དུ	scrupulous(ly)/ meticulous(ly); insistent(ly)
ནང	inner/ inward(ly)/ internal(ly)
ནང-བཅུད	(animate life forms as) inner contents; traditional contents (of a vase)
ནང-དབྱིངས	inner basic space
ནང-དུ	within/ inside
ནང-གསལ	inner/ inward/ internal(ized) lucidity
