ཀུད	{ཀུད} ND.gives as the present of {བཀུ}.
ཕོག	 see {འཕོག}| see {འབོགས} |{ཕོག} TC. gives as the present of {འཕོགས}. 
ཕོངས	 see {འཕེན} | see {འཕོང}| {ཕོངས} LZ. gives as the present of {འཕོངས}.  |Present: {ཕོངས} CD. \nPast: {ཕང} CD.\nMeaning:To save, spare, to use economy CD. 
ཕོང	{ཕོང} TC. gives as the present of {འཕོངས}. 
ཕོད	Present: {འཕོད} DK.\nPast: {ཕོད} DK.\nFuture: {འཕོད} DK.\nImperative: {ཕོད} DK.\nAuxiliary: {ཕོད} CD, DS. {འཕོད} CD, (DS).\nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning:1. To cope with, to be able, to coerce. 2. To withstand, to be a match for CD. To be capable of taking risk, to be courageous, to be able of taking decisions DK. To have courage, to be able DS.
ཕྱིད	 see {འཕྱིད}| see {འབྱིད} |Present: {ཕྱིད} CD, DS. \nPast: {ཕྱིད} [DS].\nFuture: {ཕྱིད} [DS].\nIntransitive: DS.\nMeaning:1. To suffice, to be sufficient. 2. To freeze, become frozen CD. For skin and flesh of a body and organic matter to change nature having frozen DS. 
ཕྱིན	Present: {ཕྱིནད} LZ. {ཕྱིན} DS. \nPast: {ཕྱིནད} LZ. {ཕྱིན} [DS].\nFuture: {ཕྱིན} LZ, [DS].\nImperative: {ཕྱིནད} LZ.\nIntransitive: DS.\nCharacteristic Example: {གནས་དང་ཡོན་ཏན་སོགས་ཀྱི་ཕ་རོལ་ཏུ} LZ.\nMeaning:To go, arrive DS.\nNote:generally regarded as the past of {འགྲོ}.
ཕྱིས	 see {འབྱིད}|Present: {ཕྱིས} DS. \nPast: {ཕྱིས} [DS].\nFuture: {ཕྱིས} [DS].\nIntransitive: DS.\nMeaning:To purify through rubbing an unclean smell on top of something DS. 
ཕྱུག	Present: {ཕྱུག} DK, DS, TC. \nPast: {ཕྱུག} DK, [DS], TC.\nFuture: {ཕྱུག} DK, [DS], TC.\nImperative: {ཕྱུག} DK. - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nMeaning:To enrich, to become rich DK. To have many things DS. To have great things, have many things TC.
ཕྱེད	Present: {ཕྱེད} CD, DK, DS, TC. \nPast: {ཕྱེད} DK, [DS], TC.\nFuture: {ཕྱེད} DK, [DS], TC.\nImperative: {ཕྱེད} DK. - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning:To change CD. To change, to be separated DK. 1. To distribute, to separate individually. 2. To change DS. 1. To distinguish, separate, separate boundaries. 2. To divide mentally, to know characteristics TC.\nNote:(Stein 1939: 306-7, 1942: 230) suggests this verb is related to {ཕྱ} 'oracle.'
ཕྱོ	 see {འབྱོ}|Present: {ཕྱོ་ཕྱོ} CD, DS. {ཕྱོ} DK. \nPast: {ཕྱོ} DK.\nFuture: {ཕྱོ} DK.\nImperative: {ཕྱོ} DK.\nMeaning:To incite or set on a dog CD. To order a dog to bite someone DK. A sound to incite, provoke a dog DS. 
ཕྱོགས	Present: {ཕྱོགས} CD, DK, DS, TC. \nPast: {ཕྱོགས} DK, [DS], TC.\nFuture: {ཕྱོགས} DK, [DS], TC.\nImperative: {ཕྱོགས} DK. - TC.\nInvoluntary: TC. Voluntary: (Hoshi 2003).\nIntransitive: CD, DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nDenominative of: {ཕྱོགས} 'direction' NWH.\nMeaning:1. To go aside, diverge, to turn. 2. To become visible, to make evident to CD. To divert, turn aside, go aside DK. To turn DS. `1. To face. 2. To enter upon an action. 3. To mentally attend to TC.
ཕྱོད	 see {འཕྱོད}|Present: {ཕྱོད} CD. \nMeaning:To be thorough, to carry through CD. 
ཕྲལ	 see {འཕྲལ}|{ཕྲལ} TC. gives as the present of {འཕྲལ}  
ཕྲས	Present: {ཕྲས} DS. \nPast: {ཕྲས} [DS]. \nFuture: {ཕྲས} [DS].\nIntransitive: DS.\nMeaning:To stretch out the hands and feet DS.
ཕྲི	 see {འབྲི}|{ཕྲི} CD. gives as a present of {འཕྲི}  
ཕྲུལ	Present: {ཕྲུལ} TC. \nPast: {ཕྲུལ} TC.\nFuture: {ཕྲུལ} TC.\nImperative: - TC.\nInvoluntary: TC.\nIntransitive: TC.\nMeaning:To hang down TC.
ཕྲེལ	{ཕྲེལ} ND. gives as the present of {འཕྲལ}.
དཕྲོག	 see {འཕྲོག}|{དཕྲོག} CD (Rdo 46). gives as a present of {འཕྲོག}. 
འཕག	 Present: {འཕག} LZ, CD, DK, DS, TC. {འཕགས} [LZ], ND. \nPast: {འཕགས} LZ, CD, ND, DK, DS, TC.\nFuture: {འཕག} LZ, DK, DS, TC. {འཕགས} [LZ].\nImperative: {འཕགས} LZ, DK. - ND, DS. {འཕོགས} TC.\nInvoluntary: ND, DS.Voluntary: TC.\nIntransitive: DS, TC.\nSyntax: [Abs. Abl./Ela.] (Hackett 2003).\nCharacteristic Example: {གོང་དུ} LZ.\nMeaning:To rise up, to be elevated, to raise one's self, to be uplifted or raised, to ascend CD. To bounce, to jump up, to be elevated DK. 1. To become higher in the upward direction. 2. To remain from others DS. To fly, flutter upward TC.\nNote:The verb tables of TC give {འཕགས} as a separate verb, the text does not justify this, nor does (li yung khrang 1988) follow them in this.|Present: {འཕག} DS. \nPast: {འཕག} [DS].\nFuture: {འཕག} [DS].\nIntransitive: DS.\nMeaning:For living creatures to shake, quiver DS. 
འཕང	 see {འཕེན}| {འཕང} DK. gives as a present of {ཕངས}  |Present: {འཕང} CD, DK. {ཕང} CD. {ཕོངས} CD.\nPast: {ཕངས} CD, DK.\nFuture: {ཕང} DK.\nImperative: {ཕངས} DK.\nMeaning:To save, spare, use economy (Ja) CD. To cause to be avaricious DK. 
འཕམ	Present: {འཕམ} LZ, CD, ND, DK, DS, TC. \nPast: {ཕམ} LZ, CD, DK, DS, TC. {འཕམ} ND.\nFuture: {ཕམ} LZ. {འཕམ} DK, DS, TC.\nImperative: {ཕམ} LZ. {ཕམས} DK. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: {དཔུང་སོགས} LZ.\nMeaning:To be defeated, subdued, vanquished, worsted, to succumb CD. To be defeated, to lose, fail, to feel dissatisfactory, to feel sorry DK. 1. To be defeated. 2. To deteriorate, weaken (belief, mental vigor &c.) DS. To be defeated unmatched by the other side TC.
འཕར	Present: {འཕར} LZ, CD, DK, DS, TC. {འཕརད} DK.\nPast: {འཕརད} LZ, DK.{འཕར} [DS], TC. {ཕར} DK.\nFuture: {འཕར} LZ, DK, [DS], TC.\nImperative: {འཕར} LZ. {འཕརད} DK. {ཕརད} DK. - TC.\nInvoluntary: TC.\nIntransitive: CD, DS, TC.\nResultative of: {སྤོར} CD, (Gyurme 1992: 260).\nCharacteristic Example: {གོ་ས་དང་ནད་སོགས} LZ.\nMeaning:1. To leap up, to fly up, to bound, to throb. 2. To be raised, elevated, promoted, advanced. 3. To flutter, to move to and fro (A. 16) CD. To increase, to become higher, increase, to go higher up, fly up, to pulse DK. 1. To multiply. 2. To get larger, higher. 3. To move to and fro DS. 1. To raise up, tremble. 2. To increase, multiply TC.\nNote:(Simon 1971: 474) suggests this verb is related via ablaut to {འཕུར} 'to fly'
འཕིབས	Present: {འཕིབས} DK. {འབུབས} ND.\nPast: {ཕིབ} DK.{ཕིབས} ND.\nFuture: {དབིབ} DK. {དབུབས} ND.\nImperative: {ཕིབས} ND, DK. \nVoluntary: NDB.\nCharacteristic Example: {ཐོག་སོགས} ND.\nMeaning:To pitch a tent, roof, umbrella DK.\nNote: Compare {འབུབས}.
འཕིརད	Present: {འཕིརད} DK. \nPast: {ཕིར} DK.\nFuture: {འཕིར} DK.\nImperative: {ཕིརད} DK.\nMeaning:To jump, leap, sparkle DK.
འཕུང	Present: {འཕུང} CD, DS, TC. {འཕུངས} DK. \nPast: {ཕུང} CD, DK, DS, TC.\nFuture: {འཕུང} DK, DS, TC.\nImperative: {ཕུངས} DK. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning:To degenerate, decay, to be in declining circumstances, to wear away CD. To ruin, to degenerate, to decay DK. To destroy, harm, injure DS. 1. To lose, destroy, harm, injure. 2. To be collected together, to compound, assemble, collect TC.
འཕུད	Present: {འཕུད} LZ, CD, DS. {ཕུད} TC. \nPast: {ཕུད} LZ, CD, DS, TC.\nFuture: {ཕུད} LZ, TC. {འཕུད} DS.\nImperative: {ཕུད} LZ, DS, TC.\nVoluntary: DS, TC, (Tournadre & Dorje 2003: 281), (Hoshi 2003).\nTransitive: DS. Intransitive: TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 281).\nResultative of: {འབུད} (Duff).\nCharacteristic Example: {ཚོགས་ཀྱི་ནང་ནས} LZ.\nMeaning:To transfer, lay aside, to put apart CD. 1. To take out from among, to expel. 2. To take from the body (wool &c.). 3. To take something from one direction and drive away DS. To expel out, drive away TC.
འཕུབ	{འཕུབ} CD. gives as the present of {འབུབས}.
འཕུར	 Present: {འཕུར} LZ, CD, DK, DS, TC.\nPast: {འཕུརད} LZ, DK, DS. {ཕུར} CD. {འཕུར} TC.\nFuture: {འཕུར} LZ, DK, DS, TC.\nImperative: {འཕུར} LZ. {འཕུརད} DK. - DS, TC.\nInvoluntary: DS, TC. Voluntary: (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: {སྤུར} CD, (Gyurme 1992: 260), (Beyer 1992: 116).\nCharacteristic Example: {ནམ་མཀར} LZ.\nMeaning:1. To fly. 2. To fan, flop to and fro CD. To fly, to fly in the sky DK. 1. For a bird, kind of insect to use wings to go, come in the intermediate space between heaven and earth. 2. For something to float, fly in the sky DS. To go in the sky, fly in the intermediate space between heaven and earth TC.\nNote:(Simon 1971: 474) suggests this verb is related via ablaut to {འཕར} 'to raise'|Present: {འཕུར} CD, DK, DS, TC. \nPast: {ཕུར} CD, DK, DS, TC.\nFuture: {དབུར} DK.{འཕུར} DS, TC.\nImperative: {ཕུརད} DK, DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning:To rub with the hand (e.g. in washing), to scratch softly (Ja) CD. To rub, to tan DK. To touch again and again in the same place, to tub DS. To tan, to scratch TC. 
འཕུལ	Present: {འཕུལ} LZ, CD, DK, DS, TC. \nPast: {འཕུལད} LZ, DK. {འཕུལ} [DS], TC.\nFuture: {འཕུལ} LZ, DK, [DS], TC.\nImperative: {འཕུལ} LZ, TC. {འཕུལད} DK.\nVoluntary: TC.\nTransitive: DS, TC.\nCharacteristic Example: {གྲངས་སོགས་ཀྱི་ཁ་དང་ནན་ནས་ཕྱིར} LZ.\nMeaning:To press, drive, push, knock CD. To be prefixed, to come in front of DK. To make pass DS. 1. To leave behind, abandon, reject. 2. To prefix a letter to a root letter TC.
འཕེན	Present: {འཕེནད} LZ. {འཕེན} CD, ND, DK, DS, TC.\nPast: {འཕངས} LZ, CD, ND, DK, DS, TC.\nFuture: {འཕང} LZ, CD, ND, DK, DS, TC.\nImperative: {ཕོངས} LZ, DS. {འཕོངས} ND, TC. {ཕོང} DK. {འཕེནད} DK.\nVoluntary: ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {ཟོར་དང་མདའ་སོགས} LZ. {མདའ་སོགས} ND.\nMeaning:To throw, to fling CD. To throw, shoot, to give up DK. To expel, shoot out (arrows, bullets &c.) relying on (elastic power &c.) DS. To throw, strike, throw out, throw away TC.
འཕེབས	{འཕེབས} DK. gives as the present of {འབེབས}.
འཕེར	Present: {འཕེར} CD, DK, TC. \nPast: {ཕེརད} DK.{འཕེར} TC. \nFuture: {ཕེར} DK. {འཕེར} TC.\nImperative: {འཕེརད} DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: TC.\nMeaning:To raise CD. To be able, to be capable, to be serviceable, to be eligible DK. To be able, appropriate TC.
འཕེལ	Present: {འཕེལ} LZ, CD, DK, DS, TC. {འཕེལད} DK. \nPast: {འཕེལ} LZ, [DS], TC. {ཕེལ} CD, DK.{འཕེལད} DK. \nFuture: {འཕེལ} LZ, DK, [DS], TC.\nImperative: {འཕེལ} LZ. {ཕེལད} DK. {འཕེལད} DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: {སྤེལ} (Beyer 1992: 116).\nCharacteristic Example: {འཆད་ཉན་དང་རྟ་ནོར་སོགས} LZ.\nMeaning:To increase either in number or in size, to become more or larger CD. To increase, to become larger, bigger, to become wider, develop DK. 1. To increase in number. 2. To increase in size, volume DS. To increase in size, increase in number TC.\nNote:(Denwood 1991: 136) suggests the following forms {བེལ} , {འབེལ} , {འཕེལ} , {སྤེལ} , {ཕེའུ} , {འཕེའུ} , with the meanings 'declare, make known, publicize, expose, accuse.' 
འཕོ	Present: {འཕོ} LZ, CD, ND, DK, DS, TC. \nPast: {འཕོས} LZ, CD, ND, DK, DS, TC. {འཕོ} ND.\nFuture: {འཕོ} LZ, ND, DK, DS, TC.\nImperative: {འཕོས} LZ, ND, DK. {ཕོས} CD. - ND, DS, TC.\nInvoluntary: ND, DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: {སྤོ} (Beyer 1992: 116).\nCharacteristic Example: {གནས་དང་རྣམ་ཤེས་སོགས} LZ. {གནས་ནས} ND.\nMeaning:To change place, go, move oneself away, migrate CD. To be transferred, to move from one place to another place, to change DK. 1. To move from one place to another place. 2. To die DS. To go, to pass on TC.\nNote:(Beyer 1992: 83) suggests {འཕྱོ} 'range, roam about, gambol' is derived from this verb via palatalization.
འཕོག	Present: {འཕོག} LZ, CD, DS. {འཕོགས} DK. {ཕོག} TC. \nPast: {ཕོག} LZ, CD, DK, DS, TC.\nFuture: {ཕོག} LZ, TC. {འཕོག} DK, DS.\nImperative: {ཕོག} LZ. {ཕོགས} DK. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: {འབོགས} (Duff).\nCharacteristic Example: {གནད་དང་ཐུགས} LZ.\nMeaning:To strike, to affect, influence, touch CD. To hit, strike DK. 1. To hit on top. 2. To come on top of the meaning of a verbal expression, to hurt, to offend someone. 3. To get sick, be ill DS. To hit, strike TC.\nNote: Compare {འབགས} , {སྦག}.
འཕོང	Present: {ཕོངས} LZ. {འཕོངས} CD, DK, DS. {ཕོང} TC.\nPast: {འཕོངས} LZ, CD. {ཕོངས} DK, DS, TC.\nFuture: {ཕོངས} LZ. {འཕོང} DK. {འཕོངས} DS. {ཕོང} TC.\nImperative: {ཕོངས} LZ, DK. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Instr.] CD, (Hackett 2003).\nCharacteristic Example: {རྒྱུ་ནོར་སོགས་ཀྱིས} LZ.\nMeaning:1. To be poor, indigent, unfortunate. 2. (with instrumental) To be bereft of, to lose CD. To be destitute, to become poor DK. To become poor, to not have many possessions DS. To be poor TC.
འཕོད	{འཕོད} CD, DK, (DS). give as an alternate of {ཕོད} 
འཕོལ	Present: {འཕོལ} DK. \nPast: {ཕོལད} DK.\nFuture: {ཕོལ} DK.\nImperative: {འཕོལད} DK.\nMeaning:To break through the difficulties of knowing DK.
འཕྱ	Present: {འཕྱ} LZ, CD, DK, DS. \nPast: {འཕྱས} LZ, CD, DS. {ཕྱས} DK.\nFuture: {འཕྱ} LZ, DS. {ཕྱ} DK.\nImperative: {འཕྱས} LZ, DK, DS.\nVoluntary: DS.\nTransitive: DS.\nCharacteristic Example: {གཞན་ལ} LZ.\nMeaning:To blame, censure, chide, abuse, deride CD. To reprove, to blame, criticize DK. To abuse, mistreat, insult, belittle DS.
འཕྱག	Present: {འཕྱག} LZ, CD, DK, DS, TC. \nPast: {འཕྱགས} LZ, CD, TC. {ཕྱགས} DK, DS\nFuture: {འཕྱག} LZ, TC. {ཕྱག} DK, DS. \nImperative: {ཕྱགས} LZ. {འཕྱགས} DK. {ཕྱོགས} DS. {འཕྱོགས} TC.\nVoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nCharacteristic Example: {རྡུལ་སོགས} LZ.\nMeaning:To sweep CD. To sweep, to clean with a broom DK. To clean dirt, dust with a broom DS. To clean TC.
འཕྱང	Present: {འཕྱང} LZ, CD, DS, TC. \nPast: {འཕྱངས} LZ, CD, (DS), TC. {ཕྱང} DK. {འཕྱང} [DS].\nFuture: {འཕྱང} LZ, DK, [DS], TC.\nImperative: {ཕྱོངས} LZ. {ཕྱངས} DK. - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nResultative of: {སྤྱང} (Beyer 1992: 116).\nCharacteristic Example: {འོག་དང་ཐུར་དུ} LZ.\nMeaning:To hang down, to be suspended, to hang on to CD. To be suspended, to hang down DK. To hang down from the end of a long thing DS. To be bent downward by nature TC.
འཕྱན	Present: {འཕྱན} LZ, CD, DS, TC. {འཕྱནད} DK.\nPast: {འཕྱནད} LZ. {ཕྱན} DK. {འཕྱན} [DS], TC.\nFuture: {འཕྱན} LZ, DK, [DS], TC.\nImperative: {ཕྱོནད} LZ. {ཕྱནད} DK. {འཕྱོན} TC.\nVoluntary: TC.\nIntransitive: DS, TC.\nCharacteristic Example: {ཕྱོགས་ཕྱོགས་སུ} LZ.\nMeaning:To ramble, range, roam about, wander, stray from (Ja) CD. To wonder, to ramble DK. 1. To turn. 2. To travel without a definite destination DS. To roam, wander TC.
འཕྱར	 see {འཕྱོར}|Present: {འཕྱར} CD, ND, DK, DS, TC. \nPast: {ཕྱརད} ND, DK. {ཕྱར} DS, TC.\nFuture: {འཕྱར} ND, TC. {ཕྱར} DK, DS.\nImperative: {ཕྱོརད} ND, DK. {ཕྱོར} CD, DS, TC. {འཕྱོར} CD.\nVoluntary: CD, ND, DS, TC., (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {བ་དན་སོགས} ND.\nMeaning:1. To hoist, lift, to hold aloft. 2. To show, to represent, to excite, to awaken (Cs.) CD. To lift up, to raise, to hoist a flag DK. 1. To winnow (kinds of grain &c.) in the wind. 2. To stick in a high place DS. To raise, hoist on high TC. 
འཕྱི	Present: {འཕྱི} LZ, CD, DK, DS, TC. \nPast: {འཕྱིས} LZ, CD, DK, DS, TC. {ཕྱིས} CD.\nFuture: {འཕྱི} LZ, DK, DS, TC.\nImperative: {འཕྱི} LZ.{འཕྱིས} DK. - DS, TC.\nInvoluntary: DS, TC.\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: {དུས་ཚོད་སོགས} LZ.\nMeaning:To be late, to be belated, to come too late CD. To be late, to come later DK. For a certain time to pass DS. To be late, to be delayed TC.
འཕྱི་	Present: {འཕྱི} (Gyurme 1992: 261).\nResultative of: {འབྱི} (Gyurme 1992: 261).\nMeaning:To be effaced (Gyurme 1992: 261).
འཕྱིང	Present: {འཕྱིངས} DK, TC. {འཕྱིང} DS. \nPast: {ཕྱིང} DK. {འཕྱིངས} DS, TC.\nFuture: {འཕྱིང} DK, DS.{འཕྱིངས} TC. \nImperative: {ཕྱིངས} DK. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning:To intermingle, to become like felt DK. To be tangled DS. To be tangled, get stuck together TC.
འཕྱིད	 {འཕྱིད} CD, ND, (DS). give as the present of {འབྱིད}  | {འཕྱིད} ND. gives as the present of {འབྱིད} |Present: {འཕྱིད} CD, DK, TC. \nPast: {ཕྱིད} DK, TC.\nFuture: {འཕྱིད} DK, TC.\nImperative: {ཕྱིད} DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: TC.\nMeaning:To suffice, be enough CD. To spoil the eyes in snow DK. 1. To suffer in the limbs, or power of eyesight. 2. To finish, to carry through with TC.\nNote: Compare {འབྱིད}. 
འཕྱིལ	Present: {འཕྱིལ} CD. \nMeaning:To wind, to twist (Wdn.) (Ja) CD.
འཕྱུག	Present: {འཕྱུག} LZ, CD, DK, DS, TC. {འཕྱུགས} CD. \nPast: {འཕྱུགས} LZ, DK, DS, TC.\nFuture: {འཕྱུག} LZ, DK, DS, TC.\nImperative: {འཕྱུགས} LZ, DK. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nCharacteristic Example: {ཚེས་གྲངས་དང་ལམ་སོགས} LZ.\nMeaning:1. To mistake, to be mistaken. 2. To miss CD. To mistake, to be mistaken DK. To make a mistake, to be confused DS. To make a mistake, blunder, go wrong TC.\nNote: Compare {འཆུག}.
འཕྱུར	Present: {འཕྱུར} LZ, CD, DK, DS, TC. \nPast: {འཕྱུརད} LZ. {ཕྱུར} DK. {འཕྱུར} [DS], TC.\nFuture: {འཕྱུར} LZ, DK, [DS], TC.\nImperative: {ཕྱུརད} LZ, DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nCharacteristic Example: {མཚོ་དང་དུ་བ་སོགས} LZ.\nMeaning:1. To ascend, to mount, to rise up (of smoke), to overflow, inundate (of rivers, lakes &c.). 2. To heap up, to accumulate (Sch.) CD. To rise up, to overflow DK. To bubble up (clouds, smoke &c.) DS. To spread, diffuse, curl, swirl TC.
འཕྱེ	Present: {འཕྱེ} LZ, CD, DK, DS, TC. \nPast: {འཕྱེས} LZ, CD, DS, TC. {ཕྱེས} DK.\nFuture: {འཕྱེ} LZ, DK, DS, TC.\nImperative: {འཕྱེ} LZ. - DS, TC.\nInvoluntary: DS, TC.\nIntransitive: DS, TC.\nCharacteristic Example: {ཁྲོ་བ་སོགས་ཀྱིས} LZ.\nMeaning:To crawl, to creep, like snakes CD. To creep like a snake, to move on stomach close to the ground [sic] DK. To crawl, slither without feet DS. To go TC.
འཕྱོ	Present: {འཕྱོ} LZ, CD, ND, DK, DS, TC. \nPast: {འཕྱོས} LZ, CD, DS. {འཕྱོ} ND, TC.{ཕྱོས} DK. \nFuture: {འཕྱོ} LZ, DK, DS, TC.\nImperative: {འཕྱོ} LZ. {འཕྱོས} DK. - DS, TC.\nInvoluntary: DS, TC.\nIntransitive: DS, TC.\nCharacteristic Example: {བར་སྣང་སོགས་སུ} LZ.\nMeaning:1. To move, throb, be agitated. 2. To soar, to float in the air (Thgy.). 3. To flow forth, heave, smell (of fluids). 4. To range, roam about, gambol CD. To move, to wave, to throb DK. 1. To leap, surge upward. 2. For the mind to flitter about because of one condition. 3. To float, glide on the surface of water DS. 1. To fly, leap. 2.To raise up, jump. 3. For the mind to be unhappy TC.\nNote:(Beyer 1992: 83) suggests that this verb derives from {འཕོ} 'change place, shift' via palatalization. (Duff) suggests it is related to {འཕྱེ} 
འཕྱོང	Present: {འཕྱོང} CD, ND, DS. \nPast: {འཕྱོང} ND.\nMeaning:1. To protect. 2. To lay aside, abandon CD. (archaic) To protect, take care of DS.
འཕྱོད	Present: {འཕྱོད} DK. \nPast: {ཕྱོད} DK.\nFuture: {ཕྱོད} DK.\nImperative: {ཕྱོད} DK.\nMeaning:To cover up DK.
འཕྱོར	Present: {འཕྱོར} LZ, CD, TC. \nPast: {འཕྱརད} LZ. {འཕྱོར} TC.\nFuture: {འཕྱར} LZ. {འཕྱོར} TC.\nImperative: {འཕྱོརད} LZ.{འཕྱོར} TC.\nVoluntary: TC.\nTransitive: DS.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {རུ་མཚོན་སོགས} LZ.\nMeaning:1. To rove. 2. To raise, brandish, feel, sense CD. To be rich, to adorn TC.\nNote:DS gives as an orthographic variant of the adjective {མཆོར} 'handsome'
འཕྲ	Present: {འཕྲ} CD, DS. \nPast: {འཕྲས} CD, DS.\nFuture: {འཕྲ} DS.\nImperative: - DS.\nInvoluntary: TC.\nTransitive: DS.\nMeaning:To kick, to strike with the foot, to struggle CD. To kick (of a horses and yaks) DS.
འཕྲག	Present: {འཕྲག} CD. \nMeaning:To stir up, to spur (a horse &c.) CD.
འཕྲངས	Present: {འཕྲངས} DK. \nPast: {ཕྲང} DK.\nFuture: {འཕྲང} DK.\nImperative: {ཕྲངས} DK.\nMeaning:To be anxious, to be attached, enthusiastic DK.\nNote: Compare {འཕྲེང}.
འཕྲད	Present: {འཕྲད} LZ, CD, ND, DK, DS. {ཕྲད} DS. {ཕྲེད} CD.\nPast: {ཕྲད} LZ, CD, DK, DS, TC. {འཕྲད} ND.\nFuture: {ཕྲད} LZ, CD, DK, DS. {འཕྲད} DS, TC.\nImperative: {ཕྲད} LZ, DK. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Ass.] (Hackett 2003).\nCharacteristic Example: {རྒྱུ་རྐྱེན་ཕན་ཚུན} LZ.\nMeaning:To interview, to meet together CD. To meet, to face DK. To assemble at one time DS. To meet TC.
འཕྲབ	Present: {འཕྲབ} CD, DK. \nPast: {ཕྲབས} DK.\nFuture: {ཕྲབ} DK.\nImperative: {འཕྲབས} DK.\nMeaning:To kick, struggle, dance CD. To beat, to harm DK.
འཕྲལ	Present: {འབྲལ} KYN, LZ, DS. {འཕྲལ} CD, DK, (DS). {ཕྲེལ} ND. {ཕྲལ} TC. \nPast: {ཕྲལ} KYN, CD, DK, DS, TC. {འཕྲལད} LZ, ND.\nFuture: {དབྲལ} KYN, LZ, CD, DK, DS. {འཕྲལ} ND. {འབྲལ} (ND). {ཕྲལ} TC.\nImperative: {ཕྲོལད} KYN, LZ, ND. {ཕྲོལ} CD, DK, DS, TC.\nVoluntary: KYN, CD, DS, TC, (Hoshi 2003).\nIntransitive: [CD], DS, TC.\nSyntax: [Abs? Ass.] CD. [Erg. Abs.] (Hackett 2003).\nCausative of: {འབྲལ} CD (Ja), (Chang 1971: vii.2), (Gyurme 1992: 261), (Duff).\nCharacteristic Example: {མཛའ་བོ་སོགས་སོ་སོར} LZ. {སོ་སོར} ND.\nMeaning:(with the word dang signifying 'from') To separate, part CD. To part, to separate, to keep apart, put apart DK. 1. To separate individually. 2. To pierce, tear. 3. To enter in order to separate (e.g. friends and enemies) DS. 1. To throw away, separate, make different. 2. To tear, rip TC.
འཕྲི	Present: {འབྲི} KYN ,(LZ,) (NDB).{བྲི} LZ.{འཕྲི} CD, DK, (DS), (TC). {ཕྲི} CD. {འབྲིད} ND, DS, TC. \nPast: {ཕྲིས} KYNZ\nKYNCW has the reading bris., CD, TC, ND. {ཕྲི} LZ, DK, DS.\nFuture: {དབྲི} KYNZ, LZ, NDA, DK, DS, TC. {དཔྲི} CD. {འབྲི} NDB. \nImperative: {ཕྲིས} KYNZ, (LZ) CD, ND, DK, DS, TC. {ཕྲི} LZ.\nVoluntary: CD, ND, DS, TC, (Hoshi 2003).\nTransitive: CD, DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {འབྲི} (Chang 1971: vii.3).\nCharacteristic Example: {རྫས་སོགས་ཀྱི་ཁ་ནས} LZ. {ཉུང་ཕྱིར} ND.\nMeaning:To diminish, take away from CD. To reduce, to make less, diminish DK. To subtract from a round number DS. To make fewer TC.
