འབའ-ཞིག	kevala. n^anyatra
མ-གཏོགས-པ	vinirmukta; sthApayitvA. nirmukta. a-paryApanna. varjya. vivarjita
མ-གཏོགས-པར	sthApayitvA
མ-གཏོགས-པའི-ཁམས	a-paryApannA dhAtavaH
མ-སྙོམས-པ	vaiSamika. vaiSamya
མ-ཕྲད-པ	anAgamya. a-samavahita
མ-བསྐྱེད-པ	an-utpanna. an-utpAdya
མ-འོངས-པ	anAgata; a-yukta. vaiSamya
མ-འོངས-པའི-ལས	anAgataM karma
མ-འོངས-པའི-དུས-ལ	anAgate-adhvani
མ-འོངས-པའི-དུས-ན	anAgate adhvani
མ-འོངས-པའི-ཤེས-བྱ	anAgata-jJeya
མ-འོངས-པའི-དངོས-པོ	anAgata-bhAva
མ-འོངས-པར-འགྱུར-བ	anAgata-bhUta
མ-འོངས-པར-དགོད-པར	a-yukta-parihAsa
མ-རྒྱལ-པ	nirjita
མ-བསགས-པའི-ལས	anupacitaM karma
མ-ཉམས-པ	a-khaNDa. an-upahata. a-praNaSTa
མ-ཉམས-པར-བྱེད-པ	a-khaNDa-cArin
མ-ཉམས-པ-དང-སྐྱོན-མེད-པར-བྱེད-པ	a-khaNDa-cchidra-kArin
མ-དགའ-བར-གྱུར-དུ-དོགས-པ	manyu-saMbhAvanA-jAta
མ-རྙེད-པ	a-lAbha
མ-བྱིན-པ	a-datta. an-anupradAna. an-anuprayacchat
མ-བྱིན-པར-ལེན-པ	a-datt^adAna
མ-བྱིན-པར-ལེན-པ-སྤངས-པ	a-datt^adAna-virati
མ-བྱིན-པར-ལེན-པར-བྱེད-པ	a-datta-AdAyika. a-datt^adAyin
མ-བྱིན-པ-ལ-དགའ-བ	a-datta-rata
མ-གུས-པ	anAdara; a-gauravatA. a-gaurava. apaviddha. a-satkRtya
མ-གུས-པར-འགྱུར-བ	anAdara-jAta
མ-ཤེས-པ	a-vijJAya
མ-ཤེས-པ-ལོག-པར-མངོན-པར-ཞེན-པ	a-jJAna-mithy^abhiniveza
མ-ཤེས-པར-བྱས-པ	a-jJAna-kRta
མ-གྱུར-པ	a-bhUt
མ-ཐག-གིས	saha
མ-ཐག-ཏུ	anantaram
མ-བྱང-བ-མ-ཡིན-པ	n^avyutpanna
མ-རྫོགས-པ	a-saMpUrNa
མ-རིག-པ	a-vidyA
མ-རིག-པའི-དབང	a-vidyA-vaza
མ-རིག-པའི-མུན-པ	a-vidy^andhakAra
མ-རིག-པའི-མུན-པ-ཆེན-པོ	mah^avidy^andhakAra
མ-རིག-པའི-མུན-པ-ཆེན-པོར-ཞུགས-པ	mah^avidy^andhakAra-praviSTa
མ-རིག-པ-འགག-པ	a-vidyA-nirodha
མ-ཞིག-པ	a-vipraNAza. a-bhraSTa
མ-བསྡམས-པ	a-saMvRta
མ-བརྟགས-པ	a-cintayitvA. an-abhyUhya. a-nirdhArita
མ-བརྟགས-པའི-ཤེས-རབ-ཉོན-མོངས-པ-ཅན	a-nirdhAritA-kliSTA prajJA
མ-སྤྱད-པ	a-carita
མ-འདས-པ	an-atIta
མ-བཟུང-བ	n^odgRhItam
མ-ཤི-བ	na mRtA
མ-རྨོས-མ-བཏབ-པ	a-kRST^opta
མ-དྲོས-པ	an-avatapta
མ-རེག-པ	a-sparzita
མ-ལྕོགས-པ	a-pratibala
མ-བྱས-པ	a-kRta. a-kRtvA. an-adhyApanna
མ-བྱས-པའི-ལས	a-kRtaM karma
མ-བྱུང-བ	an-utpanna. a-bhUtvA
མ-བྱུང-བ-བྱུང-བར-འགྱུར-བ	abhUtvA bhAvaH
མ-མོ-འཛིན-པ	mAtRkA-dhara
མ-བསྔགས-པ	vivarNita
མ-གཡེངས-པ	a-vikSipta
མ-བསླངས-པ	an-arthita. a-yAcita
མ-འཁྲུགས-པ	a-vyutkramanti
མ-ལུས-པ	kRtsna. niravazeSa
མ-ལུས-པར	niHzeSa; niravazeSataH. azeSa
མ-ལུས-པར-སྤངས-པ	niHzeSa-prahANa
མ-ལུས-པར-མེད-པར-གྱུར-པ	a-zeS^oparama
མ-ལུས-པར-ཟད-པ	a-zeS^oparama
མ-ལུས-པར-སྤོང-པ	a-zeSa-prahANa
མ-ལུས-པར-སྤོང-བ-དང-ལྡན-པ	a-zeSa-prahANavat
མ-ལུས-པར-གཏན-མེད-པར-འགྱུར-བ	niravazeSato 'tyant^oparamaH
མ-བསྲུངས-པ	a-gupta
མ-དྲིས-པ	a-pRSTa
མ-བབ-པའི-བར-དུ	a-prApta
མ-མཐོང-བ	a-darzana. a-darzin
མ-བསྐོས-པ	an-uddiSTa
མ-བཏུད-པ	anavanta
མ-ལངས-པ	a-vyutthita
མ-སྦྲན-པ	a-pratisaMvedita
མ-རུངས-པ	raudra; pralugna. raudratA
མ-གཡོགས-པའི-ཕྱོགས	vivRte deze
མ-རྙིངས-པ	a-mlAna
མ-ནིང-གི-ལུས	SaNDhaka-kAya
མ-སྤངས-པ	a-nisRSTa. a-parihAra. a-prativirata. a-prahINa. a-mukta
མ-བསླབས-ན	a-zikSamANa
མ-དག-པ	a-zuddhatA. a-zuddha
མ-དག-པའི-བསམ-པ	a-zuddh^azaya
མ-དད-པ	Azraddhya; a-prasanna. a-zraddha. a-zrAddha
མ-དད-པ-ཤས-ཆེ-བ	Azraddhya-bahula
མ-སྨས-པ	a-kSata
མ-འདྲིས-པ	a-paricita. a-saMstuta
མ-སྨད-པ	a-vigarhita
མ-ཡིན-པ	na pratirUpaM syAt. vinirmukta
མ-བཅོལ-བ	a-yAcita
མ-ལོག-པ	a-vipanna
མ-གྱེས-པ	a-vizIrNa
མ-ཟིན-པ	an-upAtta. anupAtta. a-pariprApya
མ-ཟིན-པའི-འབྱུང-བ-ཆེན-པོའི-རྒྱུ-ལས-བྱུང-བ	anupAtta-mahAbhUta-hetuka
མ-ཆགས-པ	a-lobha
མ-ཞུ-བ	a-pariNata
མ-ཞུ-བར-ཟ-བ	a-pariNata-bhojini
མ-ཞུ-བ-བསགས-པ	Ama
མ-ཞུ-བ-བསགས-པ-འབྱིན-པར-མི-བྱེད-པ	AmaM n^oddharati
མ-མོས-པ	an-adhimucyamAna
མ-མྱོང-བ	na jAtu
མ-ཞི-བ	an-upazAnta
མ-ངེས-པ	a-nizcita. a-niyama
མ-ངེས-པ-ཉིད-དུ-ངེས-པའི-ཕུང-པོ	a-niyata-rAzi-niyata
མ-སྐྱེས-པ	a-janmatA. a-jAta. an-utpanna
མ-སྐྱེས-པའི-མཚན-ཉིད	an-utpanna-lakSaNa
མ-སྐྱེས-པའི-མཉམ-པ-ཉིད	a-jAta-samatA. an-utpanna-samatA
མ-རྟོགས-པ	an-adhigata. a-vyutpanna
མ-འདྲེས-པ	AveNika; kaivalya. a-vyavakIrNa. a-vyAmizra
མའི-མངལ	mAtuH kukSau garbhasya. mAtR-kukSi
མའི-ལྟོ-བར-མངལ-དུ-འཇུག-པར-འགྱུར-བ	mAtuH kukSau garbhasy^avakrAntir bhavati
མའི-ནུ-ཞོ	mAtuH-stanya
མའི-མངལ-ན-གནས-པ	mAtuH kukSi-gateSu
མའུ-དགལ-གྱི-བུ	maudgalyAyana
མལ	zayyA
མལ-ཆ	zayana. zaya
མལ-ཆ-དང-སྟན	zayana-Asana. zayan^asana
མལ-ཆ-དང-སྟན-གྱི-འདུ-ཤེས	zayan^asana-saMjJA
མལ-ཆ-དང-བཤམས-པ	zayan^asana-prajJapti
མན-ཆད	ataH. Urdhvam
མན-ངག	upadeza
མན-ཤེལ	zilA
མན-ཆད-དུ	yAvat
མན-ངག-ཡིད-ལ-བྱེད-པའི-ཁྱད-པར	deza-manaskAra-vizeSa
མན-ངག-སྦྱིན-པར-བྱེད-པ	upadezam anuprayacchati
མན-དཱ-ར-བ	mandAraka
མང-བ	bahula; prakIrNa. pracuratA. bahulatA
མང-དུ	prabhUta. bahu. bahula. ati
མང-པོ	prabhUta. bahutva. bahu. bAhulya; pracura. saMbahula
མང-པོ-ཞིག	bahu
མང-པོར-གྱུར-ནས-གཅིག-ཏུ-འགྱུར-བ	bahudhAbhUtvA eko bhavat
མང-བར-འགྱུར-བ	bahulI-bhavati
མང-བ-ཉིད	bahulatA
མང-དུ-ཟོས-པ	prabhUta-bhakSaNa
མང-དུ-ཐོས-པ	bahu-zruta. bAhu-zrutya
མང-དུ-ཐོས-པའི-སྟོབས-བསྐྱེད-པ	bAhu-zrutya-bal^adhAnatA
མང-དུ-བྱས-པ	bahulI-kAra
མང-དུ-གནས-པ	bahula-vihArin
མང-དུ-འབྱུང-བ	utsadattva
མང-དུ-ཡིད-ལ-བྱེད-པ	bahula-manaskAra
མར	navanIta. sneha. sarpis
མར-ཁུ	ghRta
མར-མེ	pradIpa
མར-ལྟ-བུ	sneha-sthAnIya
མར-འཛིན-པ	mAtR-jJA
མར-གྱི-ངོ	kRSNa-pakSa
མར-གྱི-རོ	sarpI-rasa
མར-མེའི-འོད	pradIpa
མར-མེའི-སྙིང-པོ	sneha-varti
མར-མེའི-སྙིང-པོ-ལྟ-བུ	varti-sthAnIya
མར-འབྲི-བ	apakarSa
མར-མེ-བྱིན-པ	pradIpa-da
མར-མེ-རྣམ-པར-མ-དག-པའི-རང-བཞིན	pradIpasy^avizuddhasya svabhAvaH
མར-མེ-དང-སྒྲོན-མ	pradIp^olkA
མས	adhastAt
མས-ཡར-ཕུག-པ	adhastAd vidhyanti
མཆན-ཁུང	kakSa. kakSA
མཆི-མ	azru
མཆི-མ-འཁྲུག-ཅེས-བྱེད-པ	azru-prapAta
མཆིལ-མ	kheTa
མཆིལ-པ	baDiza
མཆིལ-མས-གོས-པ	kheT^akRta
མཆིལ-མའི-ཚོགས-ཀྱིས-བརླན-པ	lAlA-visara-viklinna
མཆིན-པ	plIhaka
མཆོད-པ	pUjanA. pUjA; pUjyatva. apaciti. /pUj:pUjya
མཆོད-རྟེན	caitya
མཆོད-སྦྱིན	yajJa; huta
མཆོད-པར-བྱ-བ	pUjanIya
མཆོད-པར-བྱ-བའི-སྦྱིན-པར-བྱ-བའི-དངོས-པོ	pUjA-karaNIye deya-vastuni
མཆོད-པར-འགྱུར-བ	pUjyatva
མཆོད-པར-བྱེད-པ	/pUj:pUjayati
མཆོད-པར-བྱེད-པར-འགྱུར-བ	/pUj:pUjayeyuH
མཆོད-སྦྱིན-བྱེད-པ	/hu:juhoti
མཆོད-སྦྱིན-དུ-བྱ-བ	/hu:hUyate
མཆོད-པ-བྱས	sAmIcIM kRtvA
མཆོད-པ-ཡོངས-སུ-འཛིན-པ	pUjA-parigrahaNa
མཆོད-པ-མི-བྱེད-པ	na-apacitiM kartA bhavati
མཆོད-པ-བྱས-ནས	sAmIcIM kRtvA
མཆོད-པ-དང-རིམ-གྲོ	pUj^opasthAnatA. pUj^opasthAna
མཆོད-པ-དང-རིམ-གྲོ-བྱ-བ	pUj^opasthAnatA
མཆོད-པ-བྱེད-པ	pUjA
མཆོད-པ-ཀུན-ནས-ཉོན-མོངས-པ-ཅན-མ-ཡིན-པ	a-saMkliSTA pUjA
མཆོད-པ-ཆེན-པོ	udAra-pUjA
མཆོད-རྟེན-ལ-མཆོད-པ	caitya-pUjA
མཆོད-རྟེན-གསར-བ	abhinava-caitya
མཆོད-རྟེན-རྙིང-པ	purANa-caitya
མཆོད-པའི-བྱ-བ	pUj^adhikArika
མཆོག	parama. para. zreSTha. agra. vara. utkarSa. uttama; pravara. agratva. agrya
མཆོག-ཏུ	parama. agra. agrya
མཆོག-མ-ཡིན-པ	apara
མཆོག-ཏུ-རྒུད-པ	paramAH-vipattayaH
མཆོག-ཏུ-དཀའ-བ	parama-duSkara
མཆོག-ཏུ-དགའ-བ	prAmodya; prIti-prAmodya
མཆོག-ཏུ-དགའ-བ-ཆེན-པོ	mahA-prAmodya
མཆོག-ཏུ-དགའ-བ-ཆེན-པོ-ལ-གནས-པ	mahA-prAmodya-sthita
མཆོག-ཏུ-དགའ-བ-སྐྱེ-བར-འགྱུར-བ	prAmodyam utpadyeta
མཆོག-ཏུ-དགའ-བ-དང-དགའ-བ-དང-འོད-གསལ-བའི-སེམས-ཀྱིས	prAmodya-prIti-prabhAsvarena cittena
མཆོག-ཏུ-དགའ-བ-མང-བ	prAmodya-bahula
མཆོག-ཏུ-དགའ-བའི-གནས	prAmody^adhiSThAna
མཆོག-ཏུ-ཁྱད-པར-ཅན	viziSTa-tama
མཆོག-ཏུ-ཁྱད-ཞུགས-པར-གཤེགས-པ	param^otkarSa-gamana
མཆོག-ཏུ-རྒྱ-ཆེ-བ	param^odAra
མཆོག-ཏུ-སྨྲ-བ	agra-vAda
མཆོག-ཏུ-སེར-སྣ-ཅན-གྱི-ཁྱིམ	parama-matsari-kula
མཆོག-ཏུ-ངན-པ	nihIna-paramatva
མཆོག-ཏུ-འགྱུར-བ	agratva
མཆོག-ཏུ-དགེ-བ	parama-kalyANa. parama-kauzalya
མཆོག-ཏུ-དགེ-བའི-བསམ-པ-ཅན	parama-kalyAN^azaya
མཆོག-ཏུ-གུས-པར-བྱ-བ	parama-gaurava
མཆོག-ཏུ-མཁས-པ	parama-pradhAna
མཆོག-ཏུ-ལེགས-པ	parama-kalyANa
མཆོག-ཏུ-བཟུང-བ	parAmRzya
མཆོག-ཏུ-འཛིན-པ	parAmRSTa
མཆོག-ཏུ-འཛིན-པར-བྱེད-པ	parA-/mRz:parAmRzati
མཆོག-ཏུ-འཛིན-པ-མེད-པའི-སྦྱིན-པ	a-parAmRSTaM dAnam
མཆོག-ཏུ-བཟང-བ	parama-bhadra
མཆོག-ཏུ-ཆེན-པོ	utkRSTam adhimAtram
མཆོག-ཏུ-ཟབ-པ	parama-gaMbhiira. parama-gaMbhIra
མཆོག-ཏུ-བག-ཡོད-པར-གནས-པ	param^apramAda-vihArin
མཆོག-ཏུ-རབ-ཏུ-ཞི-བ	parama-prazAnta
མཆོག-ཏུ-རབ-ཏུ-ཞི-བར-ཉེ-བར-གནས-པ	parama-prazama-praty-upasthAna
མཆོག-ཏུ-གདགས-པ	agra-prajJapti
མཆོག-ཏུ-གདགས-པར-གཏོགས-པ	agra-prajJapti-patita
མཆོག-ཏུ-བསིལ-བའི-དངོས-པོ	parama-zItIbhAva
མཆོག-ཏུ-ཡིན-ཆེས-པའི-ལུང	Agamena param^aptena
མཆོག-ཏུ-གྱུར-པ	zreSTha. agra. agryatva. agrya-bhUta. agrya
མཆོག-ཏུ-གྲུབ-པ	parama-siddha
མཆོག-ཏུ-ཡིད-གཅུགས-པ	parama-vizvAsa. vayasyaka
མཆོག-ཏུ-ཡིད-ཆེས-པའི-ལུང	param^apt^agama
མཆོག-ཏུ-ཡིད-བརྟན-པར-གྱུར-པ	parama-vizrambha
མཆོག-མཁྱེན-པ	vara-jJAna
མཆོག-ལ-རྨོངས-པ	agra-saMmoha
མཆོག-གི-བདེན-པ	agrya-satya
མཆོག-གི-བསམ-པ	agry^azaya
མཆོག-གི-མཐར-ཐུག-པ	utkarSa-paryantatA
མཆོག-ཉིད-ཐོབ-པར-འགྱུར-བ	agratAyAm upanayanti
མཆོག-དང-མཆོག-མ-ཡིན-པ	par^apara
མཆོག-དང-གཙོ-བོ-དང-རབ-དང-གྱ-ནོམ-པ	agraH zreSTho varaH praNItaH
མཆོང-བ	prapAta. laGghana
མཆོང-བ-དང-ལྷུང-བའི-འདུས-ཏེ-རེག-པ	ullaGghana-patana-saMsparza
མཆོངས-བ	ullaGghana
མཆོངས-པ	laGghana
མདའ	zara. iSu
མདའ-འཕེན-པ	iSubhiH kSipyamANaiH
མདངས	ojas; chavi
མདངས-བཟང-བ	ojas
མདངས-བཟང-བ-ཉིད	su-cchavitA
མདངས-ངན-པ-ཉིད	duz-chavitA
མདོ	sUtra; uddeza
མདོ-སྡེ	sUtr^anta. sUtra
མདོ-ལས-ཇི-སྐད-བྱུང-བ	yathA-sUtram
མདོ-ལས-ཇི-སྐད-བྱུང-བ-བཞིན-དུ	yathA-sUtram
མདོ-ལས-ཇི-སྐད-གསུངས-པ	yathA-sUtr^okta
མདོ-ལས-འབྱུང-བ-བཞིན-དུ	yathA-sUtram
མདོ-ལས-དཔལ-ལྡན-གྱིས-དྲིས-པ-མུ-དགལ-གྱི-བུ	lakSmaNena pRSTo maudgalyAyanaH
མདོ-དང-རྣམ-པར-དབྱེ-བ	uddeza-vibhaGga
མདོ-སྡེ-དང-འདུལ-བ-དང-མ-མོ	sUtra-vinaya-mAtRkA
མདོ-སྡེ-འཛིན-པ	sUtra-dhara
མདོ-སྡེའི-སྡེ-སྣོད	sUtra-piTaka
མདོའི-སྡེ	sUtra
མདོའི-ཚིག	sUtra-pada
མདོག	varNa
མདོག-གསེར	kAJcana
མདོག-རྩུབ-པ-ཉིད	rUkSa-varNatA
མདོག-གནག-པ-སྔོ-བསངས	kRSNa-zyAma-varNa
མདོག-དཀར-བ	zukla-varNa
མདོག-སྡུག-པ	su-varNa
མདོག-འགྱུར-བ	vaivarNya
མདོག-ངན-པ	durvarNatA. durvarNa. daurvarNya
མདོག-སྐྱ-བ	pANDuka-vivarNa
མདོག-མི-སྡུག-པ	durvarNa
མདོག-མི-སྡུག-པར-འགྱུར-བ	varNa-vaikRtyaM bhavati
མདོག-བཟང-པོ	su-varNatA. su-varNa
མདོག-དམར-པོ	lohita-varNa
མདོག-ཡོངས-སུ-འགྱུར-བ	varNa-vipariNAma
མདོག-ཡོངས-སུ-དག-པ-ཉིད	paryavadAta-varNatA
མདོམས-ཀྱི-སྦ-བ-སྦུབས-སུ-ནུབ-པ	koSa-gata-vasti-guhya
མདོར-ན	samAsena; saMkSepataH. samAsataH
མདོར-བསྡུས-ན	samAsataH
མདོར-བསྡུས-པ	saMkSipta. abhisaMkSepaNatA
མདོར-བསྡུས-ཏེ-བསྟན-པ	samAsa-saMgraha-nirdeza
མདོར-བསྡུ-ན	samAsena; samAsataH
མདོར-བསྟན-པ	samAsa-nirdeza; uddeza
མདུད-པ-བོར-བ	grathita
མདུད-པ-བོར-བ-མེད-པ	a-grathita
མདུན	puras
མདུན-དུ	puratas; purataH. purastAt
མདུན-ས	sabhA
མདུན-དང-རྒྱབ-ན	puraH pRSThataH
མདུན-ན-འདོན	purohita
མདུན-ན-འདོན-གྱི-ཁྱིམ	purohita-kula
མདུན-དུ-འགྲོ-བ	purato gacchate. purato yAyin
མདུན-དུ-བལྟ-བ	Alokita-vyavalokita
མདུང-ཁྱིམ	naDa-kalApa
མདུང-ཐུང	zakti
མཛའ-བ	mitra; sneha. sa-praNaya
མཛའ-བོ	priya. mitra. suhRda. suhRd
མཛའ-བཤེས	mitra
མཛའ-བའི-དབྱེན-བྱས	mitra-bheda
མཛའ-བོ-དང-འབྱེ-བ	vibhinna-mitra
མཛའ-བཤེས-ཀྱི-ལུས	mitra-kAya
མཛའ-བཤེས-ཀྱི-ཕྱོགས	mitra-pakSa
མཛའ-བཤེས-ཀྱི-སྟོབས	mitra-bala
མཛའ-བཤེས-ཀྱི-ཕྱོགས-དང-མི-མཛའ-བའི-ཕྱོགས-དང-ཐ-མལ-པའི-ཕྱོགས	mitra-pakSo 'mitra-pakSa udAsIna-pakSaH
མཛའ-བཤེས-འབྱེད-པ	mitra-bheda-karin
མཛའ-བཤེས-དང-ཉེ-དུ-དང-རྟེན-གྲོགས	mitra-jJAti-sahAyaka
མཛའ-བཤེས-ལ-དབྱེན-བྱ-བ	mitra-bheda
མཛའ-བ-ཡོངས-སུ-ཉམས-པ-ལས-བྱུང-བ	sneha-paribhraMza-kRta
མཛའ-བོའི-ཕྱོགས	mitra-pakSa
མཛད-པ	kRtya. kriyA; /kR:karoti
མཛད-པ-ཟིན-པ	kRta
མཛད-པར-སྤྱོད-པ	kartum
མཛངས-པ	vicakSaNatA. vijJAna
མཛེ	kuSTha
མཛེ-ཅན	kuSTha. kuSThita
མཛེ-ནད	kuSTha-vyAdhi
མཛེ-ནད-ཕྲུགས-པ	kuSTha-vyAdhi-kaNDU
མཛེས-པ	prAsAdika. zubha. zobhA. alaMkAra. /zubh:zobhate
མཛེས-པ-ཉིད	prAsAdikatva
མཛེས-པ-མེད-པ-དང-རྒྱན-མེད-པ	vigat^alaMkArANi vigata-maNDanAni
མཛེས-པ-མ-ཡིན-པ	na zobhate
མཛེས-པར-བྱེད-པ	zobhA-kAra. /zubh:zobhayante
མཛེས-པར-བྱས-པ	su-mApita. abhirUpa
མཛོད-སྤུ	UrNA
མེ	tejas. agni; dAha
མེ-དོང	agni-khadA
མེ-ལྕེ	jvAlA. arcis
མེ-མདག	aGgAra
མེ-ཤེལ	tejaH sphaTikaH
མེ-སྟག	zakalik^agni
མེ-ཏོག	kusuma. puSpa
མེ-གཙུབ-ཤིང-ཐོགས-པ	araNI-sahagataka
མེ-མདག-གི-དོན	aGgAra-karSu
མེ-ཏོག-ཕྲེང	mAlya
མེ-ཏོག-རྙིང-པ	purANAni puSpANi
མེ-ཏོག-ཕྲེང-བ	mAlya
མེ-ཏོག-ཕྲེང-གི-རྣམ-པ	mAlya-jAta
མེ-ཏོག-མན-དཱ-ར-བ	mandArakaiH puSpaiH
མེ-ཏོག-དང-འབྲས-བུ-ཡལ-བ	vigata-puSpa-phala
མེ-ཏོག-དང-འབྲས-བུ-འབྱུང-བ	puSpanti phalanti
མེ-ཏོག-གི-དྲི	puSpa-gandha
མེ-ཏོག-གི-ཕྲེང-བ	mAlA
མེ-ཆེན-པོ	udAr^agni
མེ-ཆེན-པོ-ཤིན-ཏུ-རབ-ཏུ-འབར-བ	udAr^agni-saMtaptAna
མེ-ལ-ཡོངས-སུ-སྤྱོད-པར-བྱེད-པ	agni-paricAraka
མེ-ཏོང-ཕྲེང	mAlya
མེ-དང-ལྷ	agni-devatA
མེ-བཏང-བ	agnir mucyate
མེ-འམ-ཆུ	agninA-udakena
མེ-འབར-བ	agni-jvAla. AdIpta
མེ-འབར-བའི-ཤུགས	agni-jvAlA-vega
མེ-འབར-བར-བྱེད-པ	pra-/jval:prajvalati
མེ-ལྕེའི-ཕྲེང-བ-ཅན	jvAlA-mAlin
མེ-ལྟ-བུ	agni-sthAnIya
མེ-ལྟ-བུའི-ཟག-པ-མེད-པའི-ཆོས	agni-sthAnIyAnAm anAsravANAM dharmANAm
མེ-ལྕེ-འབར-བ	jvAlA
མེ-ལྕེ-འབར-བ-འབྱུང-བ	jvAlA nirgacchati
མེ-ལྕེ-འབར-བ-ལྟ-བུ	jvAlA-sthAnIya
མེ-ལྕེ-མེད-པ	nirarcis
མེ-ཤོར-ན	agnir muktaH
མེའི-ཁམས	tejo-dhAtu
མེའི-ཕུང-པོ	agni-skandha
མེའི-ཕུང-པོ-ཆེན-པོ	mahato 'gni-skandhasya. agni-skandha
མེའི-ཕུང-པོའི-འོད	agni-skandha-prabhAsa
མེའི-བྱ-བ-བྱེད-པར-འདོད-པ	agni-kAryaM kartu-kAmaH
མེའི-ཁམས-ལ-སྙོམས-པར-འཇུག-པ	tejo-dhAtum-samApadyate
མེད-པ	apagata. vigata. vinA. virahita; na-vidyate. n^astikatA. n^astika. n^asti. bhraMza. a-vidyamAna. apagatatva. a-bhAva. a-sattva. a-sat. a-sadbhAva. a-sad-bhUta. vivarjita. vikala. vigama. vIhIna. vaikalya
མེད-ཅིང-མི-བདོག-པ	a-satsu vA a-saMvidyamAneSu
མེད-ཅིང-ཡོད-པ-མ-ཡིན-པ	a-sataH a-saMvidyamANAH
མེད-ཅང-ཡོད-པ-མ-ཡིན-པ	a-saty a-saMvidyamAne
མེད-དོ-ཞེས-འཛིན-པའི-བློ	n^ast^iti-grAhikAyA buddhe
མེད-པའི-མཚད-ཉིད-ཀྱི-ཆོས-རྣམས	a-sal-lakSaNAH dharmAH
མེད-དེ-མི-བདོག-ན	a-satsv a-saMvidyamAneSu
མེད-དེ-མི-བདོག-བཞིན-དུ	a-satsv a-saMvidyamAneSu
མེད-པ-མ-ཡིན-པ	n^abhAvaH
མེད-པས-རབ-ཏུ-ཕྱེ-བ	a-bhAva-prabhAvita
མེད-པར-མ-གྱུར-པ	a-vigata
མེད-པར-ལྟ-བ	nAstika
མེད-པར-ལྟ-བའི-གཙོ-བོ	pradhAno nAstikaH
མེད-པར-གྱུར-པ	naSTa. uparama
མེད-པར-བྱ-བ	nAza
མེད-པར-འགྱུར-བ	na prajJAyate. na bhavati. pra-/hA:prahIyate. antar-/dhA:antardhIyate. antar-/dhA:antar-dhIyante. antardhAnaM bhavati. antardhAni. a-bhAvo bhavati. vikala. vi-/gam:vigacchati. vinA-bhAva. vipraNAza. vilIna. vyAvRtti
མེད-པར-འགྱུར-བའི-སྡུག-བསྔལ	vipraSAza-duHkha
མེད-པར-བྱེད-པ	antar-/dhA:antardhApayati
མེད-པར-སྨྲ-བ	nAstika-vAda
མེད-པར-མི-བྱེད-པ	a-vipAdanatA
མེད-པར-མི-འགྱུར-བ	na kadAcid apaiti
མེལ-ཚེ-ཐུན-གཅིག	prahara
མེར-བསྲེགས	dIpt^agni
མེར-བསྲེགས-པ	saMtApita
མེར-འཇུག-པ	agni-praveSa
མེར-མེར-པོ	kalalatva. kalala
མེར-མེར-པོའི-དུས	kalal^avasthA
མེས-ཚིག-པ	agni-dAha
མེས-འཇིག-པ	tejaH-saMvartanI
མེས-བསྲེགས-པ	agni-nirdagdha
མགོ	ziras. zIrSa
མགོ-བོ	ziras
མགོ-མཉམ	samasta
མགོ-ཐོད	ziraH-kapAla. ziras-kapAla
མགོ-ཐུར-དུ-བསྟན-པ	ava-ziraskaM kurvanti
མགོ-ལ-མེ-འབར-བ	AdIpta-ziras
མགོ-བསྒྱུར-བ	zIrSa-pracAlaka
མགོ-གཡོགས-པ	udguNThikA-kRta
མགོ-བོས-ཆོས-ཀྱིས	zirasA
མགོ-སྐྱ-བ-སྐྲ-དཀར-བ	palita-ziras
མགོ-མགྲིན-པ	ziras
མགོ-གླེངས-པས-ཤེས-པ	udghaTita-jJa
མགོན	sAnAthya
མགོན-མེད-པ	a-nAtha
མགོན-ཡོད-པ	sa-nAtha
མགོན-ཡོད-པར-བྱེད-པ	sa-nAtha-kriyA. sAnAthyaM kuruvanti
མགོན-དང-བཅས-པ	sa-nAtha
མགྲིན-པ	kaNTha
མགུ-བ	udagra
མགུ-བར-བྱས	toSayitvA
མགུ-བར-བྱེད-པ	toSaNA. toSayatA. saMtoSaNa. A-/rAdh:ArAdhayati. /prI:prIyate
མགུ-བར-འགྱུར-བ	tuSTa
མགུ-བར-བྱས-ཤིང	toSayitvA
མགུལ	grIvA
མགུལ-རྒྱན	harSa
མགུལ-པའི-སྒྲ-ངར-ངར-པོ-འབྱུང-བ	khurukhuru-prazvAsa
མགུར	grIvA
མགྱོགས-པ	java. zIghra
མགྱོགས-པར	javena
མི	jana. puruSa. manuSya; mAnuSyaka. mAnuSya
མི-ཆོག	a-bala
མི-མཇེད	sahA
མི-མཁས	a-kuzala
མི-ནད	vyAdhitaM puruSam
མི-ཉིད	manuSyatva
མི-འབྲེལ-པར-གྱུར-པ	vizleSa
མི-དགོས-པ	apArtha
མི-འཇམ-པ	khara
མི-གཏང-བར-བྱ-བ	na riMcayat. a-parityAjya
མི-མངའ-བ	a-bhAva
མི-ཕན-པ	a-pathya. a-hita. ahita
མི-ཕན-པར-འགྱུར-བ	a-hita
མི-འདུམ-པ	vyagra
མི-འདུམ-པར-དགའ-བ	vyagr^arAma
མི-མཉམ-པ	vaiSamya
མི-བསྟོད-པ	an-utkarSayatA
མི-བདོག-པ	a-saMvidyamAna. vikala
མི-གནོད-པ	an-upahatya
མི-གནོད-པར-བྱེད-པ	yAtanA-puruSa
མི-འམ-ཅི	kiMnara
མི-བཞེངས-པ	a-vyutthAnatA
མི-རྟོག-པ	a-vyutpanna
མི-རྟོག-པའི-དོན	a-vyutpannasy^arthasya
