འབའ-འཛར	(PH) vajra [arch. spelling]
མཁའ-སྤྱོད-ཞིང	(PH) realm of sky-travellers; celestial realm
མཁའ-སྟེང-འགྲོ	(PH) [planet] Mars
མཁན-བརྒྱུད-རྙིང-ཕ	(PH) old preceptor lineage
མཁན-པ	(PH) guide
མཁར	(PH) walking stick
མཁས-གྲུབ	(PH) Ke-drup Ge-lek-bel-sang-bo (mkhas grub dge legs dpal bzang po; 1385-1438)
མཁོ-བའི-ཡོ-བྱད-ཕྲན-ཚེགས	(PH) minor articles of necessity
མཁྲིས	(PH) bile
མཁྲིས-པའི-སྤྱི-རྟགས-བདུན	(PH) seven general signs of bile
མཁྱེན-བརྩེ	(PH) wisdom and compassion; wise and compassionate
མཁྱེན-རབ	(PH) Khyenrap
མནན	(PH) pressure
མནར-མེད	(PH) Avīci [Hell]
མནར-མེད-དམྱལ-བ	(PH) Avīci Hell
མནར-མེད-ཀྱི-དམྱལ-བ	(PH) Avīci Hell
མནར-མེད-པ	(PH) Avīci [Hell]
མངའ-བདག-ཁྲི-རལ-པ-ཅན	(PH) King Ralpajen
མངའ-བདག-ཉང-རལ-པ-ཅན	(PH) King Ralpajen of Nyang
མངའ-རིས	(PH) subordinates/ subjects
མངའ-ཐང	(PH) power; control
མངའ-ཐང-འབྱོར-བ	(PH) power and fortune
མངག-གཞུག	(PH) servant
མངོན-བརྗོད	(PH) synonyms
མངོན-དགའ-ཞིང	(PH) Abhirati ["great joy", the Buddhafield of Akṣobhya]
མངོན-ལྐོག	(PH) manifest [phenomena] and hidden [phenomena]
མངོན-ལྐོག-གཉིས	(PH) the two -- manifest [phenomena] and hidden [phenomena]
མངོན-མཐོ-ངེས-ལེགས	(PH) high status [within cyclic existence] and definite goodness [of liberation from cyclic existence and/or omniscience]
མངོན-མཐོའི-གོ-འཕང	(PH) a state of high status
མངོན-པའི-གཞུང	(PH) Manifest Knowledge (abhidharma) texts
མངོན-པར-དགའ-བ	(PH) Abhirati [the Buddhafield of Akṣobhya]
མངོན-ཤེས-སྐྱེད-པ-ཉིད	(PH) the very generation of the clairvoyances
མངོན-སུམ-དང-པོ-བ	(PH) initial perceptions
མངོན-སུམ-དུ	(PH) manifestly; evidently; directly
མངོན-སུམ-ཚད-མ	(PH) valid perception
མངོན-སུམ-ཚད-མ-བཞི	(PH) four types of valid perception
མཉམ-བཞག-ཕུང-གསུམ-པ	(PH) a third category of meditative equipoise
མཉམ-བཞག-ཐུན-གཅིག	(PH) one session of meditative equipoise
མཉམ-མེད-ཟས-གཙང-སྲས-པོ	(PH) the unequalled son of Śuddhodana
མཉམ-པར-འཇོག-པ	(PH) setting in equipoise [the 9th mental abiding (sems gnas)]
མཉམ-རྗེས-གཉིས	(PH) the two — meditative equipoise and subsequent attainment
མོད	(PH) moment; the very moment; the same time
མོང-རྟུལ-བ-ཉིད	(PH) utterly deluded
མཐའ-འཁོབ	(PH) border country; barbarian land
མཐའ-དག	(PH) all; entire
མཐའ-དྲུག-ཚིག	(PH) six delimiter explanations
མཐར-འཛིན-ལྟ-བ	(PH) view holding to an extreme
མཐར-ཆགས	(PH) series; order
མཐར-ཕྱིན-པའི-ལམ	(PH) path of completion
མཐར-ཐུག-གི-མཁྱེན-པ	(PH) a final exalted knower
མཐིང-རིལ-ངུར-པ	(PH) blue-winged duck
མཐོ	(PH) span
མཐོ-དམའ	(PH) higher [and] lower
མཐོན-པོ	(PH) high [level of]; high; elevated; rarified
མཐོང-བས-གྲོལ-བ	(PH) liberation through being seen
མཐོང-གྲོལ	(PH) liberation through being seen
མཐོང-གྲོལ-སྐུ	(PH) body [which] liberates [merely through] being seen
མཐོང-ལམ-བར-ཆད-མེད-ལམ	(PH) uninterrupted path of a path of seeing
མཐོང-ལམ-བཟོད-པ-བརྒྱད	(PH) the eight forbearances of a path of seeing
མཐོང-ལམ-མཉམ-བཞག-ཡེ-ཤེས	(PH) exalted wisdom of meditative equipoise of the path of seeing
མཐོང-ལམ-རྗེས-ཐོབ-ཡེ-ཤེས	(PH) exalted wisdom of subsequent attainment of a path of seeing 
མཐོང-ལམ-རྣམ-གྲོལ-ལམ	(PH) path of release of a path of seeing
མཐོང-ལམ-རྣམ-པར-མི-རྟོག-པའི-ཡེ-ཤེས	(PH) non-conceptual exalted wisdom of the path of seeing
མཐོང-ལམ-ཤེས-བཟོད-སྐད-ཅིག-མ-བཅུ-དྲུག-པོ	(PH) the sixteen moments of forbearance and knowledge of the path of seeing
མཐོང-སྤང-ཉོན-མོངས	(PH) afflictions that are to be abandoned by the path of seeing
མཐོང-སྤང-ཉོན-མོངས-བཅུ	(PH) ten afflictions that are to be abandoned by the path of seeing
མཐོང-སྤང-ཉོན-མོངས-བརྒྱ-དང-བཅུ-གཉིས	(PH) one hundred and twelve afflictions that are to be abandoned by the path of seeing
མཐོང-སྤང-ཤེས-སྒྲིབ	(PH) obstructions to omniscience that are to be abandoned by the path of seeing
མཐོང-སྤང-ཤེས-སྒྲིབ-བརྒྱ-དང-བརྒྱད	(PH) one hundred and eight obstructions to omniscience that are to be abandoned by the path of seeing
མཐུ-སྐྱེས	(PH) strength
མཚམས-ཀྱི-རྩ-འདབ-བཞི	(PH) four channel-petals of the intermediate directions
མཚན	(PH) name; sign
མཚན-བཅས-རྩོལ-བཅས	(PH) having signs and having effort
མཚན-བཅོས	(PH) having signs
མཚན-དང-ལྡན-པ	(PH) fully-qualified; named
མཚན-དོན	(PH) etymology; meaning of the name
མཚན-ལྡན	(PH) fully-qualified; named; genuine
མཚན-མཆོག	(PH) supreme name
མཚན-མོ-ཟླ-བ	(PH) nighttime moon; the moon at night
མཚན-ཉིད	(PH) logical reasoning [literary genre]; distinctive symptom
མཚན-ཉིད-དང-ལྡན-པའི-བླ-མ	(PH) fully-qualified teacher
མཚན-ཉིད-ལྡན	(PH) fully-qualified
མཚན-སྔགས	(PH) name-mantra
མཚན-ཞབས་	(PH) debate partner
མཚང-འབྲུ-བའི-བསམ-པ	(PH) the intention to describe the faults [of others]
མཚོན	(PH) weapons; instance; example; illustration
མཚོན-བྱ-དོན	(PH) indicated meaning
མཚོན-བྱེད	(PH) valid illustrator
མཚོན-ཆ	(PH) sword; weapon
མཚོན-དོན	(PH) exemplifying meaning
མཚོན-གྱི-བསྐལ-པ	(PH) the age of weaponry
མཚོན-ན	(PH) for instance
མཚོན-པ	(PH) illustration
མཚོན-པའི-བརྡ	(PH) illustrative sign
མཚོན-རྣོན	(PH) sharp sword
མཚོན-རྟགས	(PH) indicating sign
མཚོན-ཙམ	(PH) merely indicative
མཚུངས-མ-མེད	(PH) unequalled; incomparable
མཚུངས-མེད	(PH) unequalled; incomparable
མཚུངས-མེད-བླ-མ	(PH) incomparable guru
མཚུངས-མེད-སེམས	(PH) incomparable [state of] mind
མཚུངས-པ-མེད-པ	(PH) unequalled; incomparable
མཚུངས-ཟླ	(PH) rival; approximate
མཚུངས-ཟླ-མ-མཆིས-པ	(PH) peerless; without rival
མུ-སྟེག-བྱིས-པ	(PH) the child-like Forders
མུ-སྟེགས-ཅན-གྱི-རྣལ-འབྱོར	(PH) yogic practice of a non-Buddhist
མུ-ཐུག	(PH) limit
མུན-པ-ཅན-གྱི-ང-རྒྱལ	(PH) darkness-dominated I-principle
མུན-ཚོགས	(PH) gloom; mass of darkness
མྱ-ངན-ལམ-གོལ	(PH) deviant path of suffering
མྱ-ངན-ལམ-གོལ-འཁྱམས-པ	(PH) wanderer on the deviant path of suffering
མྱང-འདས-གཉིས	(PH) two [kinds of] nirvāṇa
མྱེས	(PH) ancestor(s)
མྱུར-བའི-ལས	(PH) epicycle correction
མྱུར-བར	(PH) quickly
མྱུར-བྱོན-གསོལ-འདེབས	(PH) supplication for swift return
མྱུར-མཛད-མ	(PH) Kurukullā
ནཡ-གྲོ-དྷ་	(PH) Nyagrodha [name of a vihāra in Kapilavastu; also of one in Rajagṛha]
ན	(PH) if; when [syntactic particle]; suitable age; stage of life; meadow; pasture land
ན-བ	(PH) sickness
ན-བཟའ	(PH) clothing; dress; clothes
ན-བཟའ-བརླག-པ	(PH) [King] Śālivāhana
ན-བཟའ-དམ-པ	(PH) best clothing
ན-བཟའ-དཀར-མོ	(PH) Pāṇḍaravāsinī
ན-ལ-ད	(PH) Nalanda
ན-ལན-ད	(PH) Nalanda
ན-མོ-དབང-པོ	(PH) sense faculties
ན-ཚིག	(PH) condition
ནད-གདོན	(PH) disease and harmful influences
ནད-གདོན-བར-ཆད	(PH) disease; harmful influences; and obstacles
ནད-གདོན-ཅན	(PH) one [afflicted] with disease or harmful influences
ནད-གདོན-སྡིག-སྒྲིབ	(PH) disease; harmful influences; ethical transgressions; and obstructions
ནད-མེད-མ	(PH) non-menstruating woman
ནད-ཡམས	(PH) plague; epidemic
ནག-ཕྱོགས	(PH) dark side; waning part [of the moon]
ནམ	(PH) [interrogative particle]; when; time; as soon as; as is appropriate; accordingly
ནམ-འཆི	(PH) time of death
ནམ-དུ-ཡང	(PH) ever; always; absolutely
ནམ-མཁའི-དབྱིངས	(PH) expanse of space
ནམ-མཁའི-དབྱིངས-ཀྱི-དབང-ཕྱུག-མ	(PH) Akāśadhatviśvarī
ནམ-ཡང	(PH) ever; always; absolutely
ནམ-ཞིག	(PH) at the time
ནམས-ཀྱང	(PH) at any time
ནན-ཏན-ཆེན-པོ	(PH) earnestness; great sincerity
ནང	(PH) within; among
ནང-བདག-བསམ-པ	(PH) inner contemplation
ནང-གི-བྲག-ཆ	(PH) echo
ནང-གི-དུར-ཁྲོད-བརྒྱད	(PH) inner eight charnel grounds
ནང-ཁུལ	(PH) inside
ནང-རེ-དགོངས-རེ	(PH) every morning and every evening
ནང-ཐུགས-སྲས	(PH) inner heart-son
ནར-མ	(PH) plain; ordinary
ནར-མར	(PH) always; continuously
ནར-མོ	(PH) elongated; oblong
ནས	(PH) [gerund marker]; barley
ནེལ-པ	(PH) Nel-pa [Paṇḍita Drak-pa-mön-lam-lo-drö (nel pa paṇḍi ta grags pa smon lam blo gros)]
ང-རྒྱལ	(PH) self-confidence; I-principle; ego
ང-རྒྱལ-གཅོམ	(PH) pride and conceit
ང-རོ	(PH) roar; pronunciation
ང-རོ-ཆེན-པོ	(PH) great roar
ང-རོའི-རྣམ-པ	(PH) tone
ང-ཙམ	(PH) mere "I"; mere notion of a self
ངག-མི-སྨྲ-བ	(PH) not speaking
ངན-སེམས	(PH) evil thought; evil intent
ངན-སོང-སེལ	(PH) *Durgati-pariśodhana/*Durgatyapoha/*Apāyāpoha [p.n. of Bodhisattva]
ངར	(PH) rough; coarse
ངེས-བྱས-བཅས-པ-དང-རང-བཞིན	(PH) transgressions [of vows] and natural [offenses]
ངེས-པ-ཉིད	(PH) ascertainment (a consciousness)
ངེས-སྡོམ	(PH) self-restraint; resolute restraint
ངོ	(PH) [terminating particle]; with respect to; relative to; from the perspective of
ངོ-བོ	(PH) entity; actuality; object
ངོ-བོ-སོ-སོ-བ	(PH) discrete entities
ངོ-བོའི-ཁྱད-པར-མི-འདྲ-བ	(PH) essential difference
ངོ-ལ	(PH) with respect to; relative to; from the perspective of
ངོ-མཚར	(PH) amazing; splendor
ངོ-མཚར-དོན	(PH) marvelous meanings
ངོ-རོ-བར	(PH) in one's face
ངོ-ཚ-ཁྲེལ	(PH) modesty and shame
ངོགས	(PH) port; entrance; ford; bank; shore; face; side
ངོམས	(PH) satisfaction
ངོས	(PH) side; surface; myself
ངོས-ནས	(PH) from the side (of); from the point-of-view (of); by way (of)
ངོས-ནས-གྲུབ-པ	(PH) establishment from the side [of the basis of designation]
ངོས-ནས-གྱི	(PH) because of
ངོས-སྐལ-གྱི-སྤང-བྱ	(PH) respective objects of abandonment 
ངུར-པ	(PH) duck
ངུར-སྨིག-འཛིན-པ	(PH) saffron-clothed; monk
ངུར-སྨྲིག	(PH) saffron
ངུར-སྨྲིག-འཛིན-པ	(PH) one who wears saffron (i.e. monk [Buddhist])
ངུར-སྨྲིག-གོས	(PH) saffron-robes
ནོངས-པ	(PH) fault; error
ནོར-བདག	 (PH) lord of wealth | (PH) remover of obstacles|(PH) lord of the treasury 
ནོར-བཟང	(PH) Sudhana
ནོར-མཆོག	(PH) precious jewel
ནོར-ཕྱུག-པ	(PH) wealthiest man
ནོར-རྒྱས	(PH) [the Nāga King] Vāsuki
ནུབ-ཀྱི-ཁྱིམ-མ	(PH) ″householder″ west [back] channel at the heart
ནུར-ནུར-པོ	(PH) "elogated" [n. of a stage of development of the embryo]
ནུས-ཁྱད-པར-ཅན	(PH) special capacity
ནུས-པ	(PH) indication
ནུས-པ-ཁྱད-པར-ཅན	(PH) special capacity
ནུས-པ-ཐོགས-མེད	(PH) an unimpeded capacity
ནུས-པའི-སྒོ-ནས	(PH) by way of their capacity
ཉ-དབོན-ཀུན-དགའ-དཔལ	(PH) Nya-won Kun-ga-pel (1300-1380 ce.) 
ཉག-གཅིག	(PH) sole unique
ཉམ-ཆུང-ཉིད	(PH) weak
ཉམ-ཅུང-བ	(PH) weak
ཉམ-ང-བར	(PH) fearfully
ཉམ-ཐག-འགྲོ	(PH) destitute transmigrators
ཉམ-ཐག-པ	(PH) destitution; destitute
ཉམ-ཐག-སྐལ-དམན	(PH) unfortunate and destitute
ཉམས	(PH) state; experience; thought; apprehension
ཉམས-དགའ-བ	(PH) very pleasant
ཉམས-གཅིག	(PH) single moment [of experience]
ཉམས-ལེན	(PH) practice
ཉམས-ལེན-གྱི-ཆ	(PH) elements of practice
ཉམས-ལེན-གྱི-མཆོག	(PH) supreme practice
ཉམས-པ	(PH) pain; thoughts
ཉམས-སྟོབས	(PH) strength
ཉམས-སུ-ལེན-པའི-ཚུལ	(PH) way to practice
ཉམས-ཐག	(PH) stricken; destitute
ཉམས-ཞིབ	(PH) details
ཉན-པོ-སྣོད	(PH) fit vessel
ཉན-རང	(PH) Śrāvakas and Pratyekabuddhas
ཉན-རང-འཕགས-པ	(PH) Śrāvakas; Pratyekabuddhas; and Āryas; Ārya Śrāvakas and Pratyekabuddhas
ཉན-རང-གི-ལམ	(PH) Śrāvaka and Pratyekabuddha paths
ཉན-རང-གི-ཐེག-པ	(PH) Śrāvaka and Pratyekabuddha Vehicles
ཉན-རང-གཉིས	(PH) both Śrāvakas and Pratyekabuddhas
ཉན-ཐོས-ཀྱི-མི-སློབ-ལམ	(PH) Hearer's path of no more learning
ཉན-ཐོས-ཀྱི-སྦྱོར-ལམ-དྲོད	(PH) Hearer heat path of preparation
ཉན-ཐོས-མཐོང-ལམ-པ	(PH) a Hearer on the path of seeing
ཉེ-འཁོར	 (PH) neighboring [hell]|(PH) near; nearby; range (of) 
ཉེ-བའི-ཕྱོགས	(PH) adjacent
ཉེ-བར-ཉོན-མོངས-པ	(PH) secondary afflictions (upakleśa)
ཉེ-གནས-ཉིད	(PH) disciple
ཉེ-ལམ	(PH) short path; short cut
ཉེ-རབས	(PH) recent generation
ཉེར-འཚེ-བའི-དམྱལ-བ	(PH) trifling hells
ཉེར-གཅིག	(PH) twenty-one
ཉེར-སྡོགས	(PH) preparation
ཉེར-ཐོབ-ནག-ལམ-པའི-སེམས	(PH) mind of radiant black near-attainment
ཉི-འོག-པ	(PH) Aparāntaka [subshool of the Vaibhāṣika]
ཉི-གདུགས	(PH) parasol
ཉི-ཧོང	(PH) Japan; Japanese
ཉི-མ-ཕྱེད-དུས	(PH) noonday sun
ཉི-ཤུ-རྩ-གཅིག	(PH) twenty-one
ཉི-ཚེའི-བདག	(PH) individual 'Self'
ཉིན-མོ-དགུང-ཐུན	(PH) afternoon session
ཉིན-ཤས	(PH) a few days
ཉིང-མཚམས-སྦྱོར-བ	(PH) [instance of] taking rebirth
ཉོན-མོངས-ཅན-གྱི-གཉིད	(PH) afflicted sleep
ཉོན-མོངས-གཟུང	(PH) afflicted objects
ཉོན-མོངས-གཟུང-རྟོག-མངོན-འགྱུར	(PH) the manifest conception of afflicted objects
ཉོན-མོངས-ཤེས-བྱ-ཡི-སྒྲིབ-པ	(PH) afflictive obstructions and obstructions to omniscience
ཉོན-སྒྲིབ-ཀུན-བཏགས-བརྒྱ-དང-བཅུ-གཉིས	(PH) the one hundred and twelve artificial afflictive obstructions
ཉོན-སྒྲིབ-ལྷན-སྐྱེས-བཅུ-དྲུག	(PH) sixteen innate afflictive obstructions
ཉོན-ཤེས	(PH) afflicted conscioesness
ཉུང	(PH) little; few
ཉུང-ཤས	(PH) a small amount
ཉུང-ཟད	(PH) few; very few
པ-ལ-བ	(PH) Parthian (i.e. Bactrian)
པ-ལ-ཤ	(PH) palāśa tree
པ-ལ-ཤའི-མེ-ཏོག	(PH) palāśa flower
པ-ཊ-རི-མོ	(PH) scrollwork patterns ("volutes")
པད-འབྱུང-ཡབ-ཡུམ	(PH) Padmasambhava and consort
པད-མའི-ངང-ཚུལ	(PH) [The one who is] the nature of the Lotus [epith. of Kamalaśīla]
པདམ	 (PH) lotus|(PH) lotus 
པདམ-འབྱུང-གནས	(PH) Padmasambhava
པདམ-བསྣམས	(PH) Padmapāṇi
པདམ-དཀར	(PH) white lotus
པདམ-གར-དབང	(PH) Avalokiteśvara / Hayagriva
པདམ-རྒྱས-པ	(PH) fully-blossomed lotus
པདམ-སམ-བྷ-ཝ	(PH) Padmasambhava
པདམ-སཾ-བྷ-ཝ	(PH) Padmasambhava
པདམའི-ངང-ཚུལ	(PH) [The one who is] the nature of the Lotus [epith. of Kamalaśīla]
པན-ཆེན-གྱི-ཡིག-ཆ	(PH) textbooks of Paṇ-chen [So-nam-drak-ba]
པན-ཞྭ	(PH) paṇḍita's hat; scholar's hat
པཎ-ཞྭ	(PH) paṇḍita's hat; scholar's hat
པན-ཞྭ-རྣ-རིང	(PH) paṇḍita's hat; scholar's hat
པཎཌི-ཏ	(PH) paṇḍita
པཎཌིཏ	(PH) paṇḍita
པར-འགྱའ	(PH) wisdom [arch. spelling]
ཕ	(PH) beyond; farther
ཕ-མྱེས	(PH) paternal ancestor(s)
ཕ-རོལ-ཚུ	(PH) the "opposite" bank [of a river]
ཕག	(PH) hidden
ཕག-མོ-གཞུང-དྲུག	(PH) six treatises on Vārāhī
ཕག-རྒོད	(PH) wild boar
ཕལ-ཆེར-མཚུངས-པ	(PH) mostly the same [way]
ཕལ-མོ-ཆེར-ན	(PH) for the most part
ཕམ-ཉེས	(PH) defeat; failure
ཕན-སེམས	(PH) benevolent intention
ཕན-ཚུན	(PH) opposite sides
ཕན-ཚུན-མཉེན	(PH) mutually agreeable
ཕར-ཕྱིན-ལྷག-ཚུལ-གྱི-ཁྱད-པར	(PH) the feature of a surpassing mode of perfection
ཕར-རྒྱབ-ན	(PH) beyond
ཕས-རྒོལ	(PH) arguments by others; false teachings; false teacher
ཕེ-རིང	(PH) foreign
ཕི-གླིང	(PH) European
ཕོ	(PH) male
ཕོ-བོ	(PH) stomach
ཕོ-བྲང	(PH) Palace
ཕོ-ལོང	(PH) stomach and large intestine
ཕོ-ལོང-བར	(PH) space between the stomach and large intestine
ཕོ-མོའི-མཚན-མ	(PH) male or female sex organs
ཕོད-ཅན	(PH) comet
ཕོད-ཕོད-པ	(PH) puffs; clouds; billows
ཕོན-ཐག	(PH) (leather) strap used to tie a bundle
ཕྲ-མ	(PH) gossip; rumor; lies
ཕྲ-རབ-ཀྱི-རྡུལ	(PH) subtle atoms; subtle particle
ཕྲ-རགས	(PH) coarseness and subtlety; coarse and subtle
ཕྲ-རྡུལ	(PH) subtle atoms; subtle particle
ཕྲག-དོག-ཉིད	(PH) jealousy
ཕྲན	(PH) small; minor; humble; we; us; [first person plural pronoun]
ཕྲེང	(PH) garland; rosary; halo; series
ཕྲེང-ཐང	(PH) streak; flash [of lightening]
ཕྲུག	(PH) child; young one
ཕུ-དུད	(PH) variegated
ཕུན-སུམ་	(PH) marvels
ཕུན-ཚོགས	(PH) marvels
ཕུང	(PH) mass; heap
ཕུང-གསུམ-པ	(PH) third category
ཕུང-པོ	(PH) mass; heap; totality
ཕྱག-བྲིས	(PH) letter; handwriting; handwritten [text]
ཕྱག-བྱ-བའི-འོས	(PH) worthy of homage
ཕྱག-བྱས-པ	(PH) attendant
ཕྱག-དར-ཁྲོད	(PH) a rubbish heap
ཕྱག-ན-པདམ	(PH) Padmapāṇi
ཕྱག-རྒྱ-མེད	(PH) sealed with a seal from the beginning
ཕྱག-རྒྱའི-མདུད	(PH) knotted seal
ཕྱེ-བ	(PH) opening; division; differentiation
ཕྱེ-བ-སོ-སོ	(PH) individual divisions
ཕྱེ-བ-སོ-སོའི-དོན	(PH) meaning of the individual divisions
ཕྱེ-མ	(PH) dust
ཕྱེ-ཤུལ	(PH) passageway
ཕྱི-དང-ནང-གི-བསྟན-པ	(PH) the teachings of Buddhists and Outsiders
ཕྱི-དབུགས	(PH) external breath
ཕྱི-དྲོའི-དུས	(PH) afternoon
ཕྱི-མིག	(PH) backwards
ཕྱི-ནང	(PH) Buddhist and non-Buddhist
ཕྱི-ནང-སྣོད-བཅུད	(PH) environment and [its] inhabitants (inner and outer)
ཕྱི-ངོས-སུ	(PH) facing outward
ཕྱི-རྒོལ	(PH) opponent; second party
ཕྱི-རོལ-དོན	(PH) external objects
ཕྱིའི-རྣམ-ཐར	(PH) exoteric biography; "outer" biography
ཕྱིར-འཚོང-གོང-ཚད	(PH) sales price
ཕྱིར-ལ་	(PH) moreover
ཕྱིར-མི-ལྡོག-པའི-བྱང-སེམས	(PH) irreversible bodhisattva
ཕྱིས	(PH) later; at later times
ཕྱིས-མྱོང-བར-འགྱུར-བ	(PH) experience in a later life
ཕྱིས-ཕྱིས	(PH) much later
ཕྱོགས	(PH) direction; portion
ཕྱོགས-བཅུ-ནམ-མཁའ	(PH) space in the ten directions
ཕྱོགས-ཀྱི-རྩ-བཞི	(PH) four cardinal directions
ཕྱོགས-ལྟར-སྣང	(PH) counterfeit thesis
ཕྱོགས-སྔ	(PH) opponent
ཕྱུག-རྫི	(PH) cowherd; cattle-keeper; herdsman
ཕྱྭ-སྨྲ-བ	(PH) Fatalist; Proponents of Predetermination
པྲ-སེན	(PH) mirror divination
པུས	(PH) knee
པུས-འོག	(PH) lower edge of the knee
པུས-མོ-གཡས-པའི-ལྷ-ང	(PH) bent right knee
ར	 (PH) goat|(PH) goat 
ར-བ	(PH) fence; courtyard
ར-ཕོ	(PH) goat
རབ-འབྱམས	(PH) countless; manifold; infinite
རབ-འབྱམས-མཁས-པ	(PH) countless scholars
རབ-འབྱམས-པ	(PH) countless; manifold; infinite
རབ-རྒྱན	(PH) [n. of calendrical cycle]
རབ-སྣང	(PH) brilliantly illuminated [things]
རབ-ཏུ-དང-བའི-ཡིད	(PH) very pure mind
རབ-ཏུ-སྣང-བ	(PH) brilliantly illuminated [things]
རབ-ཏུ-སྣང-བྱེད	(PH) Pramāsa [charnal ground]
རབ-ཏུ-ཟླུམ-པོ	(PH) completely round; perfectly round
རལ-གྲིའི-སོ	(PH) edge of a sword
རལ-པ	(PH) [lion's] crest hair; matted hair
རལ-པ-ཅན	 (PH) [lion's] crest hair|(PH) [King] Ralpajen 
རལ-པའི-ཐོད	(PH) crown of matted hair; matted crown
རང	(PH) it; itself
རང-འཁོར	(PH) its accompanier
རང-བཞིན	(PH) own nature; nature
རང-བཞིན-འཇམ-པོ	(PH) naturally smooth
རང-བཞིན-བརྒྱད-ཅུ	(PH) eighty instinctual natures
རང-བཞིན-གཅིག	(PH) same nature
རང-བཞིན-གྱིས-གྲུབ-པ	(PH) being intrinsically established; being inherently established; intrinsic establishment; inherent establishment
རང-བཞིན-མྱང-འདས	(PH) naturally passed beyond sorrow; natural nirvāṇa
རང-དང-སྣོད-བཅུད	(PH) oneself and the environment and [its] inhabitants
རང-དགའ-བ	(PH) ordinary
རང-གི-འཇུག-ཡུལ-གྱི-གཙོ-བོ	(PH) its principal object of engagement
རང-གི-འཁོར	(PH) its accompanier
རང-གི-བློ-ངོར	(PH) from one's own perspective
རང-གི-བརྗེད-བྱང	(PH) own reminder
རང-གི-བསྟན-བྱ	(PH) its indicated meaning
རང-གི-གསལ-བ	(PH) its own instances
རང-གི-ངོས-སྐལ-གྱི-སྒྲིབ	(PH) the corresponding obstructions
རང-གི-ངོས-སྐལ-གྱི-སྒྲིབ-གཉིས	(PH) the two corresponding obstructions
རང-གི-རིགས-ཅན	(PH) having its type
རང-གི-རིགས-ཡོད-པ	(PH) having its type
རང-གི-རིགས-ཡོད-པ-ཅན	(PH) having its type
རང-གི-སྡོད-ལུགས-གྱི-ངོས-ནས-གྲུབ-པ	(PH) establishment from the perspective of its own mode of subsistence
རང-གི-སྣང-བ	(PH) own appearing object
རང-གཞན-གྲུབ-མཐའ	(PH) the tenets of ourselves and others
རང-གཞན-ཐམས-ཅད	(PH) all [beings] — oneself and others
རང-མདོག	(PH) natural color
རང-ངོས	(PH) its own side
རང-ཉིད	(PH) oneself; that itself
རང-ཉིད-ལྷན-ཅིག-བྱེད-རྐྱེན	(PH) something's being a cooperating condition
རང-རྒྱལ-གྱི-རྣལ-འབྱོར-མངོན-སུམ	(PH) yogic direct perception [in the continuum] of a Pratyekabuddha
རང-རྒྱལ-གྱི-སྦྱོར-ལམ-དྲོད	(PH) Solitary Realizer heat path of preparation
རང-རྒྱལ-སློབ-པ	(PH) learner Solitary Realizer
རང-རྒྱུད-པ	(PH) Svātantrika; Proponents of the Autonomous [Syllogisms]
རང-རིག	(PH) self-cognizing [awareness]; self-knower
རང-རྣམ	(PH) autobiography
རང-ཡིད	(PH) subjective mind
རས-བཅོས-བུ-ཟུང	(PH) cotton cloth
རྡོ-འཇོག	(PH) Takṣaśilā
རྡོ-བསྲེགས	(PH) burning coals
རྡོ-རིལ	(PH) small stone
རྡོ-རྗེ-འཛིན	(PH) vajra-holder; tantric master
རྡོ-རྗེ-འཛིན-པ	 (PH) vajra-holder; tantric master|(PH) vajra holder 
རྡོ-རྗེ-ཆང-ཡབ-ཡུམ	(PH) Vajradhara and consort
རྡོ-རྗེ-དམ-ཚིག	(PH) vajrasamaya; vajra commitments
རྡོ-རྗེ-དབང-ཕྱུག	(PH) Vajra Lord
རྡོ-རྗེ-གཏུམ-པོ	(PH) ferocious vajra
རྡོ-རྗེ-ཁུ-ཚུར	(PH) vajra-fist [name of a mudrā]
རྡོ-རྗེ-ལྕགས-ཀྱུ	(PH) vajra claws
རྡོ-རྗེ-མི-ཕྱེད	(PH) indestructible vajra
རྡོ-རྗེ-ཉི-མ	(PH) Vajrasūrya
རྡོ-རྗེ-རྒྱལ-མཚན	(PH) Vajradhvaja[-sūtra]
རྡོ-རྗེའི-བརྟུལ-ཞུགས	(PH) vajra vows of conduct
རྡོ-རྗེའི-དམ-ཚིག	(PH) vajrasamaya; vajra commitments
རྡོག-པོ	(PH) a grain of corn
རྡོར-སེམས-ཡབ-ཡུམ	(PH) Vajrasattva and consort
རྡོས	(PH) corpulent; bloated; heavy and gross
རྡུལ	(PH) passions; ovum; menstrual blood
རྡུལ-དང-ལྡན-མ	(PH) ovulating woman
རྡུལ-ཕྲ	(PH) subtle atoms; subtle particle
རྡུལ-ཕྲ-མོ	(PH) subtle atoms; subtle particle
རྡུལ-ཕྲ-རབ	(PH) subtle atoms; subtle particle
རྡུལ-ཕྲན	(PH) atoms; particle
རྡུལ-ཕྲན-ཆ-ལྡན	(PH) particle with parts
རྡུལ-ཕྲན-ཆ-མེད	(PH) [generic] partless particle
རྡུལ-ཕྲན-ཕྲ-མོ	(PH) subtle atoms; subtle particle
རྡུལ-ཚོན	(PH) colored powder
རྡུལ-ཚུབ	(PH) Manchu queue [hairstyle]
རྫ-མཁན	(PH) potter
རྫས-འཛིན-རྟོག-པ	(PH) conception of the true existence of subjects (i.e., persons) as being substantially existent
