སྐུ-མ-རྙོངས-པ	Fifty-seventh of the eighty minor marks.
ཡུལ-ཀ-ཤིའི-རས-ཕྲན	 An acceptable form of cloth for a monk, as identified in the Four Resources section of the ordination ritual.|An acceptable form of cloth for a monk, as identified in the Four Resources section of the ordination ritual. 
ཀླུ-འདབ-བཟངས-ཀྱི-གདོན	 The Sanskrit term suparṇī in nāga­suparṇī­graha, translated by the Tibetan term {'dab bzang}, literally means “fine-winged” or “beautiful-leaved.” While this can be an epithet for the mythical garuḍa bird, here it seems to simply describe a general characteristic of the nāga.| The Sanskrit term suparṇī in nāga­suparṇī­graha, translated by the Tibetan term {'dab bzang}, literally means “fine-winged” or “beautiful-leaved.” While this can be an epithet for the mythical garuḍa bird, here it seems to simply describe a general characteristic of the nāga. |The Sanskrit term suparṇī in nāga­suparṇī­graha, translated by the Tibetan term {'dab bzang}, literally means “fine-winged” or “beautiful-leaved.” While this can be an epithet for the mythical garuḍa bird, here it seems to simply describe a general characteristic of the nāga. 
སོར-མོ-རྒྱས-པ	Ninth of the eighty minor marks.
སོར-མོ-རྣམས-བྱིན-གྱིས-ཕྲ-བ	Eleventh of the eighty minor marks.
སྲིན-བུ-མེ-ཁྱེར	fireflies
རེག-པར-སྤྱོད-པ	See http://read.84000.co/translation/UT22084-001-001.html#UT22084-001-001-1105.
མཚམས-མེད-ལྔ	 Lit. “sins of immediate retribution [after death].” These five, all of which cause immediate rebirth in hell, are killing one’s father, killing one’s mother, killing an arhat, breaking up the saṅgha, and causing, with evil intent, the Tathāgata to bleed. | The five extremely negative actions which, once those who have committed them die, result in their going immediately to the hells without experiencing the intermediate state. They are killing an arhat, killing one’s mother, killing one’s father, creating schism in the Saṅgha, and maliciously drawing blood from a tathāgata’s body. | The “five inexpiable crimes,” or “crimes with immediate retribution” because they result in immediate rebirth in the hells without any intermediate state, are regarded as the most severe and consequently the most difficult negative actions to overcome by reparation. They are matricide ({ma gsod pa}), killing an arhat ({dgra bcom pa gsod pa}), patricide ({pha gsod pa}), creating a schism in the monastic community ({dge 'dun gyi dbyen byas pa}), and intentionally wounding a buddha ({de bzhin gshegs pa'i sku la ngan sems kyis khrag 'byin pa}).|The five extremely negative actions which, once those who have committed them die, result in their going immediately to the hells without experiencing the intermediate state. They are killing an arhat, killing one’s mother, killing one’s father, creating schism in the Saṅgha, and maliciously drawing blood from a tathāgata’s body. 
ཕུང-པོ-ལྔ	 The five “aggregates” comprising a living being. | The ordinary mind-body complex is termed the “five psycho-physical aggregates,” which comprise physical forms, feelings, perceptions, formative predispositions, and consciousness.\nFor a detailed exposition of the five psycho-physical aggregates in accord with A­saṅga’s Abhi­dharma­samuccaya, see Jamgon Kongtrul, TOK Book 6, Pt. 2: 477–531.|Form, feeling, perception, formation and consciousness. 
སངས-རྒྱས-ལྔ	The five, in the CMT system, are Akṣobhya (in the centre), Vairocana (in the east), Ratnasambhava (in the south), Amitābha (in the west), and Amoghasiddhi (in the north).
འགྲོ-བ-ལྔ	These comprise gods and humans of the higher realms within cyclic existence, along with animals, anguished spirits, and the denizens of the hells, whose abodes are identified with the lower realms.
སྙིགས-མ-ལྔ	 Five particular aspects of life which indicate the degenerate nature of a given age. They are the impurities of views, of afflictions, of sentient beings, of life, and of time.|The five degenerations are: (1) degeneration of life span, (2) degeneration of views, (3) degeneration of the afflictions (4) degeneration of beings, and (5) the degeneration of the era. 
མངོན-པར-ཤེས-པ-ལྔ	 There are five supernatural faculties resulting from meditative concentration: divine sight, divine hearing, knowing others’ minds, recollecting past lives, and the ability to perform miracles.| There are five supernatural faculties resulting from meditative concentration: divine sight, divine hearing, knowing others’ minds, recollecting past lives, and the ability to perform miracles. |Divine sight, divine hearing, the ability to know past and future lives, the ability to know the minds of others, and the ability to produce miracles. 
མངོན-ཤེས-ལྔ	 They comprise (1) the extrasensory power realizing knowledge of [miraculous] activities, (2) the extrasensory power realizing knowledge of divine clairvoyance, (3) the extrasensory power realizing knowledge of divine clairaudience, (4) the extrasensory power realizing knowledge of other minds, and (5) the extrasensory power realizing knowledge of recollection of past lives.\n(See also notes http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-127 and http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-267).|They comprise (1) the extrasensory power realizing knowledge of [miraculous] activities, (2) the extrasensory power realizing knowledge of divine clairvoyance, (3) the extrasensory power realizing knowledge of divine clairaudience, (4) the extrasensory power realizing knowledge of other minds, and (5) the extrasensory power realizing knowledge of recollection of past lives.\n(See also notes http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-127 and http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-267). 
མིག-ལྔ	These comprise (1) the eye of flesh, (2) the eye of divine clairvoyance, (3) the eye of wisdom, (4) the eye of the sacred doctrine, and (5) the eye of the buddhas. See also http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-268 and http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1113.
རྣམ-པར-རྟོག-པ-ལྔ	The five false imaginations are enumerated in The Extensive Exegesis of the Transcendent Perfection of Discriminative Awareness in One Hundred Thousand Lines, Twenty-five Thousand Lines, and Eighteen Thousand Lines (Śata­sahāsrikā­pañca­viṃśati­sāhasrikā-ṣṭādaśa­sāhasrikā­prajnā­pāramitā­bṛhaṭ­ṭīkā, KPD 55: 1217). Therein, the five false imaginations which may confront reversible bodhisattvas are (1) wondering whether they are engaged in the emptiness of the transcendent perfection of wisdom and the transcendent perfection of wisdom ({ci shes rab kyi pha rol tu phyin pa'i stong pa nyid/ shes rab kyi pha rol tu phyin pa la spyod dam}), (2) wondering whether they are exclusively engaged in something other than the transcendent perfection of wisdom ({ci shes rab kyi pha rol tu phyin pa las 'ba' zhig spyod dam}), (3) wondering whether they are engaged in the transcendent perfection of wisdom ({'on te shes rab kyi pha rol tu phyin pa la spyod dam}), (4) wondering whether they are engaged in emptiness ({'on te stong pa nyid spyod dam}), or (5) wondering whether they are engaged in something other than emptiness ({'on te stong pa nyid las gzhan pa zhig spyod dam}).
གོང-མའི-ཆ-མཐུན-གྱི-ཀུན-སྦྱོར-ལྔ	 As described in http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1121, they comprise attachment to the world system of form, attachment to the world system of formlessness, fundamental ignorance, pride, and mental agitation. See also note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1122.\nfive fetters|As described in http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1121, they comprise attachment to the world system of form, attachment to the world system of formlessness, fundamental ignorance, pride, and mental agitation. See also note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1122.\nfive fetters 
འོག-མའི-ཆ-དང-འཐུན-པའི-ཀུན-ཏུ-སྦྱོར-བ-ལྔ	 The five fetters associated with the lower realms comprise desire, hatred, inertia due to wrong views, attachment to moral and ascetic supremacy, and hesitation. See Zhang Yisun et al (1985): 2529.|The five fetters associated with the lower realms comprise desire, hatred, inertia due to wrong views, attachment to moral and ascetic supremacy, and hesitation. See Zhang Yisun et al (1985): 2529. 
སྒྲིབ-པ-ལྔ	 A set of mental factors that hinder discipline, concentration, and insight. | Longing for desires (kāmacchanda), malice (vyāpāda), sloth and torpor (styānamiddha), excitement and remorse (auddhatya­kaukṛtya) and doubt (vicikitsā).| The five obscurations, as found in http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-2531, comprise longing for sensual pleasure, agitation and regret, harmful intention, dullness and sleepiness, and hesitation. See also Kimura IV: 182. | These are five mental impediments that hinder meditation: impediments of desire (kāmacchanda), malice (vyāpāda), depression and sloth (styānamiddha), wildness and excitement (auddhatya­kaukṛtya), and doubt, or perplexity (vicikitsa). |Longing for desires (kāmacchanda), malice (vyāpāda), sloth and torpor (styānamiddha), excitement and remorse (auddhatya­kaukṛtya) and doubt (vicikitsā). 
ཟས-སྣ-ལྔ	The “five kinds of [impure] food” are described in the ṭīka (F.80.b.) as “meat, anything mixed with garlic, beer, fish, and so forth.”
སྡིག-པའི-ལས-ལྔ	The five negative actions comprise killing, stealing, lying, sexual misconduct, and intoxication. A less likely interpretation would equate this enumeration with the {sdig to las lnga}, which are listed in Kalyāṇamitra’s Vinaya­vastu­ṭīkā (Toh 4113, ’dul ba, tsu, 196b) as slaying a brahman, slaying a cow, stealing gold, dallying with the wife of a spiritual teacher, and drinking alcohol. See Nordrang Orgyan (2008): 1112.
བའི-རྣམ-པ-ལྔ	Milk, curds, butter, urine and dung.
རྒྱལ-པོ-མདོ-ལྔ	(1) Bhadra­caryā­praṇidhāna (bzang spyod smon lam, in chapter 44 of the Avataṃsaka); for aspiration ({smon lam}), and described as vast ({rgya chen}). (2) Vajra­vidāraṇā­dhāraṇī (rdo rje rnam ’joms, Toh 750); for ablution ({khrus}). (3) Prajñā­pāramitā­hṛdaya (shes rab snying po, Toh 21 and 531); for the view ({lta ba}), and described as profound ({zab mo}). (4) Atyaya­jñāna (’da’ ka ye shes, Toh 122); for cultivation ({sgom pa}) and described as of definitive meaning (nges don). (5) bya ba ltung bshags (part of Vinaya­viniścayopāli­paripṛcchā, Toh 68); for purification of karmic obscurations ({las sgrib dag pa}).
འབུམ-སྡེ-ལྔ	(1) The long Prajñā­pāramitā (Toh 8), which contains 100,000 ślokas; (2) the Mahā­pari­nirvāṇa (Toh 119-120), which contains 100,000 testaments given by the Buddha at the time of his pari­nirvāṇa; (3) the Ratna­kūṭa (Toh 45-93), which contains 100,000 distinct names of the Buddha; (4) the Avataṃsaka (Toh 44), which contains 100,000 aspirations; and (5) the Laṅkāvatāra (Toh 107-108), which contains 100,000 discourses that are ways of subjugating the rākṣasas. These five sets of 100,000 features are also said to correspond to the Buddha’s body, speech, mind, qualities, and activities, respectively.
འབུམ-ཆེན-སྡེ-ལྔ	(1) The long Prajñā­pāramitā (Toh 8), which contains 100,000 ślokas; (2) the Mahā­pari­nirvāṇa (Toh 119-120), which contains 100,000 testaments given by the Buddha at the time of his pari­nirvāṇa; (3) the Ratna­kūṭa (Toh 45-93), which contains 100,000 distinct names of the Buddha; (4) the Avataṃsaka (Toh 44), which contains 100,000 aspirations; and (5) the Laṅkāvatāra (Toh 107-108), which contains 100,000 discourses that are ways of subjugating the rākṣasas. These five sets of 100,000 features are also said to correspond to the Buddha’s body, speech, mind, qualities, and activities, respectively.
བ-ཡི-རྣམ-ལྔ	Milk, yogurt, clarified butter, cow urine, and cow dung.
ལྟུང-བ-སྡེ-ལྔ	The 253 different transgressions a monk may incur are divided into five types: defeats, transgressions whose remnant is restored by the saṅgha, offenses, transgressions requiring personal confession, and faults.\nSee also http://read.84000.co/translation/UT22084-001-001.html#UT22084-001-001-879.\nfive types of lapses
ཟག-མེད-ཕུང-པོ-ལྔ	 These are equivalent to the five definitive aggregates.|These are equivalent to the five definitive aggregates. 
མངོན-པར-ཞེན	become fixated on
མངོན-པར-ཞེན-པར-བྱེད	become fixated on
ཤུ-དག	 Acorus calamus. | Acorus calamus; sweet flag.| Acorus calamus; sweet flag. |Acorus calamus. 
ནེ-ཙོའམ-ཅི	Butea monosperma, Butea frondosa, and Erythrina monosperma. A tree that grows up to 15 meters tall and has bright red flowers. Other names include parrot tree, bastard teak, dhak (Hindi), palas (Hindi), porasum (Tamil); and khakda (Gujarati).
ཤ-རི-ས	 Albizzia lebbeck Benth. (Acacia Sirissa.)|Albizzia lebbeck Benth. (Acacia Sirissa.) 
སྐྱ-རྦབ	 Symptom that may be evidence of an illness considered an impediment to ordination.\nSee also http://read.84000.co/translation/UT22084-001-001.html#UT22084-001-001-1011.| Symptom that may be evidence of an illness considered an impediment to ordination.\nSee also http://read.84000.co/translation/UT22084-001-001.html#UT22084-001-001-1011. |Symptom that may be evidence of an illness considered an impediment to ordination.\nSee also http://read.84000.co/translation/UT22084-001-001.html#UT22084-001-001-1011. 
དམིགས-པ	 Conceptual mind. Also translated “focus” q.v.|Also translated “reference point” q.v. 
གནས-སུ-བྱ-བ-མེད-པ	 Name of the eighty-first meditative stability.|Name of the eighty-first meditative stability. 
སེམས-རྩེ-གཅིག-པ	 one-pointed mental focus| one-pointed mental focus |one-pointed mental focus 
སྔགས-པ	 A practitioner of mantra; a follower of the Mantra Vehicle.|A practitioner of mantra; a follower of the Mantra Vehicle. 
དུས-སུ-རུང-བ	 One of “the four medicines.” “Food fit for a time” is food eaten between dawn and noon, the appropriate time according to the monastic code. It refers mainly to maṇḍa (scum of boiled rice), odana (boiled rice gruel), kulmāsa (sour gruel), and māṃsapūpā (meat cake). It is medicinal in that it is primarily aimed at combating the “illness” of hunger. An acceptable form of medicine for a monk, as identified in the Four Resources section of the ordination ritual.|One of “the four medicines.” “Food fit for a time” is food eaten between dawn and noon, the appropriate time according to the monastic code. It refers mainly to maṇḍa (scum of boiled rice), odana (boiled rice gruel), kulmāsa (sour gruel), and māṃsapūpā (meat cake). It is medicinal in that it is primarily aimed at combating the “illness” of hunger. An acceptable form of medicine for a monk, as identified in the Four Resources section of the ordination ritual. 
ཐུན-ཚོད-དུ-རུང-བ	 One of ‘the four medicines.” This category of medicine is comprised of juices and selected other strained or pulp-free liquids, which were mainly allowed as they helped to combat the ‘illness” of thirst. This includes coca (coconut milk), moca (gum of the śālmalī tree), kola (jujube, sour juice or vinegar), aśvattha (juice of leaves of the fig-tree or bodhi tree), udumbara (juice of leaves of the fig-tree), pāruṣika (juice of Frewia Asiatica), mṛdvikā (raisin juice), kharjura (date juice).\nfit for a period|One of ‘the four medicines.” This category of medicine is comprised of juices and selected other strained or pulp-free liquids, which were mainly allowed as they helped to combat the ‘illness” of thirst. This includes coca (coconut milk), moca (gum of the śālmalī tree), kola (jujube, sour juice or vinegar), aśvattha (juice of leaves of the fig-tree or bodhi tree), udumbara (juice of leaves of the fig-tree), pāruṣika (juice of Frewia Asiatica), mṛdvikā (raisin juice), kharjura (date juice).\nfit for a period 
ཤིང-དྲུང	An acceptable form of shelter for a monk, as identified in the Four Resources section of the ordination ritual.
མིང-དང-གཟུགས	 A name for the embryonic phase of an individual’s existence where there is form but the rest of the skandhas or aggregates, which are mental, are undeveloped and have only a nominal presence. | Literally “name and form” means the mental and physical consituents of a being. It is a synonym for the five skandhas, with the four aggregates of the mind being called “names.” In the context of the twelve phases of dependent origination the term is also used specifically to refer to the embryonic phase of an individual’s existence where the mental aggregates are undeveloped and have only a nominal presence, and therefore are called “names.”|Literally “name and form” means the mental and physical consituents of a being. It is a synonym for the five skandhas, with the four aggregates of the mind being called “names.” In the context of the twelve phases of dependent origination the term is also used specifically to refer to the embryonic phase of an individual’s existence where the mental aggregates are undeveloped and have only a nominal presence, and therefore are called “names.” 
མིང-གཟུགས	 Fourth of the twelve links of dependent origination.| Fourth of the twelve links of dependent origination. |Fourth of the twelve links of dependent origination. 
འདུ-བྱེད	 One of the five aggregates; formative forces concomitant with the production of karmic seeds causing future samsaric existence. | Second of the twelve links of dependent origination. This term denotes the deep-seated predispositions inherited from past actions and experiences, some of which function in association with mind, while others do not. Formative predispositions are critical to the Buddhist understanding of the causal dynamics of karma and conditioning. It is the collection of such countless predispositions by afflicted mental states that constitutes the obscuration of misconceptions concerning the known range of phenomena, the total eradication of which occurs only when full awakening or buddhahood is achieved. | See “aggregate.”| The fourth of the five aggregates. | The meaning of this term varies according to context; as one of the skandhas it means the entire array of negative, positive, and neutral mental activities. | The various conditioning factors and circumstances that affect rebirth, including primarily (but not only) karma. Formative factors also constitute one of the five aggregates and figure as one of the links in the twelve links of dependent arising to account for how karma eventually leads to rebirth. |The meaning of this term varies according to context; as one of the skandhas, it means “various mental activities.” In terms of the twelve phases of dependent origination it is the second, “formation” or “creation”: activities with karmic results. 
གཟུགས-མེད-པའི-སྙོམས-པར-འཇུག-པ	See http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-174.\nformless absorptions
གཟུགས-མེད-པའི-སྙོམས-པར-འཇུག-པ-བཞི	 As found listed in http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-174, these comprise (1) the meditative absorption of the sense field of infinite space, (2) the meditative absorption of the sense field of infinite consciousness, (3) the meditative absorption of the sense field of nothing-at-all, and (4) the meditative absorption of neither perception nor non-perception.\nThe four formless absorptions and their fruits are discussed in Jamgon Kongtrul, TOK Book 6, Pt. 2: 436–438.\nfour formless absorptions|As found listed in http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-174, these comprise (1) the meditative absorption of the sense field of infinite space, (2) the meditative absorption of the sense field of infinite consciousness, (3) the meditative absorption of the sense field of nothing-at-all, and (4) the meditative absorption of neither perception nor non-perception.\nThe four formless absorptions and their fruits are discussed in Jamgon Kongtrul, TOK Book 6, Pt. 2: 436–438.\nfour formless absorptions 
གཟུགས-མེད-པའི-ཁམས	One of the three realms of saṃsāra, characterized by having only a subtle mental form.
གཟུགས-མེད-ཁམས	One of the three realms. See glossary s.v. three realms ({khams gsum}).
ཚེམས-བཞི-བཅུ-མངའ-བ	Twenty-first of the thirty-two major marks.
བསླབ-པའི-གཞི	 Refers to the knowledge and stability that conduce to abandoning disturbing emotions or the basic precepts one pledges to uphold when going for refuge, such as refraining from killing.|Refers to the knowledge and stability that conduce to abandoning disturbing emotions or the basic precepts one pledges to uphold when going for refuge, such as refraining from killing. 
སྤྱོད-ལམ-བཞི	The four acceptable norms of behavior concern posture while walking, standing, sitting, and lying down. See Nordrang Urgyen (2008), 718–719.
རྫུ-འཕྲུལ-གྱི-རྐང-པ-བཞི	 The first basis of magical power consists of the energy from the conscious cultivation of concentration of will (chanda­samādhi­prahāṇa­saṃskāra­samanvāgataḥ). The second consists of the energy from the conscious cultivation of concentration of mind (citta‑). The third consists of concentration of effort (vīrya‑). The fourth consists of concentration of analysis (mīmāṃsa‑). These four form a part of the thirty-seven aids to enlightenment.| The four supports for miraculous ability, as enumerated in http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-161, comprise (1) the support for miraculous ability combining the meditative stability of resolution with the formative force of exertion, (2) the support for miraculous ability combining the meditative stability of perseverance with the formative force of exertion, (3) the support for miraculous ability combining the meditative stability of mind with the formative force of exertion, and (4) the support for miraculous ability combining the meditative stability of scrutiny with the formative force of exertion.\nfour supports for miraculous abilities |The first basis of magical power consists of the energy from the conscious cultivation of concentration of will (chanda­samādhi­prahāṇa­saṃskāra­samanvāgataḥ). The second consists of the energy from the conscious cultivation of concentration of mind (citta‑). The third consists of concentration of effort (vīrya‑). The fourth consists of concentration of analysis (mīmāṃsa‑). These four form a part of the thirty-seven aids to enlightenment. 
སྦྱོར-བ-བཞི	The four bonds, according to Nordrang Orgyan (2008): 808, have eight distinct enumerations, among which they are identified in the commentarial tradition of the Abhi­dharma­kośa with the four torrents, which immediately follow in http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-875.
གླིང-བཞི	According to traditional Indian cosmology, our human world of “patient endurance” (sahālokadhātu, {mi mjed 'jig rten gyi khams}) is said to comprise four continents, namely, Pūrva­videha in the east, Jambu­dvīpa in the south, Apara­godānīya in the west, and Uttarakuru in the north. See also note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1116.
གླིང-བཞིའི-བདག-པོ	 See note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1116.| See note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1116. |See note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1116. 
ཕྱིན-ཅི-ལོག-བཞི	 Taking what is impermanent to be permanent, what is painful to be delightful, what is unclean to be clean, and what is no self to be a self. | These consist of mistaking what is impermanent for permanent; mistaking what is without self for self-possessing; mistaking what is impure for pure; and mistaking what is miserable for happy.|Taking what is impure as pure; what is impermanent as permanent; what is suffering as happiness; and what is non-self as a self. 
ལྟ-སྟང-བཞི	Four gazes employed for the four activities: enthralling, summoning, killing, and paralyzing.
སོ-སོ-ཡང-དག-པར-རིག-པ-བཞི	 These four unhindered discernments—the essentials through which the buddhas impart their teachings—comprise (1) unhindered discernment of meaning, (2) unhindered discernment of the doctrine, (3) unhindered discernment of etymology, and (4) unhindered discernment of inspiration. See http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-253.\nOn the philological origins of these four unhindered discernments, see Konow (1941): 40, and the reconstructed Sanskrit on p. 107; also Dayal (1932): 259–267, and Sparham (2012 IV): 78–79.|Genuine discrimination with respect to dharmas, meaning, language, and eloquence. 
རྒྱ-མཚོ-ཆེན-པོ-བཞི	Four oceans believed to surround the central mountain, Mt. Meru, in Indian cosmology.
ཚད-མེད-བཞི	 Immeasurable states, otherwise known as “pure abodes” (brahmā­vihāra). Immeasurable love arises from the wish for all living beings to have happiness and the cause of happiness. Immeasurable compassion arises from the wish for all living beings to be free from suffering and its cause. Immeasurable joy arises from the wish that living beings not be sundered from the supreme happiness of liberation. And immeasurable impartiality arises from the wish that the preceding—love, compassion, and joy—should apply equally to all living beings, without attachment to friend or hatred for enemy.| Love, compassion, joy, and equanimity. |As mentioned in http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-172, these are (1) loving kindness, (2) compassion, (3) empathetic joy, and (4) equanimity. On training in the four immeasurable aspirations, see Padmakara Translation Group (1994): 195–217. 
ཚད-མེད-པའི-གནས-གཞི	Immeasurable loving kindness, compassion, sympathetic joy, and impartiality.
དགའ-བཞི	The four types of bliss arising during sexual intercourse, the full understanding of which leads to liberation.
དགའ-བ-བཞི	The four types of bliss arising during sexual intercourse, the full understanding of which leads to liberation.
ནད-བཞི	See http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-2097.
མདུད-པ-བཞི	The four knots comprise covetousness, malice, moral supremacy, and ascetic supremacy. See Zhang Yisun et al (1985): 1379. See http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-875.
རྒྱལ-པོ-ཆེན-པོ-བཞི	 Four deities on the base of Mount Meru, each one the guardian of his direction: Vaiśravaṇa in the north, Dhṛtarāṣṭra in the east; Virūpākṣa in the west; and Virūḍhaka in the south.|Four deities on the base of Mount Meru, each one the guardian of his direction: Vaiśravaṇa in the north, Dhṛtarāṣṭra in the east; Virūpākṣa in the west; and Virūḍhaka in the south. 
བསམ-གཏན-བཞི	Described at length in http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-170. See also “meditative concentration.”\nThe four meditative concentrations and their fruits are specifically examined in Jamgon Kongtrul, TOK Book 6, Pt. 2: 427–436. For Pāli and Sanskrit sources, see Dayal (1932): 225–231.
ཕྱིན-ཅི-ལོག-པ-བཞི	The four misconceptions, as found in http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-875, comprise holding impurity to be purity, holding non-self to be self, holding suffering to be happiness, and holding impermanence to be permanence. See Negi (1993-2005): 3569 and Zhang Yisun et al (1985): 1748. At http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-2139 they are expressed in slightly dissimilar language, namely: the notion that there is permanence, the notion that there is happiness, the notion that there is a self, and the notion that existence is pleasant.
གསོལ-བ-དང-བཞི-པ	For someone to be accepted into the Saṅgha, and for any other action that needs the assent of the Saṅgha, first a motion (jñāpti; {gsol.ba}) is presented to the community, for example, a certain person’s wish for ordination. The motion would be followed by three propositions, in which is it said that all who assent should remain silent. If no one speaks up after the third proposition, the motion is passed. The Tibetan translated it literally as “supplication and fourth.”
འཕགས-པའི-བདེན-པ-བཞི	 The first teaching of the Buddha, covering suffering, the origin of suffering, the cessation of suffering, and the path to the cessation of suffering. | The four noble truths, as listed in http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-153, comprise (1) the noble truth of suffering, (2) the noble truth of the origin of suffering, (3) the noble truth of the cessation of suffering, and (4) the noble truth of the path. (See also note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-154).\nOn the twelve aspects pertaining to the four noble truths, see note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1530.\nnoble truths | The four truths the Buddha realized at his enlightenment: the truth of suffering, the truth of the origin, the truth of cessation, the truth of the path.| The four truths the Buddha realized at his enlightenment: the truth of suffering, the truth of the origin, the truth of cessation, the truth of the path. |The first teaching of the Buddha, covering suffering, the origin of suffering, the cessation of suffering, and the path to the cessation of suffering. 
ཟས-བཞི	The four nourishments comprise the nourishment of food, the nourishment of sensory contact, the nourishment of mentation, and the nourishment of consciousness, the first two of which are directed toward the present life and the last two to the subsequent life. See Negi (1993-2005): 5382 and Zhang Yisun et al (1985): 2457. See http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-875.
འདུ-ཤེས-བཞི	 The factual perceptions of that which is impermanent, painful, unclean, and devoid of self.|The factual perceptions of that which is impermanent, painful, unclean, and devoid of self. 
རྟོན-པ-བཞི	 See note http://read.84000.co/translation/UT22084-071-014.html#UT22084-071-014-34.|To attain higher realizations and final enlightenment, the bodhisattva should rely on the meaning (of the teaching) and not on the expression (artha­pratisāraṇena bhavitavyaṃ na vyañjana­pratisāraṇena); on the teaching and not on the person (who teaches it) (dharma­pratisāraṇena bhavitavyaṃ na pudgala­pratisāraṇena); on gnosis and not on normal consciousness (jñāna­pratisāraṇena bhavitavyaṃ na vijñāna­pratisāraṇena); and on discourses of definitive meaning and not on discourses of interpretable meaning (nītārtha­sūtra­pratisāraṇena bhavitavyaṃ na neyārtha­sūtra­pratisāraṇena) according to the order in this sūtra. The usual order, “teaching-reliance,” “meaning-reliance,” definitive-meaning-discourse-reliance,” and “gnosis-reliance,” seems to conform better to stages of practice. 
གནས-བཞི	 In getting ordained, a monk pledges to make do with a restricted set of resources that conduce to the spiritual life. These fall into four categories: clothing, shelter, food, and medicine.|In getting ordained, a monk pledges to make do with a restricted set of resources that conduce to the spiritual life. These fall into four categories: clothing, shelter, food, and medicine. 
ཕྱག-རྒྱ-བཞི	A synonym for the “four aphorisms of the Dharma,” q.v. Often seen in Tibetan in the expanded form {bka' rtags kyi phyag rgya bzhi} (“the four seals of the [Buddha’s] teaching”), the nearest Sanskrit equivalent being dṛṣṭi­nimitta­mudrā (“the seals that are the marks of the [Buddhist] view”).
བཀར-བཏགས-བཞི	 All conditioned phenomena are impermanent; all defilements are suffering; all phenomena are without self; nirvāṇa is peace.| All conditioned phenomena are impermanent; all defilements are suffering; all phenomena are without self; nirvāṇa is peace. |All conditioned phenomena are impermanent; all defilements are suffering; all phenomena are without self; nirvāṇa is peace. 
ཆོས-ཀྱི-སྡོམ-བཞི	 All conditioned phenomena are impermanent; all defilements are suffering; all phenomena are without self; nirvāṇa is peace.| All conditioned phenomena are impermanent; all defilements are suffering; all phenomena are without self; nirvāṇa is peace. |All conditioned phenomena are impermanent; all defilements are suffering; all phenomena are without self; nirvāṇa is peace. 
ཆུ-བོ-བཞི	The four torrents, which are to be abandoned, comprise the torrent of fundamental ignorance, the torrent of wrong view, the torrent of rebirth, and the torrent of craving. See Nyima and Dorje (2001): 1075. See http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-875.
བདེན-པ-བཞི	The four Noble Truths as taught by the Buddha, i.e. the truth of suffering, and so forth.
རིག-བྱེད-བཞི	 The textual base for Brahmanism in India is the Vedas: 1) Ṛgveda, 2) Yajurveda, 3) Sāmaveda, and 4) Atharvaveda.|The textual base for Brahmanism in India is the Vedas: 1) Ṛgveda, 2) Yajurveda, 3) Sāmaveda, and 4) Atharvaveda. 
དུ-རུ-ཀ	Also called olibanum, this is a resin from trees of the genus Boswellia, in this case Boswellia serrata, “Indian frankincense.” It is also known as salai and śallakī.
ཟད-པ-དང-བྲལ-བ	Name of the forty-third meditative stability.
སྤྲོད-པ-མེད-པ	Free from concepts or mental fabrications.
སེམས-མེད-པ	 Name of the thirty-third meditative stability.|Name of the thirty-third meditative stability. 
སྒེ-གཤེར	Zingiber officinale
མཐའ-འཁོབ-ཀྱི-མི-རྣམས	I.e., those living beyond the pale of civilization, out of reach of the sacred doctrine.
