འམ	[C]vA; [C]athavA-api
མཐོང-བར-ཉེ-བར-འགྲོའོ	[C]upaiti-darzanam
མཐོང-བར-དཀའ-བ	[L]durdRza; [C]durdRzya
མཐོང-བར-འགྱུར-རོ	[C]darzanam Agacchati
མཐོང-འགྱུར-ཕྱིར	[C]vIkSiSIran
མཐོང-བའི-ཆོས	[MSA]dRSTa-dharma
མཐོང-བའི-ལམ	darzana-mArga; [C,MSA,MV]darzana-mArga; [C]dRG-mArga
མཐོང-བའི-ས	[C]darzana-bhUmi
མཐོང-བའི-སྤངས-བྱ	[MSA]dRSTi-hAyin
མཐོང-བའི-རྣམ-པ-བསྒོམ-པ	[MSA]darzanAkAra-bhAvana
མཐོང-བའི-དབང-གིས	[MSA]darzana-vazAt
མཐོང-བའི-ཆོས-ལ-འབྱུང-བར-འགྱུར-བ-དང-རྗེས-སུ-མཐུན-པ	[C]dRSTa-dharma-saMvartanIya
མཐོང-ཞེས-བྱ	[C]darzana-Akhya
མཐོང-ཀ-ཆེན-པོ	[L]mahAnIla
མཐོང-བཞིན-དུ	[C]pazyann eva; [C]pazyan
མཐོང-བ-པོ	[C]pazyaka; [C]apazyaka
མཐོང-བ-ཙམ-གྱིས	[MSA]darzana-mAtrAt; [MSA]dRSTa-mAtrAt
མཐོང-བ-པོ-ནས-རྣམ-པར-ཤེས-པ-པོའི-བར	[MSA]draSTA yAvad vijJAtA
མཐོང-བ-དང-ཐོས-པ-དང-བྱེ-བྲག-ཕྱེད-པ-དང-རྣམ-པར-ཤེས-པ-དང	[C]dRSTa-zruta-mata-vijJAta
མཐོང-བ-དང-བཅས-པ	[C]sanidarzana; [C]samanupazyatA
མཐོང-བ-ཡི-ཆོས-ལ-ཞི	[C]dRSTa-dharma-zamaH
མཐོང-བ-མེད-པ	[C]apazyaka
མཐོང-བ-རབ-དག	[MSA]vizuddha-darzana
མཐོང-བ-ལ-སོགས	[C]dRSTa-Adi
མཐོང-བ-མ-ལགས-པ	[C]apazyamAna
མཐོང-དཀའི-ཐུབ-པ	[MSA]durlabha-darzana ... muni
མཐོང-མ-ཐག-ཏུ	[C]daMzana
མཐོང-མ-མ-ལགས-པ	[C]apazyamAna
མཐུ	sthAman. prabhAva. bala. zakti. sAmarthya. anubhAva; [LCh,MSA,L]sthAman. prabhAva. bala. zakti. sAmarthya. anubhAva; [MSA]prabhAvatas; [LCh,MSA,C]sthAman. prabhAva. bala. zakti. sAmarthya. anubhAva [C](=sthAman. prabhAva. bala. zakti. sAmarthya. anubhAva); [MSA]sthAman. prabhAva. bala. zakti. sAmarthya. anubhAva; [C,MSA]sthAman. prabhAva. bala. zakti. sAmarthya. anubhAva; [MSA]balavatva; [MSA]prabala; [MSA]Rddhika; [MSA]sthAman. prabhAva. bala. zakti. sAmarthya. anubhAva; [MSA]sthAman. prabhAva. bala. zakti. sAmarthya. anubhAva
མཐུ-ཅན	[MSA]prabala
མཐུ-ཆེ	[MSA]prabhAva-mahat
མཐུ-སྟོབས	[C]prabhAva; [C]prabhavA
མཐུ-ཇི-ལྟ-བ	[C]yathA-sthAmam
མཐུ-དང-ལྡན-པ	[MSA]sthAma-vat
མཐུ-ཆེ-བ	[C]mahA-arthika
མཐུ-མེད-པ	[MV]niHsAmarthya
མཐུ-ཡི-མཚན-ཉིད-རྣམ-པར-དབྱེ-བ	[MSA]prabhAva-lakSaNa-vibhAga
མཐུ-འགྲུབ-པ	[MSA]prabhAva-siddhi
མཐུ-ཕུལ-དུ-བྱུང-བ	[MSA]prabhAvotkarSa
མཐུ-ལ-མོས-པ	[MSA]prabhAvAdhimukti
མཐུ-ཆུང-བ	[C]alpa-sthAma
མཐུ-ཆུང-ངུ	[C]alpa-sthAma
མཐུ-ཐོབ-པ	[MSA]zakti-lAbha
མཐུ-ཐོབ-པ-ཡོངས-སུ-སྨིན-པ	[MSA]balavattva-pratilambha-paripAka
མཐུ-ཐོབ-པ-ཡིད-ལ-བྱེད-པ	[MSA]zakti-darzana-manaskAra
མཐུ-རྣམ-པ-བཞི	[MSA]catur-vidhAnubhAva
མཐུ-ཆེན-པོ	[L]mahA-prabhAva; [MSA]mahA-Rddhika
མཐུ-ཆེན-ལྡན-པ	[C]mahA-anubhAva
མཐུའི-སྐབས	[MSA]prabhAvAdhikAra
མཐུའི-ཁྱད-པར-དང-ལྡན-པ	[MSA]prabhAva-vizeSa-yoga
མཐུན	[C]anukUla; zakti
མཐུན-དཔེ	[LCh]sadRSTAnta
མཐུན-པ	tulya. pratirUpa. pradakSiNa. samAna. anukUla. anurUpa. AnukUlya. Anulomika; [LCh,MSA,MV]tulya. pratirUpa. pradakSiNa. samAna. anukUla. anurUpa. AnukUlya. Anulomika; [MSA]tulya. pratirUpa. pradakSiNa. samAna. anukUla. anurUpa. AnukUlya. Anulomika; [C,MSA]tulya. pratirUpa. pradakSiNa. samAna. anukUla. anurUpa. AnukUlya. Anulomika; [MSA]tulya. pratirUpa. pradakSiNa. samAna. anukUla. anurUpa. AnukUlya. Anulomika; [L]samAdAna; [L]tulya. pratirUpa. pradakSiNa. samAna. anukUla. anurUpa. AnukUlya. Anulomika; [MSA]anu (e.g.: anvartha-nAman); [MSA]tulya. pratirUpa. pradakSiNa. samAna. anukUla. anurUpa. AnukUlya. Anulomika; [MSA]tulya. pratirUpa. pradakSiNa. samAna. anukUla. anurUpa. AnukUlya. Anulomika; [MV]tulyatA; [MSA]tulya. pratirUpa. pradakSiNa. samAna. anukUla. anurUpa. AnukUlya. Anulomika
མཐུན-ཕྱོགས	[LCh]sapakSa
མཐུན-སྤྱོད	[MSA]anucara (e.g.: vibhutvAnucara)
མཐུན-ཚིག	[MSA]samAnatA-pada
མཐུན-དཔེ-ཡང-དག	samyak-sadRSTAnta
མཐུན-པ-ཉིད	[C,MSA]anukUlatA
མཐུན-པ-ཡི-ནི-ཆོས-སྤྱོད-དོ	[MSA]anudharmaM carati
མཐུན-པའི-ཆོས	anudharma; [MSA]anukUla ... dharma; [MSA]anudharma
མཐུན-པའི-ལམ-སྤྱད-པ	[MSA]anurUpa-mArga-caraNa
མཐུན-པའི-ལམ-མངའ-བ	[C]pradakSiNa-mArga
མཐུན-པའི-ཡུལ-དུ-གནས-པ	[MSA]pratirUpa-deza-vAsa
མཐུན-པར-འགྲོ-ཞིང	[C]anugacchati
མཐུན-པར-འཛིན-པ	[C]anulomatva
མཐུན-པར-སྨྲག-ཡུར	[C]apratikUla-bhANI
མཐུན-པར-འདོང-ངོ	[C]anugacchati
མཐུན-པར-ཞུགས-ན	[C]anupraviSTa
མཐུན-པར-བྱས-པ-ཡིན	[MV]anulomito bhavati
མཐུན-པར-འཁོར-རོ	[C]anuparivartate
མཐུས	[C]anubhAva (=sAmarthya)
མཚམས	sImA; [C]sImA; [MSA]phyogs mtshams = vidiz
མཚམས-བཟུང	[C]avadhI-karoti
མཚམས-སྦྱར	saMdhi
མཚམས-བཅད-པ	[C]baddha-sIman
མཚམས-སྦྱར-བ	[C]saMdhi
མཚམས-སྦྱར-བ-མ-ལགས-པ	[C]visaMdhi
མཚམས-མེད-པ	Anantarya; [C]Anantarya
མཚམས-ཀྱི-ནགས-ཚལ-ཕུན-སུམ-ཚོགས	[C]sImA-vana
མཚམས-སྦྱོར-བ	[C]anusandhi
མཚམས-སྦྱོར-བ-མ-མཆིས-པ	[C]apratisaMdhi
མཚམས-དང-བཅས	[C]sAvadhi
མཚན	nAman. lakSaNa; [LCh]nAma; [MSA]nAman. lakSaNa; [C]nimitta; [C]rAtrau; [MSA]vyaJjana; [C]vyaJjanatA; [MSA]nAman. lakSaNa; [MSA]ya mtshan = adbhuta
མཚན-དཔེ	lakSaNa-vyaJjana
མཚན-གཞི	[MSA]lakSya; dRSTAnta
མཚན-མ	nimitta; [LCh,MSA,MV]nimitta
མཚན-མེད	[L,MSA]animitta. ... gnas pa: [MSA]animitta ... vihAra
མཚན-མོ	rAtri; [LCh,MSA]rAtri; [MSA]tamas
མཚན-ཉིད	lakSaNa; [LCh,C,MSA,MV]lakSaNa; [MV]lakSmAkhya(?); [MSA]svabhAva
མཚན-ཉིད-བཞི	[MSA]catur-lakSaNa
མཚན-ཉིད-གསུམ	trilakSaNa
མཚན-ཉིད-མཆོག	[MSA]agra-lakSaNa
མཚན-ཉིད-འཛིན-པ	[MSA]lakSaNa-grahaNa
མཚན-ཉིད-ཟབ-པ	[MSA]lakSaNa-gAmbhIrya
མཚན-ཉིད-སོ-སོར-རིག-པའི-ཡིད-བྱེད	lakSaNapratisaMvedI-manaskAra
མཚན-ཉིད-གཅིག-པ	[C]eka-lakSaNa
མཚན-ཉིད-ཤེས-པ	[MSA]jJAnam ... lakSaNe
མཚན-ཉིད-ངོ-བ-ཉིད-མེད-པ	[N]lakSaNa-niHsvabhAvatA
མཚན-ཉིད-ངོ-བོ-ཉིད-མེད-པ	lakSaNaniHsvabhAvatA
མཚན-ཉིད-ངོ-བོ-ཉིད-མེད-པ-ཉིད	lakSaNaniHsvabhAvatA
མཚན-ཉིད-ནི-ཡོད-ཀྱང-ཇི-ལྟར-ཀུན-ཏུ-བརྟགས-པ-བཞིན-དུ-མེད-པ	[MV]asti lakSaNaM na tu yathA parikalpyate
མཚན-ཉིད-མེད-པ	[L,MSA,MV]alakSaNa
མཚན-ཉིད-མི-འདྲ	[MSA]vilakSaNa
མཚན-ཉིད-ཀྱི-དེ-བཞིན-ཉིད	[MSA]lakSaNa-tathatA
མཚན-ཉིད-ཀྱི-ཐེག-པ	lakSaNayAna
མཚན-ཉིད-དང-མཚོན-བྱ	lakSaNa-lakSya
མཚན-ཉིད-དང-མི-འགལ-བ	[MSA]lakSaNAvirodha
མཚན-དང-དཔེ-བྱད	[MV]lakSaNa-vyaJjana
མཚན-དང-དཔེ-བྱད-བཟང-པོ	[C,MSA]lakSaNa-anuvyaJjana
མཚན-དོན-དང-མཐུན-པ	[MSA]anvartha-nAman
མཚན-འབྲུ-བ	[C]bhaNDana (=vAk-citta-kRtaM vairUpyaM)
མཚན-མའི-གནས	[C]nimitta-pada
མཚན-མའི-ལྷ	nimitta-deva
མཚན-མའི-སྤྱོད-ཡུལ	nimitta-gocara
མཚན-མའི-རྣམ-པར-གཡེང-བ	[MV]nimitta-vikSepa
མཚན-མའི-འདུ-ཤེས	[C]nimitta-saMjJA
མཚན-སྨོས-པ-ཙམ	[MSA]nAma-dheya-grahaNa-mAtra
མཚན-མེད-འདུ-བྱེད-དང-བཅས-པར-གནས-པ	[MSA]animitta-sasaMskAro vihAraH
མཚན-མ-མེད	[MV]animitta; [MV]nimittAbhAva; [MV]nirnimittatA
མཚན-མ-ཉིད-མཚན-མ-མེད-པར-མཐོང	[MSA]nimittam evAnimittaM pazyanti
མཚན-མ-རྣམ-པར-མི-རྟོག-པ	[MSA]nimitta-nirvikalpa; [MSA]nimittAnAm akalpanA
མཚན-མ-མཆིས-པ	[C]animitta; [C]alakSaNa
མཚན-མ-དང-བྲལ-བ	[C]nimitta-apagata
མཚན-མ-མེད-པ	nirnimittatA. nirnimitta; [C,MSA,MV]Animitta; [MSA]animitta; [C]nirnimittatA. nirnimitta(tA); [MV]nirnimittatA. nirnimitta; [MV]nimittAbhAva
མཚན-མ-མེད-པའི-དབྱིངས	[MSA]animitta ... dhAtu
མཚན-མ-མེད-པའི-གཞི	[MSA]animitta-pada
མཚན-མ-མེད-པའི-ཏིང-ངེ-འཛིན	[MSA]Animitta-samAdhi
མཚན-མ-མེད-པའི-ཤེས-པ	[MV]jJAnAnimitta
མཚན-མ-མེད-པའི-རྣལ-འབྱོར	animittayoga
མཚན-མ-མེད-པ-མངོན-དུ-བྱ-བ	[C]Animitta-sAkSAtkriyA
མཚན-མ-མེད-པ-ལ-རྩོལ-བའི-འདུ-ཤེས	[MSA]AnimittAbhoga-saMjJA
མཚན-མ-མེད-པར-གནས-པ	[MSA]animitta-vihAra; [MSA]nirnimitta-vihAra
མཚན-མ-མེད-པར-གཅིག-ཏུ-ངེས-པའི-ལམ	[MSA]AnimittakaikAntiko mArgaH
མཚན-གྱི-རྒྱུ	[MSA]lakSaNa-hetu
མཚན-གསོལ-ཏོ	[C]kRta-nAma
མཚན-གཉིས-པ	ubhayavyaJjana
མཚན-བཅས-ཀྱི-རྣལ-འབྱོར	sanimitta-yoga
མཚན-མར-བྱེད-དེ	[C]nimittI-karoti
མཚན-མར-འཛིན-པ	[N]nimittodgrahana; nimittagrAha
མཚན-མར-བྱས-ནས	[MV]nimittaM kRtvA
མཚན-ཕུན-སུམ-ཚོགས-པ	[C]lakSaNa-sampad
མཚང-འབྲུ	[C]bhaNDana (=vAk-citta-kRtaM vairUpyaM)
མཚང-བྲུ	[C]bhaNDana (=vAk-citta-kRtaM vairUpyaM)
མཚར-དུ-བརྩིས	[C]vismIyate
མཚེ	[L]taDAga
མཚེའུ	taDAga; [L]taDAga; [MSA]taTAga
མཚེའུ-འཁྲུགས	[L]kSubhita-taDAga
མཚོ	saras; [C]arNava; [MSA]saras
མཚོ-སྐྱེས	[LCh]saroruha
མཚོན	zastra; [LCh,C]lakSyate; [C,MSA]zastra
མཚོན-བྱ	lakSya; [C]lakSman; [C]lakSyate
མཚོན-ཆ	zastra; [C]zastra
མཚོན-པར-བྱེད	[MSA](√lakS): lakSyate
མཚོན-པར-བྱེད-པ	lakSyate
མཚོན-ལ-སོགས-པ	Ayudha-Adi
མཚུང	[N]tulya
མཚུང-ལྡན	saMprayukta
མཚུངས	[C,L]sama; [MSA,MV]samAna; [MSA]samAna-bhAva; [C]tulya; [MV]sAdharmya
མཚུངས-ལྡན	saMprayukta
མཚུངས-མེད	[C]atula; [MSA]apratima
མཚུངས-པ	tulya. sama. samAna; [C,MSA]tulya. sama. samAna; [C,MSA]tulya. sama. samAna; [MSA]sa-; [MSA]sAmAnya; [MV]tulya. sama. samAna; [MV]sAdharmya
མཚུངས-པར	[C,L]sama
མཚུངས-ལྡན-པ	[MSA]saMprayukta
མཚུངས-ལྡན-གྱི-རྒྱུ	saMprayukta-hetu
མཚུངས-པར-ལྡན	[C]saMprayoga
མཚུངས-པར-བྱ-བ	[C]samI-karoti
མཚུངས-པར-ལྡན-པ	saMprayukta. saMprayoga; [L,MSA]saMprayukta. saMprayoga; [MV]saMprayukta. saMprayoga
མཚུངས-སོ-ཞེས-བརྟགས-ནས	[C]tulayati
མཚུངས-པ-ཉིད	[C,MSA]samatA
མཚུངས-པ-མ-མཆིས-པ	[C]apratirUpa
མཚུངས-པ-མེད-པ	[MSA]atulya; [MSA]asama; [N]apratima
མཚུངས-པ-དེ-མ-ཐག-རྐྱེན	samanantara-pratyaya
མཚུངས-པ-དེ-མ-ཐག-པའི-རྐྱེན	samanantara-pratyaya; [MSA]samanantara-pratyaya
མཚུངས-མ-མེད	[C]atulya; [C]atula
མུ	koTi; [LCh,N]koTi; [N]anta
མུ-གེ	durbhikSa; [C]durbhikSa; [C]durabhikSi
མུ-གསུམ	tri-koTi
མུ-གཞི	[N]catuSkoTi
མུ-མེད	[LCh]ananta
མུ-སྟེགས	[LCh]tIrthika
མུ-ཏིག	muktA; [LCh]muktA
མུ-ཁྱུད-ཅན	[C]sanemika
མུ-སྟེག-ཅན	[MSA]tIrthya
མུ-སྟེགས-ཅན	tIrthika. tIrthya; [L,MSA]tIrthika. tIrthya; [MSA]tIrthika. tIrthya
མུ-སྟེགས-པ	[N]tIrthika
མུ-སྟེགས-ཅན-གཞན	[C]tIrthyA
མུ-སྟེགས-ཅན-རྣམས-ཀྱི-བསྟན-བཅོས	[MSA]tIrthika-zAstra
མུ-སྟེགས-ཅན-ཐར-པ-ལ-ཀུན-ཏུ-ཞུགས-པ	[MSA]tIrthya-mokSa-saMprasthita
མུ-སྟེགས-ཅན-བློ-གྲོས-ངན-པའི-ལྟ-བ	[MSA]tIrthya-kumati-dRSTi
མུ-སྟེགས-ཅན-གྱི-མཐའ	[MV]tIrthikAnta
མུ-སྟེགས-ཅན-གྱི-ཐར-པ	[MSA]tIrthika-mokSa
མུ-སྟེགས-ཅན-དང-ཐུན-མོངས-མ-ཡིན-པ	[MSA]tIrthyAsAdharaNa
མུ-སྟེགས-གཅེར-བུ-པ	[N]tIrthika nirgrantha
མུ-མེད-པ	[C]aparyanta
མུ-མེད-པ-ཐུག-པ-མེད-པ	[C]ananta-aparyanta
མུ-ཅོར-མི-སྨྲ-བ	[C]amukharatA
མུན-ཁུང	[MSA]tamas; [C]andha-kAra
མུན-ནག	[MSA]tamaH-prakAra
མུན-པ	tamas; andhakAra; [LCh,MSA,C]tamas; [LCh,MSA,C]tamas; [C]andha
མུན-པ-མེད	[MSA]nirandhakAra (e.g.: dharma-nirandhakAra)
མུན-པ-མ-མཆིས-པ	[C]anandhakAratA
མུན-པ-སེལ-བ	[C]vidhama
མུན-ནག-འཐིབས-པའི-མུན-པ	[C]tamasAkulam andhakAram
མུན-པས-བསྒྲིབས-པ	[MSA]tamo-vRta
མྱ-ནང	[C]kAntAra
མྱ-ངན	zoka; [C,L]duHkha; [C]zoka
མྱ-ངན-འདས	[C,MSA]nirvANa; [C]nirvRt; [C]nirvRta; [MSA]nirvRti
མྱ-ངན-ཟློ	[C]nirvApayi
མྱ-ངན-ལས-འདའ-བ	nirvANa; [MSA]nirvANa; [MSA]parinirvANa
མྱ-ངན-ལས-འདའ-བའི-དོན-དུ-རབ-ཏུ-སྦྱོར-བ	[MSA]parinirvANArtha-prayukta
མྱ-ངན-ལས-འདའ-བའི-འདུ-ཤེས	[MSA]nirvANa-saMjJA
མྱ-ངན-ལས-འདས-པ	nirvANa; [C,L,MSA,MV]nirvANa; [C,MSA]nirvRti
མྱ-ངན-ལས-འདས-པའི-ཆེད	[MSA]nirvANAdhikAratA
མྱ-ངན-ལས-འདས-པའི-བསམ-པ	[MSA]nirvANAbhiprAya
མྱ-ངན-ལས-འདས-པའི-བདེ-བ	[MSA]nirvRti-sukha
མྱ-ངན-ལས-འདས-པའི-ཆེ-བ-ཉིད	[MSA]nirvRti-mAhAtmya
མྱ-ངན-ལས-འདས-པར-འདོད-པ	[MSA]nirvANecchA
མྱ-ངན-ལས-འདས-ཆེན-པོའི-མཐར-ཕྱིན-ནོ	[C]niSThA-nirvANaH
མྱ-ངན-ལས-འདས-པ-མངོན-དུ-ཕྱོགས-པའི-ཆོས	[MSA]nirvANAbhimukha ... dharma
མྱ-ངན-ལས-འདས-པ-ནི-ཞི-བའོ	[MSA]zAntaM nirvANam
མྱ-ངན-ལས-འདས-པ-ཆེན-པོ-ཀུན-ཏུ-སྟོན-པ	[MSA]mahA-parinirvANa-saMdarzana
མྱ-ངན-ལས-འདས-པ-ལ-ཡིད-གནས-སོ	[MSA]nirvANe pratiSThitaM manaH
མྱ-ངན-ལས-འདས-པ-ལ-མི-གནས-པ	[MSA]nirvANApratiSThitatva
མྱ-ངན-ལས-འདས-པ-ལ-ལྷག-པར-དགའ-བ	[MSA]nirvANAbhiratatva
མྱ-ངན-ལས-འདས-པ-དང-ལྡན-པའི-སེམས-བསྐྱེད-པ	[C]nirvRti-sahagata(z)-cittotpAda
མྱ-ངན-ལས-འདས-པ-དང-འཁོར-བ-དག-ལ-མི-གནས-པའི-ཕྱིར	[MSA]nirvANa-saMsArayor apratiSThAnAt
མྱ-ངན-ལས-འདས-པ-ཞི-བ-ཡིན-པ	zAntaM nirvANam
མྱ-ངན-ཉམ-ཐག	[C]zokArtu
མྱ-ངན-འདས-པ-སྟོན-པ	[MSA]nirvANa-darzana
མྱ-ངན-འདས-ལ-འཁོར-ཞི-རོ-གཅིག-པ	[MSA]nirvANe saMsRti-zAnty-ekarasaH
མྱ-ངན-སྡུག-བསྔལ-ཆོས	[C]duHkha-dharma-zoka
མྱ-ངན-མི-འདའ	[C]anirvRta
མྱ-ངན-འདའ-བ	[MSA]nirvRti
མྱ-ངན-གྱི-ཟུག-རྔུ-དང-ལྡན-པ	[C]zoka-zalya-samarpita
མྱ-ངན-གྱི-ཟུག-རྔུ-ཁོང-དུ-ཆུད-པར	[C]zoka-zalya-parigata
མྱ-ངན-གྱི-ཟུག-རྔུས-ཟུག-པར-འགྱུར-རོ	[C]zoka-zalya-viddha
མྱང-འདས	nirvANa
མྱང-བ	[C]AsvAda
མྱོང	[LCh]anubhava; [L]anubhU; [MSA]anubhUti (e.g.: phalAnubhUti); [C]pratyanubhavati; [LCh]saMvedana; [C]asnute; [C,L]asvada; [MSA]upasaMvitti; [C]labhate
མྱོང-བ	anubhava. anubhUta; [L]anubhU; [C]anubhava. anubhUta; [MV](praty-anu √bhU): pratyanubhavati; [L]asvada; [MSA]prati-saM √vid): pratisaMvedyate
མྱོང-བ-མ-ཡིན	[C]anAlIDha
མྱོང-བ-མེད-པ	an-anubhUta
མྱོང-བར-འགྱུར	[C]pratisaMvedayati
མྱོང-བར-བྱ-བ	[C]anubhavanatA
མྱོས-མྱོས-པོར-འགྱུར	[C]unmAda (=unmAdam aunprApnuyus; akin to: citta-vikSepa)
མྱུ-གུ	aGkura; [LCh,C,MSA]aGkura; [C]stamba; [C]viTapam
མྱུར	[MSA]Azu; [MSA]kSipra
མྱུར-བ	kSipra; [LCh]kSipra; [L] zIghram
མྱུར-དུ	kSipram; [C,MV]kSipram; [C]kSipru; [C]tvarite; [C]laghu; [C]zIghra(m); [MV]na cirAt
མྱུར-དུ-རྟོགས	kSiprAnubudhyate
མྱུར-དུ-འདུ-བ	[C]kSipra-saMgrahatA
མྱུར-བ-མྱུར-བ	[L]zIghram
ནཡ-གྲོ-དྷ-ལྟར	[C]n-yagrodhavan
ནཡ-གྲོ-དྷ-ལྟར-ཆུ-ཞེང-གབ-པ	[C]n-yagrodha-parimaNDalatA
ན-བ	vyAdhita; [C]vyAdhita
ན-བཟའ	[LCh]cIvara; [C]nivasana
ན-མོ	namaH
ན-བར-བྱེད-པ	[C]bAdhyate
ན-བར-གྱུར-ལ	[C]gilAni-kAya (=glAna); [C]gilAni-kArya
ན-ལེ-ཤམ	[L]marica
ན-བ-ཚ-ཅན	[C]USara
ན-བ-རྣམས-ལ	[C]vyAdhita
ནད	roga. vyAdhi; [C,MSA]roga. vyAdhi; [C,MSA]roga. vyAdhi; [C]glAnya
ནད-པ	Atura; [MSA]Atura
ནད-ཉུང-བ	[C]alpa-AbAdhatA
ནད-བཅས-པར	[C]savyAdhi
ནད-པའི-ཚོགས-ཀྱི	[C]Aturasvaroga
ནད-རབ-ཏུ-ཞི-བར-བྱེད-པ	[MSA]vyAdhi-zamana
ནག	kRSNa; [MSA]mun nag = tamaH-prakAra
ནག-པོ	kAla. kRSNa; [LCh,C]kAla. kRSNa; [LCh]kAla. kRSNa; [LCh]asita
ནག-པོའི-རང-བཞིན-ཅན	[C]kRSNa-nirjAtika
ནག-པོའི-རྩི-ལག	[C]kRSNa-bandhu
ནག-པོ-ཉེ-བར-སྐྱེད-པ	[C]kRSNAhijAtika
ནགས	vana; [C]vana
ནགས-འདབ	vana-prastha; [C]vana-prastha
ནགས-ཁྲོད	[L]vana
ནགས-ཚལ	vana. vanas-pati; [LCh,C,MSA]vana. vanas-pati; [C]vana. vanas-pati
ནགས-ཚལ-ཕུན-སུམ-ཚོགས	[C]vana-sampada
ནགས-ཀྱི-ཚལ	vana
ནམ-མཁའ	AkAza; [LCh,C,MSA]AkAza; [C]abhyavakAza; [C]kha; [C]gagana
ནམ-མཁར	[C]gagana
ནམ-ཡང	[C]kadAci(t); [C]jAtu
ནམ-མཁའ-ལ	[C]vaihAyasa(m); [C]antarIkSa
ནམ-མཁའ-མཛོད	[C]gaganagaJja
ནམ-མཁའ-མཐོང	[C]AkAza-dRSTu
ནམ-མཁའ-ཇི-ལྟར	[C]nabha
ནམ-མཁའ-རྟེན-མ-མཆིས-པ	[C]AkAza-apratiSThAna
ནམ-མཁའ-ལྟ-བུ	[MV]AkAzopamatA; [C]gagana-kalpa; [C]gagana-kalpatva
ནམ-མཁའ-ཀུན-སོང	[MSA]ambara ... sarvagata
ནམ-མཁའ-མ-མཆིས-པ	[C]AkAza-asatta
ནམ-མཁའ-ལྟར-ཆགས-པ-མེད-པའི-མཚན-ཉིད	[C]AkAza-asaGga-lakSaNa
ནམ-མཁའ-ལ-སོགས-པ-འདུས-མ-བྱས	[MSA]asaMskRta ... AkAzAdika
ནམ-མཁའ-མཐའ-ཡས	[N]AkAzAnantya
ནམ-མཁའ-མཐའ-ཡས-སྐྱེ-མཆེད	[L]AkAzAnantyAyatana
ནམ-ཡང-མི-སྐྱེ-བ	[MSA]punar anutpattiH
ནམ-མཁར-གནས-པ	[C]AkAza-nizrita
ནམ-མཁར-འགྱུར-བ	[C]AkAzi-bhavati
ནམ-གྲོལ-ལམ	vimuktimArga
ནམ-མཁའི-ཆོས	[MSA]dharmAkAza
ནམ-མཁའི-ལྡིང	[C]garuDa
ནམ-མཁའི-མཛོད	[MSA]gagana-garbha
ནམ-མཁའི-དང-མཉམ-པ	[C]kha-samatA
ནམ-མཁའི-ཁམས-དེ-དང	[C]AkAza-dhAtu
ནན-ཏན	pratipatti; [C]pratipatti
ནན-ཏན-དུ-བྱེད-པ	[C]pratipadyate
ནན-ཏན-དུ-བྱ-བ	[C]pratipattavya (=pratipadyate)
ནང	adhyAtma. AdhyAtmika; [LCh,MSA]adhyAtma. AdhyAtmika; [MSA]adhyAtman; [MSA]adhyAtma. AdhyAtmika; [MSA]vivaraka; [C]madhya
ནང-དུ	[MSA]pratyAtmaM
ནང-གི	[C]Atmika; [C]adhyAtman
ནང-ལ	[C]abhyantara
ནང-རིག-པ	[MSA]adhyAtma-vidyA
ནང-ལ-རབ-ཏུ-གནས-པ	[MSA]adhyAtma-saMstha
ནང-རབ-ཏུ-དྭང-བ	adhyAtmasamprasAda
ནང-སྟོང-ཉིད	[C]adhyAtma-zUnyatA
ནང-སྟོང-པ-ཉིད	[C]AdhyAtmika-zUnyatA; [MV]adhyAtma-zUnyatA
ནང-དང-ཕྱི	[MSA]AdhyAtmika-bAhya
ནང-གི-གཟུགས	AdhyAtmika-rUpa
ནང-གི-འདུ-བྱེད-རྣམས-སྐད-ཅིག-མ-ཉིད	[MSA]AdhyAtmikAnAM saMskArANAM kSaNikatvaM
ནང-གི-རྣམ-པར-གཡེང-བ	[MV]adhyAtma-vikSepa
ནང-གི-སྐྱེ-མཆེད-དྲུག	[MSA]SaD-AdhyAtmika ... Ayatana
ནང-གི-སྐྱེ-མཆེད-རྣམས	[MV]AdhyAtmikAny AyatanAni
ནང-གི-བེམ-པོ	AdhyAtmika-kanthA
ནང-དུ-ཡང-དག-འཇོག-ལ	[C]pratisaMlAna
ནང-དུ-ཡང-དག-བཞག-པ	[C]pratisaMlayana [=kAya-Adi-vivekaH); [L]pratisaMlAna
ནང-དུ-ཡང-དག-པར-འཇོག-པ	[C]pratisaMlayana (=kAya-Adi-vivekaH); [L]pratisaMlAna
ནང-དུ-རབ-གནས	[MSA]adhyAtma-saMstha
ནང-དུ-འདུས-པར-བྱས-ནས	[C]antar-gata
ནང-དུ-གནས-པ	[MSA]adhyAtma-sthiti
ནང-ནུབ-ནང-ནུབ-ཅིང-རིམ-གྲོ-བྱ-བའི-དོན-དུ-འདོང-བར-བྱེད	[C]sAyaMprAtar-upasthAnAya-gacchati
ནས-བཟུང-སྟེ	[C]Arabhya; [C]upadAya (=adhikRtya)
ནེམ-ནུ	[C]kAGkSa
ནེམ-ནུར	[C]vimati; [C]kAGkSati; [C]kAGkSate; [C]kAGkSAyitva
ནེམ-ནུར-བགྱིད	[C]kAGkSati; [C] kAGkSate
ནེམ-ནུར-མེད	[C]nirvicikitsa
ནེམ-ནུར-མེད-པ-མི-མངའ-བ	[C]niHkAGkSa
ནེམ-ནུར-མི-བྱེད-ཅིང	[C]niSkAGkSan
