འབད-པ	compare: {རྩོལ་བ}, exertion; {བརྩོན་འགྲུས}, effort
ཀུན-གཞི-རྣམ-པར-ཤེས-པ	Comment: Laya means "basis"; it is derived from the Sanskrit verbal root li, which means "providing support or basis." A# is taken as meaning "all." VijJAna means "consciousness." The verbal root jJa means "know"; na is an ending that means "way" or "means" — the means of understanding; vi means "individually" or "in detail."\n CandrakIrti takes the term as referring to that which is to be minded or known in detail, that is to say, the emptiness; see MED, p. 617.
ཀྱང	Comment: Translations like "but" would come after the clause to which it is affixed; translations like "although" would come before the clause to which it is affixed.
ཀྱི	Comment: One of five genitive particles—gi, kyi, gyi, 'i, yi.
ཀྱིས	Comment: One of five instrumental particles—gis, kyis, gyis, 'is, yis. Also used adverbially.
ལ-འུར	SW added this record
ལག-ངར	SW added this record
ལམ-བདེན	one of the four truths (bden ba bzhi, catvAri satyAni)
ལམ-གྱི-བདེན	fourth of the four noble truths (bden pa bzhi, catvAri-satyAni)
ལམ-གྱི-བདེན-པ	fourth of the four noble truths (bden pa bzhi, catvAri-satyAni)
ལམ-མཆོག-འགྲོ	Comment: This is one of the eight smaller continents of Buddhist cosmology (gling phran brgyad) that, two each, are next to four large continents: In the center, is the monarch of mountains, ri rab (meru). The four continents and eight smaller continents are (1) shar lus 'phags po (videha), the eastern continent "land of [those with] superior/large bodies" with lus (deha) and lus 'phags (videha); (2) lho 'dzam bu gling (jambudvIpa), the southern continent "Jambu-tree land" with rnga yab (cAmara) and rnga yab gzhan (aparacAmara); (3) nub ba blang spyod (godanIya) the western continent "land of using cattle" with g.yo ldan (sAthA) and lam mchog 'gro (uttaramantriNa); (4) byang sgra mi snyan (kuru), the northern continent "land of unpleasant sound" with sgra mi snyan (kurava) and sgra mi snyan kyi zla (kaurava). Surrounding all of these is an outer rim of iron mountains.
ལྕ-བ	(PH) Clark's _The Quintessence Tantras_ (p.176) identifies this as "angelica archangelica; angelica dahurica; polygonatum odoratum" Add?
ལྕམ-པ	(PH) Clark's _The Quintessence Tantras_ (p.169) identifies this as "a type of Mallow: malva verticillata. Linn.: dalbergia lanceolaria" Add?
ལྕེ-ཤེས	one of the five divisions of sense consciousness (dnang shes); for others see: {དབང་ཤེས}
ལྕེ-ཤེས-ཀྱི-མྱོང-བྱ	definition of taste-source (ro'i skye mched)
ལྕེའི-རྣམ-པར-ཤེས-པ	See: {ལྕེ་ཤེས}
ལྕེའི-དབང-པོ	one of the five divisions of internal matter (nang gi bem po); for others see: {ནང་གི་བེམ་པོ}
ལྕི-བ	Check English. There was a period bet. heavy and teacher. (T)
ལྡན-མིན-འདུ-བྱེད	Comment: Examples of this include wide categories which cannot be tied down to being just matter or just consciousness, such as thing (dngos po), specifically characterized phenomenon (rang mtshan), that which is able to perform a function (don byed nus pa).
ལྡེམ-པོར-དགོངས-པ	Comment: dgongs pa (abhiprAyA) is often mistranslated as "intention." As Bel-den-chö-jay says:\n\n"Thought" (dgongs pa) is [posited] from the viewpoint of indicating the basis in [Buddha's] thought, "Thinking of this, [such and such] was said," and "intention" (ldem dgongs) is [posited] from the viewpoint of indicating purpose, "[Such and such] was said for this purpose." Since thought and intention are posited in different ways with respect to one non-literal sUtra, [a sUtra having an] intention and [a sUtra having a] thought must be asserted as mutually inclusive. The basis in [Buddha's] thought is just what the Teacher has set in [his] mind and is not relative to another, the trainee, and purpose definitely must rely on another, the trainee, since it is for sake of taking care of another. See Ann, dngos, 134.5.\n\nFour Intentions:\nIntending entry [into the teaching] (gzhug pa la ldem por dgongs pa, avatAranAbhisaMdhi)\nIntending the [three] characters (mtshan nyid la ldem por dgongs pa, lakSaNAbhisaMdhi)\nIntending an antidote (gnyen po la ldem por dgongs pa, pratipakSAbhisaMdhi)\nIntending translation (sbyor ba la ldem por dgongs pa/ bsgyur ba la ldem por dgongs pa, pariNAmAbhisaMdhi)\n\nFour Thoughts\nThinking of sameness (mnyam pa nyid la dgongs pa, samatAbhiprAya)\nThinking of another meaning (don gzhan la dgongs pa, arthAntarAbhiprAya)\nThinking of another time (dus gzhan la dgongs pa, kAlAntarAbhiprAya)\nThinking of a person's attitude (gang zag gi bsam pa la dgongs pa, pudgalAntarAbhiprAya)
ལྡོག	(T) added tenses
ལྡོག-ཁྱབ	one of the three modes (tshul gsum)
ལྡོག-པ-གཅིག	one of the two types of one type (rigs gcig); the other is: one substantial type (rdzas rigs gcig)
ལྡོག-པ-ཐ-དད	refers to two things with different actual names (dngos ming)
ལྡོག-པ-རིགས-གཅིག	one of the two types of one type (rigs gcig); the other is: one substantial type (rdzas rigs gcig)
ལྡོག-ཁྱབ-རྣལ-མ	one of the four types of pervasion/entailment (khyab pa); for others see: {ཁྱབ་པ}
ལྡོག-ཁྱབ-ཕྱིན-ཅི-ལོག	one of the four types of pervasion/entailment (khyab pa); for others see: {ཁྱབ་པ}
ལྡོག-ཆོས-ཕུང-སུམ-ཙམ-པོ-བ	one of the first three types of isolate phenomenon (ldog chos); for others see: ldog chos; examples are: generality of pot (bum pa'i spyi); generality of permanent phenomenon (rtag pa'i spyi); generality of consciousness (shes pa'i spyi)
ལེ-ལོ	laziness; Comment: This is one of the twenty secondary afflictions (nye nyon nyi shu, upakleza): (1) belligerence (khro ba, krodha); (2) resentment ('khon 'dzin, upanAha); (3) concealment ('chab pa, mrakSa); (4) spite ('tshig pa, pradAsa); (5) jealousy (IrSyA); (6) miserliness (mAtsarya); (7) deceit (sgyu, mAyA); (8) dissimulation (g.yo, zAThya); (9) haughtiness (rgyags pa, mada); (10) harmfulness (rnam par 'tshe ba, vihiMsA); (11) non-shame (ngo tsha med pa, AhrIkya); (12) non-embarrassment (khrel med, anapatrApya); (13) lethargy (rmugs pa, styAna); (14) excitement (rgod pa, auddhatya); (15) non-faith (ma dad pa, Azraddhya); (16) laziness (le lo, kausIdya); (17) non-conscientiousness (bag med pa, pramAda); (18) forgetfulness (brjed nges pa, muSita-smRtitA); (19) non-introspection (shes bzhin ma yin pa, asaMprajanya); (20) distraction (rnam par g/yeng pa, vikSepya).
ལེགས-སོ	this indicates approval of a statement or action
ལེགས-པའི-བློ-གྲོས	ninth of the ten Bodhisattva grounds; for others see: {བྱང་སེམས་འཕགས་པའི་ས}
ལེགས-སོ-ལེགས-སོ	this indicates approval of a statement or action
ལེགས-པར-ཕྱེ-བའི-ཆོས-འཁོར	the third of the three wheels of doctrine, according to BJ; the others are: the wheel of doctrine of the four truths (bden bzhi chos 'khor); and the wheel of doctrine of non-entityness (ngo no nyid med pa'i chos 'khor)
ལེགས-པར-རྣམ-པར-ཕྱེ-བའི-ཆོས-འཁོར	that is, the third wheel of doctrine, in which Buddha taught the seventh chapter of the SaMdhinirmocana-sUtra
ལེགས-གྲུབ-ཀྱི-རྒྱུད	Comment: This is the one of the four general Action Tantras:
ལེགས-སམ-སྙམ-སྟེ	this is a way for an author to express a personal opinion
ལེན-པའི-རྣམ-པར-ཤེས-པ	another name for the mind-basis-of-all (kun gzhi rnam par shes pa, Alaya-vijJAna)
ལྷ	one of the six types of ordinary beings; for others see: {སོ་སོའི་སྐྱེ་བོ}
ལྷ-དྲུག-གི-སྒོ-ནས-རང-ལྷར-བསྐྱེད-པ	see lha for the six deities
ལྷ-མ-ཡིན	the chief of the evil spirits, opponent of the gods, with whom (especially Indra) they wage constant war; they are defined as: "not devas", and "ugly", and "without wine"
ལྷ-མ-ཡིན-པའི-རྟེན-ཅན-གྱི-སོ-སོའི-སྐྱེ-བོ	one of the six types of ordinary beings; for others see: {སོ་སོའི་སྐྱེ་བོ}
ལྷ-དབང-བློ	p.n. of the author of the PramANavArttikapaJjikA
ལྷག-པའི-ལྷ	SW added this record
ལྷག-པའི-ང-རྒྱལ	exceeding pride; Comment: This is one of seven prides which NAgArjuna mentions in his Precious Garland, stanzas 407-412: pride of selfhood (bdag nyid nga rgyal), exceeding pride (lhag pa'i nga rgyal), pride beyond pride (nga rgyal las kyang nga rgyal), pride of thinking I (nga'o snyam pa'i nga rgyal), pride of conceit (mngon pa'i nga rgyal), erroneous pride (log pa'i nga rgyal), pride of inferiority (dman pa'i nga rgyal).
ལྷག-པར-མོས-པ	SW added this record
ལྷན-ཅིག-བྱུང-བའི-རྒྱུ	co-arisen cause; Comment: There are six types of causes: fruitional cause (rnam smin gyi rgyu), co-arisen cause (lhan cig byung ba'i rgyu), creative cause (byed rgyu), cause of similar lot (skal mnyam gyi rgyu), omnipresent cause (kun 'gro'i rgyu), and associational cause (mtshungs ldan gyi rgyu).
ལྷན-ཅིག-མི-གནས-འགལ	contradictory in the sense of not abiding together; Comment: This is one of two types of contradiction ('gal ba): mutually contradictory (phan tshun spang 'gal) such as white and non-white (dkar po dang dkar ma yin pa); and contradictory in the sense of not abiding together (lhan cig mi gnas 'gal) such as the two, antidote and object of abandonment (gnyen po dang spang bya gnyis).
ལྷན-ཅིག-དམིགས-ངེས	Comment: S#er-s#hül Ge-s#hay L#o-sang-pün-tsok says that the meaning of simultaneous observation can be taken either as simultaneous observation by valid cognition or as simultaneous production, abiding, and disintegration. It seems to me that the former is predominant.
ལྷན-སྐྱེས-ཀྱི-དྲི	one of the two types of odor; the other is: manufactured odor (sbyar byung di dri)
ལྷས-སྦྱིན	the Buddha's cousin, often portrayed as his adversary (T)
ལྷོ-འཛམ-བུ-གླིང	'dzam bu gling; Comment: In Buddhist cosmology there are four large continents, each of which has two smaller continents (gling phran brgyad) next to it: In the center, is the monarch of mountains, ri rab (meru). The four continents and eight smaller continents are (1) shar lus 'phags po (videha), the eastern continent "land of [those with] superior/large bodies" with lus (deha) and lus 'phags (videha); (2) lho 'dzam bu gling (jambudvIpa), the southern continent "Jambu-tree land" with rnga yab (cAmara) and rnga yab gzhan (aparacAmara); (3) nub ba blang spyod (godanIya) the western continent "land of using cattle" with g.yo ldan (sAthA) and lam mchog 'gro (uttaramantriNa); (4) byang sgra mi snyan (kuru), the northern continent "land of unpleasant sound" with sgra mi snyan (kurava) and sgra mi snyan kyi zla (kaurava). Surrounding all of these is an outer rim of iron mountains.
ལྷུན-གྲུབ	Comment: In the Great Completeness (rdzogs chen) in N#ying-ma, essential purity (ka dag) is paired with breakthrough (khregs chod; literally, "breaking through the hard") while spontaneity (lhun grub) is paired with leap-over (thod rgal) in ka dag khregs chod lhun grub thod rgal.
ལི-ཡུལ	get Skrit
ལྐོག-གྱུར	Comment: A definition from Awareness and Knowledge is: a phenomenon that limited beings must realize definitively in dependence on a sign (tshur mthong rnams kyis thog mar rtags la brten nas nges par rtogs dgos pa'i chos).
ལྔ-སྡེ-བཟང-པོ	Only four names are listed? (T)
ལོ-འདབ	SW added this record
ལོ-གསར-མེ-ཏོག	(PH) Clark's _The Quintessence Tantras_ (p.194) identifies mon sne as "the dark read 'New Year' flower (mon chenopodium)" Add? *Note: mon sne dmar po added with same content.
ལོག	Other examples: (1) bum pa ma yin pa las log pa = opposite from not being pot(TCT); (2) chu log pa sogs kyi tha snyad sbyar ba = the verbal convention of water reverting and so forth are also used(TGP 47)
ལོག-ཤེས	one of the seven divisions of knowledge and awareness (blo rig); for others see: {བློ་རིག}
ལོག-པའི-ཤེས-པ	see: {ལོག་ཤེས}
ལོག-པའི-ང-རྒྱལ	erroneous pride; Comment: This is one of seven prides which NAgArjuna mentions in his Precious Garland, stanzas 407-412: pride of selfhood (bdag nyid nga rgyal), exceeding pride (lhag pa'i nga rgyal), pride beyond pride (nga rgyal las kyang nga rgyal), pride of thinking I (nga'o snyam pa'i nga rgyal), pride of conceit (mngon pa'i nga rgyal), erroneous pride (log pa'i nga rgyal), pride of inferiority (dman pa'i nga rgyal).
ལོག-པའི-ཀུན-རྫོབ	Comment: From within objects and subjects, the translation for objects is "unreal conventionality"; for subjects it is "incorrect conventionality."
ལོག-པའི-ཀུན-རྫོབ-བདེན-པ	Comment: From within objects and subjects, the translation for objects is "unreal conventional truth"; for subjects it is "incorrect conventional truth."
ལོངས-སྐུ	one of the three main bodies of a Buddha; the others are: Form Body (gzugs sku, rUpa-kAya); and Truth Body (chos sku, dharma-kAya)
ལྟ-བ	Comment: This is often afflicted view, one of the six root afflictions (rtsa nyon, mUlakleza): desire ('dod chogs, rAga); (2) anger (khong khro, pratigha); (3) pride (nga rgyal, mAna); (4) ignorance (ma rig pa, avidyA); (5) doubt (the tshom, vicikitsA); (6) afflicted view (lta ba nyon mongs can, kliSTa-dRSTi).
ལྟ-བ-ཉོན-མོངས-ཅན	afflicted view; Comment: This is one of the six root afflictions (rtsa nyon, mUlakleza): desire ('dod chogs, rAga); (2) anger (khong khro, pratigha); (3) pride (nga rgyal, mAna); (4) ignorance (ma rig pa, avidyA); (5) doubt (the tshom, vicikitsA); (6) afflicted view (lta ba nyon mongs can, kliSTa-dRSTi).
ལྟ-བ-དྲང-པོར	Should entry be drang po ? (T)
ལྟེང-ཀ-དང-མཚོ-དང	How does lteng ka differ from mtsho? (T)
ལྟོ-ལྡིར-ཞབས-ཞུམ-ཆུ-སྐྱོར-གྱི-དོན-བྱེད-ནུས-པ-བུམ-པ-ཡིན-པར-མི-ཤེས-པའི-སྐྱེས-བུའི-རྒྱུད-ཀྱི-བུམ-པ-ཞེས-པའི-སྒྲ-ཙམ-ལ-བརྟེན-ནས-སྐྱེས-བུའི-བུམ-འཛིན-རྟོག-པ	Comment: This is an illustration of a conceptual consciousness apprehending only a sound-generality (sgra spyi kho na 'dzin pa'i rtog pa).
ལྟོ-ལྡིར-ཞབས-ཤུམ-ཆུ-སྐྱོར-གྱི-དོན-བྱེད-ནུས-པ	definition of pot (bum pa)
ལྟུང-བའི-རྩ-བ	See: {རྩ་བའི་ལྟུང་བ}
ལུང-དཔོག-པར-བྱ	Entry originally said: lungd pog ... (T)
ལུས	Comment: This is also one of the eight smaller continents of Buddhist cosmology (gling phran brgyad) that, two each, are next to four large continents: In the center, is the monarch of mountains, ri rab (meru). The four continents and eight smaller continents are (1) shar lus 'phags po (videha), the eastern continent "land of [those with] superior/large bodies" with lus (deha) and lus 'phags (videha); (2) lho 'dzam bu gling (jambudvIpa), the southern continent "Jambu-tree land" with rnga yab (cAmara) and rnga yab gzhan (aparacAmara); (3) nub ba blang spyod (godanIya) the western continent "land of using cattle" with g.yo ldan (sAthA) and lam mchog 'gro (uttaramantriNa); (4) byang sgra mi snyan (kuru), the northern continent "land of unpleasant sound" with sgra mi snyan (kurava) and sgra mi snyan kyi zla (kaurava). Surrounding all of these is an outer rim of iron mountains.
ལུས-འཕགས	videha; Comment: This is one of the eight smaller continents of Buddhist cosmology (gling phran brgyad) that, two each, are next to four large continents: In the center, is the monarch of mountains, ri rab (meru). The four continents and eight smaller continents are (1) shar lus 'phags po (videha), the eastern continent "land of [those with] superior/large bodies" with lus (deha) and lus 'phags (videha); (2) lho 'dzam bu gling (jambudvIpa), the southern continent "Jambu-tree land" with rnga yab (cAmara) and rnga yab gzhan (aparacAmara); (3) nub ba blang spyod (godanIya) the western continent "land of using cattle" with g.yo ldan (sAthA) and lam mchog 'gro (uttaramantriNa); (4) byang sgra mi snyan (kuru), the northern continent "land of unpleasant sound" with sgra mi snyan (kurava) and sgra mi snyan kyi zla (kaurava). Surrounding all of these is an outer rim of iron mountains.
ལུས-དབེན	physical isolation; Comment: This is the first of the six stages of the completion stage in the GuhyasamAja system of Highest Yoga Tanta: physical isolation (lus dben), verbal isolation (ngag dben), mental isolation (sems dben), illusory body (sgyus lus), clear light ('od gsal), union (zung 'jug).
ལུས-སྒྲིབ	one of the two types of assumptions of bad states (gnas ngan len gyis 'ching ba, dauSTulya-bandhana); the other is: obstructions of speech (ngag sgrib, vAk-AvaraNa)
ལུས-ཤེས	one of the five sense consciousnesses; the others correspond to the other senses; see: {དབང་ཤེས}
ལུས-ཀྱི-དབང-པོ	one of the five types of sense powers; the others correspond to the other senses; see: {དབང་པོ}
ལུས-འཕགས-པོ	Comment: In Buddhist cosmology there are four large continents, each of which has two smaller continents (gling phran brgyad) next to it: In the center, is the monarch of mountains, ri rab (meru). The four continents and eight smaller continents are (1) shar lus 'phags po (videha), the eastern continent "land of [those with] superior/large bodies" with lus (deha) and lus 'phags (videha); (2) lho 'dzam bu gling (jambudvIpa), the southern continent "Jambu-tree land" with rnga yab (cAmara) and rnga yab gzhan (aparacAmara); (3) nub ba blang spyod (godanIya) the western continent "land of using cattle" with g.yo ldan (sAthA) and lam mchog 'gro (uttaramantriNa); (4) byang sgra mi snyan (kuru), the northern continent "land of unpleasant sound" with sgra mi snyan (kurava) and sgra mi snyan kyi zla (kaurava). Surrounding all of these is an outer rim of iron mountains.
ལུས-མེད-བདག-པོ	Bodiless Lord; Comment: the God of Desire ('dod lha, kAmadeva), the demonic Lord of Love (dga' rab dbang phyug). According to Gung-tang, he shot his five arrows — which cause arrogance, dullness, thorough obscuration, fainting, and mindlessness while Maheshvara was dwelling in asceticism in union with the goddess Uma, thereby causing Maheshvara to fall from his practice. Understanding that this was done by a demon, Maheshvara angered and emitted fire from his third eye of fire — the other two being sun and moon — burning away the body of the Sinful Demon (bdud sdig can, an epithet of the God of Desire), who thereby came to be called the "Bodiless Lord."
ལུས-ཤེས-ཀྱི-རེག-བྱ	Comment: This is the definition of tangible object sense-sphere (reg bya'i skye mched).
མ-པང-བུ-འཇུག	Comment: Metaphor used in the N#ying-ma Order for an accomplished yogi's experience of fundamental mind.
མ-རིག-པ	Comment: This is one of the six root afflictions (rtsa nyon, mUlakleza): desire ('dod chogs, rAga); (2) anger (khong khro, pratigha); (3) pride (nga rgyal, mAna); (4) ignorance (ma rig pa, avidyA); (5) doubt (the tshom, vicikitsA); (6) afflicted view (lta ba nyon mongs can, kliSTa-dRSTi).
མ-བྱས-པ	Comment: See ma byas pa'i chos.
མ-བྱས-པའི-ཆོས	Comment: Illustrations are (1) object of knowledge (shes bya); (2) the two: permanent and functioning thing (rtag dngos gnyis); (3) uncompounded space ('dus ma byas kyi nam mkha').
མ-ལུས-ཤིང-ལུས-པ-མེད-པ	get Eng and ex from Ship [STTS]
མ-ལུས-ཤིང-ལུས-པ-མེད-པར	get Eng and ex from Ship/ STTS
མ-ལུས-པར-ཁེགས-པ	change Eng. to "without remainder"? (SW)
མ-རུངས-པ	get ex from Ship
མ-དད-པ	Azraddhya; non-faith; Comment: This is one of the twenty secondary afflictions (nye nyon nyi shu, upakleza): (1) belligerence (khro ba, krodha); (2) resentment ('khon 'dzin, upanAha); (3) concealment ('chab pa, mrakSa); (4) spite ('tshig pa, pradAsa); (5) jealousy (IrSyA); (6) miserliness (mAtsarya); (7) deceit (sgyu, mAyA); (8) dissimulation (g.yo, zAThya); (9) haughtiness (rgyags pa, mada); (10) harmfulness (rnam par 'tshe ba, vihiMsA); (11) non-shame (ngo tsha med pa, AhrIkya); (12) non-embarrassment (khrel med, anapatrApya); (13) lethargy (rmugs pa, styAna); (14) excitement (rgod pa, auddhatya); (15) Azraddhya (ma dad pa, Azraddhya); (16) laziness (le lo, kausIdya); (17) non-conscientiousness (bag med pa, pramAda); (18) forgetfulness (brjed nges pa, muSita-smRtitA); (19) non-introspection (shes bzhin ma yin pa, asaMprajanya); (20) distraction (rnam par g/yeng pa, vikSepya).
མ-ཡིན-དགག	Illustration: mountainless plain (ri med pa'i thang)\nEnglish for Divisions?? (T) too many to fit (PH)Comment: The division of negatives, or negations, into affirming and non-affirming, or implicative and non-implicative, is traced to MimAMsA injunctions to refrain from activities that either imply another activity in its place or not. For example, a "mountainless plain" is an affirming negative that explicitly suggests or indicates a positive phenomenon (a plain) in place of its object of negation (mountains). Another type of affirming negative is one that by context suggests a positive phenomenon in place of its object of negation; for instance, being told that ShAkyamuni was either a brahmin or kSatriya (member of the royal or warrior class) and was not a brahmin suggests, by context, that he was of the royal caste. A positive phenomenon — being a kSatriya — is suggested in place of the object of negation — being a brahmin — in this context. See also "non-affirming negation" (med dgag).
མ-ཡིན-དགག-དང-མེད-དགག	the two divisions of negative (dgag pa, pratiSedha)
མ-ཡིན-དགག-གི-གཞན-སེལ	Comment: One of the two types of other-eliminators (gzhan sel); the other is other-eliminator that is a non-affirming negative (med dgag gi gzhan sel).
མ-ཡིན-དགག-གི-གཞན-སེལ-ཡང-ཡིན-དོན-དམ-པར-དོན-བྱེད-ནུས-པ-ཡང-ཡིན-པའི-གཞི-མཐུན-པར-དམིགས-པ	definition of factual other-eliminator that is a specifically characterized phenomenon (don rang mtshan gyi gzhan sel)
མ-ཟིན-པའི-འབྱུང-བ-ལས-གྱུར-པའི-སྒྲ	one of the two divisions of sound-source (sgra'i skye mched, zabdAyatana); the other is: sound arisen from elements conjoined with consciousness (zin pa'i 'byung ba las gyur pa'i sgra, upatta-mahAbhUta-hetuka-zabda)
མ-ཆགས-པ	non-attachment; Comment: This is one of the eleven virtuous mental factors (sems byung dge ba, kuzalacaitta): (1) faith (dad pa, zraddhA); (2) shame (ngo tsha shes pa, hrI); (3) embarrassment (khrel yod pa, apatrApya); (4) non-attachment (ma chags pa, alobha); (5) non-hatred (zhe sdang med pa, adveSa); (6) non-ignorance (gti mug med pa, amoha); (7) effort (brtson 'grus, vIrya); (8) pliancy (shin tu sbyangs pa, prasrabdhi); (9) conscientiousness (bag yod pa, apramAda); (10) equanimity (btang snyoms, upekSA); (11) non-harmfulness (rnam par mi 'tshe ba, avihiMsA). Non-attachment is one of the three virtuous roots (dge ba'i rtsa ba, kuzalamUla) are: (1) non-attachment (ma chags pa, alobha); (2) non-hatred (zhe sdang med pa, adveSa); non-ignorance (gti mug med pa, amoha).
མ-སྐྱེས-པའི-ཆོས	definition of non-produced/created phenomenon (ma byas pa'i chos)
མཎ-ཌ-ལ	Check entries transliteration (T)
མན-ཆད	see also: yan chad, ... and below
མན-ངག-གི-རྒྱུད	Comment: The third of the Four [Medical] Tantras (rgyud bzhi) is an extensive technical textbook that identifies the different types of disorders--their causation (etiology), nature (pathology), and therapy. It presents each of the major disorders individually and in great detail--discussing their causes, conditions, and symptoms as well as the methods of treatment to be used.
མང-བ	Check entry. It's not supposed to be mnga' ? (T)
མང-པོ	many; compare: {དུ་མ}, many; abundance
མང-པོས-བཀུར-བའི-སྡེ-པ	one of the eighteen VaibhASika sub-schools (T)
མང-བཀུར-བ	one of the eighteen VaibhASika sub-schools (T)
མང-སྟོན-པ	one of the eighteen VaibhASika sub-schools (T)
མར	see: {མར་ཤེས}
མཆེ-པའི-སྡེ	Comment: Also known as DaMSTrAsena, DiSTasena, DaMSTasena, DaMSTrAsena, DaMSTasyana, and so forth.
མཆེར-པ	SW added this entry. Get example from Ship? TDz 851.2 & Das 436.2
མཆིས	Check tenses (T)
མཆིས-པ	Check tenses (T)
མཆོད-པའི-ཆོ-ག	SW added "rite of offering". "Rules of offering" sounds Vedic-where is it from?
མདོ-དང-ཆོས-མངོན-འདུལ-བ	these are the three baskets (tripiTaka) of the Buddhist canon
མདོ-སྡེ-པ	one of the four main Buddhist tenet systems, according to the Ge-luk-ba school
མདོ-སྡེ-དང-འདུལ-བ-དང-ཆོས-མངོན-པ	these are the three baskets (tripiTaka) of the Buddhist canon
མདོ-སྡེ-ལས-བརྒྱ-བ	karmazataka; (SW) put Engl title of text in itals? Change "Many Kinds" to "Hundreds"?; (PH) Added Sanskrit (karmazataka) and catalog numbers (Toh. 340; P.1007)
མདོ-སྡེ-དགོངས-འགྲེལ	Comment: Title of a third-wheel sUtra considered to be definitive by the Mind-Only School.
མདོག-ཏུ-རུང-བ	definition of color (kha dog)
མཛོད	can refer to Vasubandhu's Treasury of Knowledge (abhidharma-koza)
མཛོད-སྤུ	Comment: one of the x marks/ signs of a Buddha.add comment to "smin mtshams kyi mdzod spu'i phrag"
མཛོད-སྤུས	mdzod spu; Comment: one of the x marks/ signs of a Buddhack sp. of "spus"; add comment to "smin mtshams kyi mdzod spu'i phrag"
མཛུབ-ཆུང	get ex from Dor
མེ	one of the four tangible objects which are elements ('byung bar gyur pa'i reg bya); the others are: earth (sa, pRthivI); water (chu, Ap); wind (rlung vAyu)
མེ-འབར-བའི-འོབས	Add Engl. "pit of blazing fire"? Sanskrit of "'obs" is "khadA": hut (SW)
མེད-དགག	one of the two divisions of negation (dgag pa); the other is: affirming negative (ma yin dgag, paryudAsa-pratiSedha)Comment: The division of negatives, or negations, into affirming and non-affirming, or implicative and non-implicative, is traced to MimAMsA injunctions to refrain from activities that either imply another activity in its place or not. For example, the non-existence of the horns of a rabbit is expressed by the sentence, "The horns of a rabbit do not exist," and this does not suggest anything positive in place of the horns of a rabbit. Though it can suggest another non-affirming negative such as the non-existence of the beauty of the horns of a rabbit, it does not suggest any positive phenomenon in place of its object of negation. In the same way, an emptiness is a non-affirming negative such that the term expressing it does not suggest in place of the negation of its own object of negation another, positive phenomenon. See also "affirming negation" (ma yin dgag).
མེད-དགག-གི-གཞན-སེལ	one of the two types of other-eliminator (gzhan sel); the other is other-eliminator that is an affirming negative (ma yin dgag gi gzhan sel)
མེད-པ-གཞལ-སྣང-ཅན-བཟུང-ཡུལ-དུ-བྱེད-པའི-རྟོག-མེད-འཁྲུལ-ཤེས	one of the three divisions of knowledge and awareness (blo rig) according to the three-fold division
མི-རྟག	see: {མི་རྟག་པའི་ཆོས}
མི-ཟད	Example had "ma zad" (T)
མི-ཕམ-བཤེས-གཉེན	p.n. of the author of the Commentary on the Precious Garland (ratnAvalI-TIkA, rin po che'i phreng ba'i rgya cher bshad pa), P. 5659, vol. 129
མི-འདྲ-བ	Comment: (GD:119) One of DharmakIrti's four criteria for specifically characterized phenomena. The others are: (1) having the power to produce effects (don byed nus pa), (3) not directly denotable by language (sgra'i yul ma yin), (4) apprehensible without reliance on other factors (rgyu mtshan ?????????)
མི-འཇིགས-པ-སྦྱིན-པ	ck Skrit
མི-སློབ-ལམ	path of no more learning; Comment: This is one of the five paths (lam): path of accumulation (tshogs lam); path of preparation (sbyor lam); path of seeing (mthong lam); path of meditation (sgom lam); and path of no more learning (mi slob lam).
མི-རྟག-པ	for synonyms and examples see: {བྱས་པ}
མི-དགེ-བ	example: srog gcod pa, killing
མི-མཐུན-ཕྱོགས	see: {མི་མཐུན་པའི་ཕྱོགས}; {མི་མཐུན་པའི་ཕྱོགས་ཀྱི་གཉེན་པོ}
མི-མཐུན-པའི-ཕྱོགས	see: {མི་མཐུན་པའི་ཕྱོགས་ཀྱི་གཉེན་པོ}
མི-མཐུན-པའི-ཕྱོགས-ཀྱི-གཉེན-པོ	These are: (1) the antidotes of the basis (AdhAra-pratipakSa); (2) the antidotes of removal (dUrIbhAva-pratipakSa); (3) the antidote of abandonment (prahANa-pratipakSa); and the antidote of unbelief (vidhUSaNA-pratipakSa)
མི-མཐུན-པའི-ཕྱོགས-ཀྱི-གཉེན-པོ-ཡིན-པ	see previous entry
མི-འཇིག-པ	definition of uncaused phenomenon ('dus ma byas kyi chos)
མི-འཇིག-པའི-ཆོས	definition of uncaused phenomenon ('dus ma byas pa'i chos)
མི-གཡོ-བ	name for the eighth of the ten Bodhisattva grounds (sa, bhUmi); for others see: byang sems 'phags pa'i sa. Acala is a wrathful deity closely associated with Performance Tantra and the VairocanAbhisambodhi Tantra.
མིའི-རྟེན-ཅན-གྱི-སོ-སོའི-སྐྱེ-བོ	one of the six divisions of ordinary beings (so so'i skye bo, pRthagjana); for others see: {སེཨེ་དམྱལ་བའི་རྟེན་ཅན་གྱི་སོ་སོའི་སྐྱེ་བོ}
མིག-དབང	see: {མིག་གི་དབང་པོ}
མིག-ཤེས	one of the five divisions of sense consciousness (dbang shes); the others are: ear consciousness (rna shes); nose consciousness (sna shes); tongue consciousness (lce shes); body consciousness (lus shes)
མིག-གི-དབང-པོ	one of the five divisions of internal matter (nang gi bem po); the others are: ear sense power (rna ba'i dbang po); nose sense power (sna'i dbang po); tongue sense power (lce'i dbang po); body sense power (lus kyi dbang po)
