ངན-སོང-སྤོང	Abandoner of Unfavorable Rebirths
སེང-གེ-སེར-སྐྱ-དམར-སེར-པོ	Haripiṅgalapiṅgala
སེང-གེའི-སེང-གེ	 Harisiṃha|Harisiṃha 
འཕྲོག-མ	 Hārītī| Hārītī |Hārītī 
སེང-གེ-བཟང-པོ	 Hari­bhadra|Hari­bhadra 
གནོད-སེམས	 Harmful intention | Ill will | Malice| Malice |Harmful intention 
དོན-མཐུན-པ	Harmony
ཚིག-ངན-པ	Harsh word
དབོ	 Hastā|Hastā 
ལག-པ	 Hasta|Hasta 
ཧསྟི-ན-པུ-ར	 Hastināpura|Hastināpura 
ཞེ-སྡང	Hatred
ཞེ-སྡང-རྡོ-རྗེ-མ	 Hatred Vajrī|Hatred Vajrī 
ཧཱ-ཌི	 Hatriṇī|Hatriṇī 
འདྲེ-བ-མེད-པ	Have a modality of disassociation
མ-འོངས-པའི-ཚུལ-ཅན	Have a modality that does not arise
བླང-དུ-མེད-པ-དང-དོར-དུ-མེད-པའི-ཚུལ-ཅན	Have a modality that is neither to be adopted nor to be forsaken
ཁྱད-དུ-གསོད	Have contempt
ནམ-མཁའི-ཚུལ-ཅན	 Have the modality of space|Have the modality of space 
སྔོན-དུ-འགྲོ	 Precede|Having primacy 
རྟ-མགྲིན	 Hayagrīva|Hayagrīva 
མི-འཇིགས-པ-སྦྱིན-པ	He Who Gives Freedom from Fear
སེམས-ཅན-ཐམས-ཅད-སྡུག-པར-ཐོང-བ	He Who Looks at All Beings with Love
བློ-གྲོས-རྣམ-དག-པ	 He Whose Intelligence Has Been Completely Purified| He Whose Intelligence Has Been Completely Purified |He Whose Intelligence Has Been Completely Purified 
རིན-ཆེན-བཀོད-པའི-རྒྱ-མཚོ-བློ-གྲོས	 He whose Intelligence is Like an Ocean of Arrayed Jewels|He whose Intelligence is Like an Ocean of Arrayed Jewels 
དབུ-གདུགས-འདྲ-བ	 Head is [large], similar to a parasol|Head is [large], similar to a parasol 
སྤུངས	Heap
དཀོན-མཆོག-བརྩེགས-པ	 Heap of Jewels| Heap of Jewels |Heap of Jewels 
ཤིན-ཏུ-རྒྱས-པའི-སྡེ-ཀོན-མཆོག-བརྩེགས-པའི-མདོ	 Vaipulya sūtras of the Heap of Jewels| Vaipulya sūtras of the Heap of Jewels |Vaipulya sūtras of the Heap of Jewels 
ཐོས-པ	 Learning | Study|Heard 
ཐུགས-ཀར-དཔལ-གྱི-བེའུས-ལེགས-པར-བརྒྱན-པ	 Heart is excellently adorned with the śrīvatsa motif| Heart is excellently adorned with the śrīvatsa motif |Heart is excellently adorned with the śrīvatsa motif 
སྙིང-པོའི-སྔགས	 Heart mantra|Heart mantra 
རབ-འཐབ-བྲལ	 Heaven Entirely Free of Strife| Suyāma |Heaven Entirely Free of Strife 
འཐབ-བྲལ	 Heaven Free from Strife | Heaven Free of Strife| Heaven Free of Strife | Yāma |Heaven Free from Strife 
འཐབ-བྲལ-རབ	Heaven Fully Free from Strife
སེམས-ཅན-འདུ-ཤེས-མེད-པ	Heaven of Concept-Free Beings
བསོད-ནམས-སྐྱེས	 Heaven of Increased Merit|Heaven of Increased Merit 
དགའ-ལྡན	 Heaven of Joy | Joyous Heaven| Joyous Heaven | Tuṣita |Heaven of Joy 
གཞན-འཕྲུལ-དབང-བྱེད-པ	 Heaven of Making Use of Others’ Emanations| Heaven of Making Use of Others’ Emanations |Heaven of Making Use of Others’ Emanations 
དགེ-རྒྱས	 Heaven of Perfected Virtue | Śubhakṛtsna | Śubha­kṛtsna| Śubha­kṛtsna |Heaven of Perfected Virtue 
སུམ-ཅུ-རྩ-གསུམ	 Heaven of the Thirty-Three | Thirty-Three| Thirty-Three | Trāyastriṃśa |Heaven of the Thirty-Three 
སུམ-ཅུ-རྩ-གསུམ-པ	 Heaven of the Thirty-three | Trayas­triṃśa| Trayas­triṃśa | Trāyastriṃśa |Heaven of the Thirty-three 
མཐོ-རིས	 Heavenly rebirth| Higher realms |Heavenly rebirth 
དམྱལ-བ	Hells
དེད-དཔོན	 Helmsman | Sārthavāha | Sārtha­vāha| Sārtha­vāha |Helmsman 
གསེར-མདོག	 Hemavarṇa|Hemavarṇa 
གསེར-གྱི-དྲ-བས-བརྒྱན-པ	 Hema­jālālaṃkṛta|Hema­jālālaṃkṛta 
གསེར-གྱི-དྲ-བས-ཁེབས-པ	 Hema­jāla­pratichannā|Hema­jāla­pratichannā 
གཞང-འབྲུམ	Hemorrhoids
ཤ-ནའི-རས	Hempen cloth
གཞན-ལས-བརྒལ-བ	Heretical refutation
མཚན-གཉིས-པ	Hermaphrodite
ཟླ-བ-ཕྱེད-པའི-མ-ནིང	 Sequential hermaphrodite|Sequential hermaphrodite 
དྲང-སྲོང	 Rishi | Sage|Hermit 
དཔའ-བོ	 Spiritual Hero | Virile One|Hero 
དཔའ-བོ-གཅིག-པོ	 Sole hero| Sole hero |Sole hero 
དཔའ-བོ-གཅིག-པ	 Sole Hero| Sole Hero |Sole Hero 
ཧེ-རུ-ཀ	 Heruka| Heruka |Heruka 
ཐེ-ཚོམ	Hesitation
སྠཱ-ལ-ཀ	Hibiscus
སྐྱིགས-བུ	Hiccoughs
གཞན-འཕྲུལ-དབང-བྱེད-ཀྱི-ལྷ	Highest deities
དྲང-སྲོང-ལྷུང-བ	 Hill of the Fallen Sages | Ṛṣipatana| Ṛṣipatana |Hill of the Fallen Sages 
ཁ-བ-ཅན-གྱི-རི	 Himagiri|Himagiri 
གངས-རི	 Himavat| Himavat |Himavat 
གངས-ཀྱི-རི	 Himavat|Himavat 
གངས-ཅན	 Himavat|Himavat 
ཧི-མ-ཀ-ལ	 Himavatī|Himavatī 
སྒྲིབ-པ	 Obscuration| Obscuration |Hindrances 
གསེར-སྦྱིན-མ	 Hiraṇyadā|Hiraṇyadā 
དེ-ལྟ-བྱུང	 Histories|Histories 
པུ-ནར-པ	Hogweed
རི-བོང-འཛིན-པ	Holder of the hare
མི-རྟག-པ-ལ-རྟག-པར-འཛིན-པ	 Holding impermanence to be permanence|Holding impermanence to be permanence 
བདག-མེད-པ-ལ-བདག-ཏུ-འཛིན-པ	 Holding non-self to be self| Holding non-self to be self |Holding non-self to be self 
གསོབ	 Insignificant|Hollow 
ཚངས-སྤྱོད	 Holy life|Holy life 
སྦྲང-རྩི	Honey
བསྟི-སྟང-དུ-བྱེད-པ	Honor
རྭ	Horn
གླང-གི-རྭ	 Ox horn|Ox horn 
ཁང-པ	 Mount Bhavana|House 
ཁྱིམ-བདག	Householder
ཁྱིམ-བདག-གི-རིགས	 Householder class|Householder class 
ཁྲེལ-ཡོད-པའི-ལྷ	 Hṛīdeva|Hṛīdeva 
སྣུམ-ཆེན-པོ	Human fat
ཀ-པ-ཆེན-པོ	Human skull
ཤེད-ལས-སྐྱེས-པ	 Humankind|Humankind 
སྒུར-པོ	Hunchback
བྱེ-བ-ཁྲག-ཁྲིག-འབུམ	 Hundred billion trillion|Hundred billion trillion 
འབྲས-ཐུག-པོ-ཆེ	 Husked rice|Husked rice 
ལོ-མའི-སྤྱིལ-བུ	Hut of leaves
འཆབ-པ	 Hypocrisy|Hypocrisy 
བདག	 Self| Self | “I” |“I” 
གཎྜྰི	 Wooden beam| Wooden beam |Wooden beam 
གཎ-ཌྰི	 Wooden beam| Wooden beam |Wooden beam 
བདག-ཏུ-འདུ-ཤེས	 Notion of self| Notion of self |Notion of self 
ང-ཟག-པ-ཟད-པ-དོ	 I claim I am one whose contaminants have ceased|I claim I am one whose contaminants have ceased 
བདག-སྤོབས-ལགས	 I am inspired to say| I am inspired to say |I am inspired to say 
ཡོངས-སུ-རྟོག-པ	Idea
རྟོག-པ-དང-བཅས-དཔྱོད-པ-དང-བཅས-པའི-ཏིང-ངེ-འཛིན	 Meditative stability endowed with ideation and scrutiny| Meditative stability endowed with ideation and scrutiny |Meditative stability endowed with ideation and scrutiny 
རྟོག-པ-མེད-ལ-དཔྱོད-པ-ཙམ-གྱི-ཏིང-ངེ-འཛིན	 Meditative stability free from both ideation and scrutiny| Meditative stability free from both ideation and scrutiny | Meditative stability free from ideation and merely endowed with scrutiny |Meditative stability free from ideation and merely endowed with scrutiny 
རང-བཞིན	 Inherent existence | Nature | Prakṛti| Prakṛti |Identity 
གང-ཟག	 Individual | Person | Personal identity|Personal identity 
གང-ཟག-ལ-བདག-མེད-པར-ཕྱོགས-གཅིག-ཤེས-པ	 Partial understanding of selflessness with respect to personal identity| Partial understanding of selflessness with respect to personal identity |Partial understanding of selflessness with respect to personal identity 
མ-རིག-མ	Ignorance
བུ-རམ-ཤིང-པ	 Ikṣvāku|Ikṣvāku 
བུ-རམ-ཤིང	 Ikṣvāku|Ikṣvāku 
རབ-ཆགས-ལྷ-མོ	 Ilādevī|Ilādevī 
ཁ-དོག-ངན-པ	Ill-colored cloth
སྣང-བ-བྱེད-པ	 Illuminator|Illuminating 
རྣམ-པར-སྣང-བ	 Illumination|Illumination 
ཀུན-ཏུ-སྣང-བ	 Samanta­prabhāsa | Total Illumination|Total Illumination 
རབ-ཏུ-སྣང-བའི-འཇིག-རྟེན	 World of Supreme Illumination|World of Supreme Illumination 
འཇིག-རྟེན-ཐམས-ཅད-ལ-འོད-བྱེད-པ	 Illuminator of All Worlds|Illuminator of All Worlds 
སྒྱུ-མ	 Magical display|Illusion 
བརྟགས-པ	Imagined
རྣམ-པར-སྤོང-བ	 Imbued with renunciation|Imbued with renunciation 
སྒྲ-བསྒྲགས-པ-ལ-འཇུག-པ	Imbued with Resonance
སྡུག-བསྔལ-བ	 Imbued with suffering| Suffering |Imbued with suffering 
འོད-དྲི-མ-མེད-པ	 Immaculate Light | Taintless Light | Vimalaprabha| Vimalaprabha |Immaculate Light 
དྲི-མ-མེད-པར-གྲགས-པའི-རྒྱལ-པོ	Immaculately Renowned King
ཚུ-རོལ	Immanent
གཟུགས-མེད	Immaterial
སྐྱོན	Immaturity
ཨ-ས-ཧ	Impatient One
འགྲིབ-པ-མེད-པ	Imperishable
མི-རྟག-པ-ཉིད	Impermanence
མི-རྟག-པ	 Impermanent| Impermanent |Impermanent 
མི-རྟག-པའི-འདུ-ཤེས	 Perception of impermanence| Perception of impermanence |Perception of impermanence 
འཁྲུག-པ-མེད-པ	Imperturbability
གླགས	Impinge upon (to)
རྐུ-ཐབས-སུ-གནས-པ	Impostor
ཕྱིར-ཞིང	In addition
སྐོམ-གྱི-གཙང-སྦྱོར	In charge of providing clean drinking water
རྗེས-སུ-འཐུན-པ	In conformity with
ཐམས-ཅད-ཀྱི-ཐམས-ཅད-རྣམ-པ-ཐམས-ཅད-ཀྱི-ཐམས-ཅད-དུ	In each and every way
ཐ-དད-དུ-གནས-པ	 Vinirbhoga| Vinirbhoga |In segregation 
ལྷན-ཅིག-ཏུ-གནས	In synergy with
བྱ-བ-མེད-པ	Inaction
བྱ-བ-མ-ཡིན-པ-སྨྲ-བ	 Who propound inaction|Who propound inaction 
གཞན-མ-ཡིན-པ-དེ-བཞིན-ཉིད	 Inalienable real nature| Inalienable real nature |Inalienable real nature 
ཆོས-བེམས-པ-ཉིད	 Inanimate nature of phenomena| Inanimate nature of phenomena |Inanimate nature of phenomena 
མངོན-པར-བསྔགས	Incant
གཟུགས-ཅན-གྱི-ལུས	 Physical incarnation|Physical incarnation 
འདུ-བ	Income
བསམ-གྱིས-མི-ཁྱབ-པ	 Inconceivable|Inconceivability 
རྣམ-པར-ཐར-པ-བསམ-གྱིས-མི-ཁྱབ-པ	 Inconceivable liberation| Inconceivable liberation |Inconceivable liberation 
བསམ-གྱིས-མི-ཁྱབ-པའི-དབྱིངས	 Inconceivable expanse|Inconceivable expanse 
ཞབས-ལོང-མོའི-ཚིགས-མི-མངོན-པ	Inconspicuous ankle bones
ཕྱིན-ཅི-མ-ལོག-པ-དེ-བཞིན-ཉིད	 Incontrovertible real nature| Incontrovertible real nature |Incontrovertible real nature 
འཕེལ-བ	Increase
མི-སྐྱོ-བ	Indefatigable
རྡོ-རྗེའི-དཀྱིལ-འཁོར	 Indestructible Maṇḍala|Indestructible Maṇḍala 
སྡོམ	Index
ནཱ-ག-ད-མ-ན-ཀ	Indian bowstring hemp
ཧ-སྟི-ཤུཎྚི	Indian heliotrope
སྒོག-སྐྱ	Indian heliotrope
གྷུཉྫ	Indian licorice
ཨ-ཏི-བ-ལ	Indian mallow
ཀ-ར-བཱི-ར	Indian oleander
ཚངས-མ	Indian pennywort
ཛ-ཡན-ཏི	Indian sesbania
སྤང-སྤོས	Indian spikenard
ཟའི-ལོ-མ	Indian stinging nettle
པུཎྜ-ཏ-ག-ར	 Indian valerian|Indian valerian 
རམས	Indigo plant
མི-མངོན	Indiscernible
མགོ-མཉམ-དུ-གང-ཟག	 Individual on a par with|Individual on a par with 
གཉིས-སུ-དབྱེར-མ-མཆིས	Indivisible
གཉིས-སུ-དབྱེར-མེད-པ	Indivisible
ལེ-ལོ	Indolence
བརྒྱ-བྱིན	 Indra | Śakra | Śatakratu| Śatakratu |Indra 
ཨར-མོ-ནིག-ལྟ-བུའི-རྡོ-ལེབ	 Throne of Indra|Throne of Indra 
དབང-ཆེན-གྱི-དཀྱིལ-འཁོར	 Maṇḍala of Indra| Maṇḍala of Indra |Maṇḍala of Indra 
ལྷའི-དབང-པོ-རྒྱ-བྱིན	 Indra, the chief of gods|Indra, the chief of gods 
དབང-པོས-བྱིན	 Indradatta | Indra­datta| Indra­datta |Indradatta 
དབང-པོའི-ལྷ	 Indradeva|Indradeva 
དབང-པོའི-རྒྱལ-མཚན	 Indradhvaja|Indradhvaja 
མིག-འཕྲུལ-ཅན	 Indrajāla|Indrajāla 
མིག-འཕྲུལ	 Indra’s Web|Indra’s Web 
དབང-པོའི-དྲ-བ-ཅན	 Indrajālin|Indrajālin 
བང-པོའི-ཏོག	 Indraketu|Indraketu 
དབང-པོའི-རྒྱལ-པོ	 Indrarāja|Indrarāja 
དབང-པོའི-དཔལ	 Indraśrī|Indraśrī 
དབང-པོའི-མཆོད-སྡོང	 Indrayaṣṭi|Indrayaṣṭi 
དབང-ཏོག-རྒྱལ-མཚན-རྒྱལ-པོ	 Indra­ketu­dhvaja­rāja|Indra­ketu­dhvaja­rāja 
དབང-པོའི-ཏོག-གི-རྒྱལ-ཚན-གྱི-རྒྱལ-པོའི-དཔལ	 Indra­ketu­dhvaja­rāja­śrī|Indra­ketu­dhvaja­rāja­śrī 
རྣམ-པ-ཟད-མི-ཤེས-པ	Inexhaustible Cornucopia
བརྗོད-དུ-མེད-པ	Inexpressible
རིགས-ངན-དུ-སྐྱེས-པ-དག	Inferior class
མཐའ-ཡས-པ	 Limitless|Infinite 
མཐར-ཐུག-པ-མེད-པ	Infinite
མཐའ-ཡས-པའི-ཡོན-ཏན-གྱི-འོད-ཟེར	 Light of Infinite Good Qualities| Light of Infinite Good Qualities |Light of Infinite Good Qualities 
འཕགས-པ-ཉན-ཐོས-ཐོས-པ-དང-ལྡན-པ	 Informed noble disciples|Informed noble disciples 
ཐང	 Plain|Infusion 
རང-བཞིན-མེད-པ	 Without inherent existence|Without inherent existence 
དང-པོ-འཇུག-པ	Initial engagement
ལྷན-སྐྱེས	Innate
ལྷན-ཅིག-སྐྱེས-པའི-དགའ-བ	 Innate joy| Innate joy |Innate joy 
ལྷག-མཐོང	 Insight | Special insight | Transcendental analysis | Vipaśyanā | Vipaśyin| Vipaśyin |Insight 
དཀར-པོ-རྣམ-པར-མཐོང-བའི-ས	 Level of bright insight|Level of bright insight 
མཐོང-བའི-ས	 Level of insight|Level of insight 
མཐོང-ལམ	 Path of insight|Path of insight 
རྒྱུན-མི-ཆད-པའི-སྤོབས-པ	 Uninterrupted inspiration|Uninterrupted inspiration 
ཐོགས-པ-མེད-པའི-སྤོབས-པ	 Unimpeded inspiration|Unimpeded inspiration 
དོན-བཟང-པོ-དང-ལྡན-པའི-སྤོབས-པ	 Purposeful inspiration|Purposeful inspiration 
རིགས-པའི-སྤོབས-པ	 Rational inspiration|Rational inspiration 
འབྲེལ-བའི-སྤོབས-པ	 Well-connected inspiration|Well-connected inspiration 
དབུགས-འཕྱིན-པ	Inspired
སྐད-ཅིག-ཅིག-དང-ལྡན-པའི-ཤེས-རབ	 Instantaneous wisdom|Instantaneous wisdom 
ཀུན-ནས-སློང-བ-པོ	Instigator
ངན-སློབ	 Instigator of Evil|Instigator of Evil 
བག-ཆགས	Instinct
བག-ལ-ཉལ-བ	 Latent impulse | Subconscious instinct|Subconscious instinct 
སེམས-ཅན-རྣམས-ལ-རྗེས-སུ-སྟོན-པར-མཛད	Instruct sentient beings
ཀློག-གི-སློབ-དཔོན	 Recitation instructor|Recitation instructor 
གནས-ཀྱི-སློབ-དཔོན	 Reliable instructor| Reliable instructor |Reliable instructor 
དགེ-ཚུལ-གྱི-སློབ-དཔོན	 Instructor of novices|Instructor of novices 
གནས-འཆར-གཞུག	 Provide a reliable instructor| Provide a reliable instructor |Provide a reliable instructor 
སློབ-དཔོན-དཔེ-མཁྱུད	 Selfish reticence | Tight-fisted instructor|Tight-fisted instructor 
གསང-སྟེ-སྟོན-པ	 Instructor who inquires into confidential matters| Instructor who inquires into confidential matters |Instructor who inquires into confidential matters 
བློ-གྲོས	 Intelligence| Intelligence | Mati |Intelligence 
དབང-པོའི-བློ-གྲོས	 Powerful Intelligence| Powerful Intelligence |Powerful Intelligence 
གཟུངས-ཀྱི-བློ-གྲོས	 Retentive Intelligence|Retentive Intelligence 
དཔལ-དང-བློ-གྲོས	 Splendor and intelligence|Splendor and intelligence 
ཐམས-ཅད-མཁྱེན-པའི-བློ-གྲོས-འོད-ཟེར-གྱི-རྒྱལ-པོ	 King who is the Light of Intelligence that Understands All| King who is the Light of Intelligence that Understands All |King who is the Light of Intelligence that Understands All 
ནང-ཡོངས-སུ-དང-བ	Intense inner clarity
མོས-པ	 Volition|Intent 
མོས	 Intent (be)| Intent (be) |Intent (be) 
བསམ-པ	 Positive thought | Wish|Intention 
དྲང-དོན	Interpretable meaning
རང-གི-དངོས-པོ	Intrinsic entities
གཏན-མ-མཆིས-པ	Invariably unfound
ཐུབ-པ-མེད-པ	Invincibility
ཤིན-ཏུ-སྦྱང-དཀའ-བ	Invincible
འཕྲལ-ལ-བོས-པ	Invited on a whim
མགྲོན-དུ-བོས-པ	Invited to a banquet
ཉིང-མཚམས-སྦྱོར-བ	Involuntary reincarnation
བག-ཆགས-དང-མཚམས-སྦྱོར	 Involuntary reincarnation through propensities|Involuntary reincarnation through propensities 
བག-ཆགས-ཀྱི-མཚམས-སྦྱོར	 Involuntary reincarnation through propensities|Involuntary reincarnation through propensities 
ཀེ-ས-ར	Ironwood flowers
ངག-བཀྱལ-བ	Irresponsible chatter
ཕྱིར-མི-ལྡོག-པ-ཉིད	Irreversibility
ཕྱིར-མི-ལྡོག-པའི-ས	 Irreversible level|Irreversible level 
མངོན-པར-འདུས-མ-བྱེད	 Is unconditioned|Is unconditioned 
གཤོལ-མདའ-འཛིན	 Iśādhāra| Iśādhāra | Īṣādhāra |Īṣādhāra 
གླིང	Island
དབང-ཕྱུག	 Īśvara | Śiva| Śiva |Īśvara 
དེ-ཁོ-ནར-ཟད	It is just that
འདི-ལྟ-བུ-འདས-པ	 Itivṛttaka|Itivṛttaka 
ཅང-སྐྱེར	Ivory tree
དུག-མོ-ཉུང	Ivory tree
འགྲོ-བ-འཛིན	 Jagatindhara|Jagatindhara 
རྒྱལ-བྱེད	 Jahnu|Jahnu 
འཛའ-མན	 Jaimini | Kolita| Kolita |Jaimini 
འབྲུག-སྒྲ-སྦྱངས-སྙན-སྐར-མའི-རྒྱལ-པོ-མེ-ཏོག-ཀུན-ཏུ-རྒྱས-པ	 Jala­dhara­garjita­ghoṣa­susvarana­kṣatra­rāja­saṃkusumitābhi­jña­|Jala­dhara­garjita­ghoṣa­susvarana­kṣatra­rāja­saṃkusumitābhi­jña­ 
དྲ-བ-ཅན-གྱི-འོད	 Jālinīprabha| Jālinīprabha |Jālinīprabha 
འཛའ-མག-ནི	 Jamadagni|Jamadagni 
རྨུགས-འཛིན	 Jambhala|Jambhala 
ཛམ-བྷ-ལ	 Jambhala|Jambhala 
འཛམ	 Jambū| Jambū |Jambū 
འཛམ-བུ-ཆུ-བོ	 Jambu River | Jambū river|Jambū river 
འཛམ-བུའི-མགྲིན	 Voice of Jambū|Voice of Jambū 
འཛམ-བུ	 Jambu River | Jāmbū | Rose apple|Jāmbū 
འཛམ-བུ-རྒྱལ-མཚན	 Jambudhvaja|Jambudhvaja 
འཛམ-བུའི-གླིང	 Jambudvīpa| Jambudvīpa |Jambudvīpa 
འཛམ-བུ-གླིང	 Jambudvīpa | Jambu­dvīpa| Jambu­dvīpa | Jambūdvīpa |Jambudvīpa 
ཛམ-བུ-ལིང	 Jambudvīpa|Jambudvīpa 
འཛམ-བུའི-ཆུ-བོའི-གསེར-གྱི-འོད	 Jāmbūnada­prabhāsa | Jāmbūnadābhāsa| Jāmbūnadābhāsa |Jāmbūnada­prabhāsa 
ཛ-མི-ཀ	 Jāmika|Jāmika 
སྐྱེད-པ-པོ	 Janaka|Janaka 
ཛཱ-ན-བ-ཛྲ	 Jānavajra|Jānavajra 
བྱིན-པ-འོད-སྲུང	 Jaṅghā Kāśyapa| Jaṅghā Kāśyapa |Jaṅghā Kāśyapa 
སྣ-མ	 Nutmeg | Royal jasmine| Royal jasmine |Jasmine 
མལ-ལི-ཀ	 Jasmine|Jasmine 
མཱ-ལི-ཀ	 Jasmine|Jasmine 
ཛ-ཏཱི	Jasmine
མ-ལི-ཀ	Jasmine
ཀུན-ད	 Star jasmine|Star jasmine 
ན-པ-མ-ལི-ཀ	 Shrubby jasmine|Shrubby jasmine 
ན-བ-མ-ལི-ཀ	 Shrubby jasmine|Shrubby jasmine 
ཡོངས-འདུས	 Night-flowering jasmine|Night-flowering jasmine 
ཡོངས-འདུ	 Night-flowering jasmine|Night-flowering jasmine 
སྐྱེས-པ-རབས-ཀྱི-སྡེ	 Past life accounts| Past life accounts |Past life accounts 
སྐྱེས-རབས	 My previous lifetimes|My previous lifetimes 
སྐྱེས-པའི-རབས	 Jātaka | Past lives|Jātaka 
རལ-བུ-ཅན	 Jāṭilikā|Jāṭilikā 
མཁྲིས-ནད	Jaundice
རྒྱལ-མ	 Jayā| Jayā |Jayā 
ཛ-ཡ	 Jayā| Jayā |Jayā 
རྒྱལ-བ-བྱེད-པ	 Jaya|Jaya 
རྒྱལ-བས-བྱིན	 Jayadatta|Jayadatta 
རྒྱལ-བའི-བློ-གྲོས	 Jayamati|Jayamati 
སྣྲོན	 Jeṣṭhā|Jeṣṭhā 
རྒྱལ-བྱེད-ཀྱི-ཚལ	 Jetavana|Jetavana 
ཛེ-ཏའི-ཚལ	 Jetavana|Jetavana 
རིན-ཆེན-མཐའ-ཡས	Jewel Cusp
རིན-ཆེན-ཟླ-བ-བྱང-ཆུབ-ཀྱི-སྤྱད-པ-སྤྱོད-པ	 Jewel Moon Performing Enlightened Actions| Jewel Moon Performing Enlightened Actions |Jewel Moon Performing Enlightened Actions 
རིན-པོ-ཆེ-དང-ལྡན-པ	Jewel World
རྒྱལ-བ	 Jina | Victorious One|Victorious One 
ཛི-ན-མི-ཏྲ	 Jinamitra| Jinamitra |Jinamitra 
རྒྱལ-བ-བཤེས-གཉེན	 Jinamitra|Jinamitra 
རྒྱལ-བའི-སྲས	 Jinaputra|Jinaputra 
རྒྱལ-བ-ཁྱུ-མཆོག	 Jinarṣabha|Jinarṣabha 
དམག-ཚོགས-ལས-རྒྱལ	 Jinavaktra|Jinavaktra 
རྒྱལ-བའི-དབང-པོ	 Jinendra|Jinendra 
དགྲ-ལས-རྒྱལ	 Jitaśatru|Jitaśatru 
ཤང-ཤང-ཏེའུ	 Partridge | Pheasant | Two-headed pheasant| Two-headed pheasant |Jīvañjīva pheasants 
ཡེ-ཤེས-ཀྱི-སྟོབས	 Jñānabala|Jñānabala 
ཡེ-ཤེས-སྟོབས	 Jñānābala|Jñānābala 
ཟིལ-གྱིས-མ-ནོན-ཡེ-ཤེས	 Jñānābhibhū|Jñānābhibhū 
ཡེ-ཤེས-མངོན-པར-འཕགས	 Jñānābhyudgata|Jñānābhyudgata 
ཡེ-ཤེས-འབྱུང-གནས	 Jñānākara| Jñānākara |Jñānākara 
ཡེ-ཤེས-ཏོག-གི-རྒྱལ-མཚན	 Jñānaketudhvaja|Jñānaketudhvaja 
ཡེ-ཤེས-ལྷུན	 Jñānameru|Jñānameru 
ཡེ-ཤེས-སྣང-བ	 Jñānaprabhāsa|Jñānaprabhāsa 
ཡེ-ཤེས-འོད-འཕྲོ-རྒྱ-མཚོའི-དཔལ	 Jñānārciḥsāgara­śrī|Jñānārciḥsāgara­śrī 
ཡེ-ཤེས-འོད-འཕྲོ	 Jñānārcimat|Jñānārcimat 
ཡེ-ཤེས-ཡང-དག-འཕགས	 Jñānasamudgata|Jñānasamudgata 
ཡང-དག-འཕགས	 Jñānasamudgata|Jñānasamudgata 
ཛྙཱ-ན-སིདྡྷི	 Jñānasiddhi|Jñānasiddhi 
ཡེ-ཤེས-དཔའ-བ	 Jñānaśūra|Jñānaśūra 
ཡེ-ཤེས-ལྡན	 Jñānāvatī|Jñānāvatī 
ཡེ-ཤེས-བྱེ-བྲག-འགྲོ	 Jñānaviśeṣaga|Jñānaviśeṣaga 
ཡེ-ཤེས-དབང-ཕྱུག	 Jñāneśvara|Jñāneśvara 
གཉེན-གྱི-བུ	 Jñātiputra|Jñātiputra 
གཉེན-གྱི-བུ-གཅེར-བུ	 Jñātiputra, the Nirgrantha| Jñātiputra, the Nirgrantha |Jñātiputra, the Nirgrantha 
ཚིགས-མཛེས-པ	Joints are elegant
ཚིགས-རིང-བ	Joints are extended
སྐུའི-ཚིགས-ལེགས-པར-འབྲེལ-པ	Joints of their bodies are well articulated
རབ-ཏུ-དགའ-བ	 Joyful | Perfect Joy | Serene joy| Serene joy |Perfect Joy 
དགའ-བརྩེགས	 Layered Joy|Layered Joy 
མཆོག-དགའ	 Supreme joy|Supreme joy 
དགའ-བའི-སྤྱན	 Joyful Eyes|Joyful Eyes 
ཡོངས-སུ-དགའ-ལྡན	 Santuṣita | Saṃtuṣita | Wholly Joyous Heaven| Wholly Joyous Heaven |Wholly Joyous Heaven 
རག-ཆུང	Jujube
རྒྱ-ཤུག	Jujube
ཆེས-གཞོན-པ	Junior exemplar
ཀོ-ཏམ-པའི-རས	Jute cloth
སྐར-འོད-ཞི-བའི-སྤོས-སྣང-དཔལ	 Jyotiḥsaumya­gandhāvabhāsa­śrī|Jyotiḥsaumya­gandhāvabhāsa­śrī 
སྐར-མ-ལ-དགའ-བ	 Jyotirasa|Jyotirasa 
སྐར-མའི-འོད	 Jyotiṣprabha|Jyotiṣprabha 
སྣང-བས-རྣམ-པར-རོལ-པའི-མངོན-པར-ཤེས-པ	 Jyoti­vikrīḍitābhijña|Jyoti­vikrīḍitābhijña 
ཨ-ཏི-མུཀ-ཏ-ཀ	Kachnar
ཨ-ཏི-མུག-ཏ-ཀ	 Mountain ebony|Kachnar 
ཀ-ཙ-ལིན-དི	 Kācilindika|Kācilindika 
ཏི-སེ	 Kailāśa|Kailāśa 
བྱད-སྟེམས	 Kākhorda|Kākhorda 
བྱད	 Kākhorda| Kākhorda |Kākhorda 
བྱད-སྟེམ	 Kākhorda|Kākhorda 
ཤིང-སྒྲུབ-བྱེད	Kakubha tree
ཀ-ཏྱཱའི-བུ-ནོག-ཅན	 Kakuda Kātyāyana| Kakuda Kātyāyana |Kakuda Kātyāyana 
ཀཱ-ཏྱའི-བུ-ནོག-ཅན	 Kakuda Kātyāyana| Kakuda Kātyāyana |Kakuda Kātyāyana 
མིག-འཕྱང-བ	 Kālambā|Kālambā 
