འམ	[C]vā; [C]athavā-api
ཉོན-མོངས-མེད-ཡན-ལག	[MV]niḥkleśāṅga
ཉོན-མོངས-མཚན-ཉིད-རྣམ-དགུ	[MV]navadhā kleśa-lakṣaṇaṃ
ཉོན-མོངས-པ	[MSA,MV]kleśa; [C]āyāsa; [C]raṇa;  [MSA]kleśa-śakti
ཉོན-མོངས-པ-འདུལ-བ	[MSA]kleśa-vinayana
ཉོན-མོངས-པ-འདུལ-བ-ལ-རབ-ཏུ-བརྩོན-པ	[MSA]kleśa-vinaya-saṃyukta
ཉོན-མོངས-པ-བསྐྱེད-པ	[MSA]utpādita-kleśa
ཉོན-མོངས-པ-ཅན	[MSA]kliṣṭa
ཉོན-མོངས-པ-ཅན-གྱི-ཡིད	[MV]kliṣṭaṃ manaḥ
ཉོན-མོངས-པ-ཅན-མ-ཡིན-པའི-མི-ཤེས-པ	[MV]akliṣṭam ajñānaṃ
ཉོན-མོངས-པ-དང-བཅས-པ	[C]sāṅgaṇa
ཉོན-མོངས-པ-དང-བྲལ-བ	[MSA]kleśa-vigama; [MV]kleśa-visaṃyoga
ཉོན-མོངས-པ-དང-དག-པའི-གནས	[MV]kleśa-śuddhy-āśraya
ཉོན-མོངས-པ-དང-ལས-དང-སྐྱེ-བ	[MSA]kleśa-karma-janma
ཉོན-མོངས-པ-དང-མཐུན-པའི-ཆོས	[MSA]kleśānukūla ... dharma
ཉོན-མོངས-པ-དང-ཤེས-བྱའི-སྒྲིབ-པ	[L,MSA,MV] kleśa-jñeya-āvaraṇa
ཉོན-མོངས-པ-ལས-རྣམ-དག	[MSA]kleśād viśuddhiḥ
ཉོན-མོངས-པ-ལས-རྣམ-པར-གྲོལ-བ	[MSA]kleśa-vimokṣa
ཉོན-མོངས-པ-མང-བ	[MSA]kleśa-prācurya; [MSA]kleśa-bāhulya
ཉོན-མོངས-པ-མེད-པ	[C]niḥkleśa; [C]niṣkleśa; [MSA]asaṃkleśa; [C]anaṅgana; [MSA]araṇā
ཉོན-མོངས-པ-མེད-པར	[C]alpa-kṛcchreṇa
ཉོན-མོངས-པ-མེད-པར-གནས-པ	[C,MSA]araṇā-vihārin
ཉོན-མོངས-པ-ནི-རྣམ-པར-རྟོག-པ-ཡིན	[MSA]vikalpa-kleśa
ཉོན-མོངས-པ-རྣམས-ཀྱི-གཉེན-པོ	[MSA]kleśānāṃ pratipakṣaḥ
ཉོན-མོངས-པ-སྐྱེ-བའི-རྐྱེན-ཙམ	[MSA]kleśasyotpatti-pratyaya-mātram
ཉོན-མོངས-པ-སྤངས-པ	[MSA]kleśa-prahāṇa
ཉོན-མོངས-པ-སྤོང-བ	[MSA]kleśa-prahāṇa
ཉོན-མོངས-པ-ཐམས-ཅད-དུ-བྲལ-བ	[L]sarvatra vigata-kleśa
ཉོན-མོངས-པའི-འདམ	[C]kleśa-paṅka
ཉོན-མོངས-པའི-བག-ལ-ཉལ-དང-བག-ཆགས	[MSA]kleśānuśaya-vāsanā
ཉོན-མོངས-པའི-དྲི-མ-མེད-པའི-གནས	[MSA]kleśa-nairmalya-prāpty-āśraya (sic)
ཉོན-མོངས-པའི-གནས-ངན-ལེན-གྱིས-རབ-ཏུ-བསྐྱེད-པ	[MSA]kleáa-dauṣṭhulya-prabhāvitatva
ཉོན-མོངས-པའི-གཉེན-པོ-མཛད-པ	[MSA]kleśa-pratipakṣa-vidhāna
ཉོན-མོངས-པའི-གཉེན-པོ-ཉིད	[MSA]kleśa-pratipakṣatā
ཉོན-མོངས-པའི-ཀུན-ནས-ཉོན-མོངས-པ	[MV]kleśa-saṃkleśa
ཉོན-མོངས-པའི-མེད-པ	[L]anaṅgana
ཉོན-མོངས-པའི-ནད-རབ-ཏུ-ཞི-བར-བྱེད-པ	[MSA]kleśa-vyādhi-praśamana
ཉོན-མོངས-པའི-རྒྱུ-ཡིན-པའི-ཕྱིར	[MSA]kliṣṭa-hetutas
ཉོན-མོངས-པའི-སྒྲིབ-པ	 kleśāvaraṇa|[MSA,MV]kleśāvaraṇa 
ཉོན-མོངས-པའི-སྒྲིབ-པ-རྣམ-པ-དགུ	[MV]navadhā-kleśa-āvaraṇa
ཉོན-མོངས-པའི-ཟག-པ	*kleśārava
ཉོན-མོངས-པར-བྱེད-པ	[MV](pari √kliś): parikliśyate
ཉོན-མོངས-པར-སྣང-བ	[MSA]kleśābhāsa
ཉོན-མོངས-རྣམ-དག-པའི-གནས	[MV]kleśa-śuddhy-āśraya
ཉོན-མོངས-རྣམ-པར-སྦྱོང-བའི-ལས-དང-པོ-པ	kleśaviśuddhyādikarmika
ཉོན-མོངས-རྣམ-པར-སྦྱོང-བའི-ལས-དང-པོ-པའི-ཡིད-བྱེད	kleśaviśuddhyādikarmi · kamanaskāra
ཉོན-མོངས-རྣམ-སྦྱོང-གི-དམིགས-པ	 kleśaviśodanālambana| kleśaviśodanālambana |kleśaviśodanaālambana 
ཉོན-མོངས-རྣམས-སྦྱོང-གི-དམིགས-པ	kleśaviśodanaālambana
ཉོན-མོངས-རྟོག-པ-སྤོང	[MSA]kliṣṭa-vitarka-varjanā
ཉོན-མོངས-ཤེས-བྱ-ཡི-སྒྲིབ-པ	[MSA]kleśa-jñeya-vṛti
ཉོན-མོངས-ཤེས-བྱའི-སྒྲིབ-པ	[MSA]kleśa-jñeya-vṛti
ཉོན-མོངས-ཚོགས	[MSA]kleśa-gaṇa
ཉོན-མོངས-ཟད-པ	[MSA]kleśa-kṣaya
ཉོན-སྒྲིབ	 kleśāvaraṇa|[LCh]kleśāvaraṇa 
ཉོན-སྒྲིབ-ཀུན-བཏགས	parikalpitakleśāva-raṇa
༅ཉོན-སྒྲིབ༏-ཉོན-མོངས-པའི-སྒྲིབ-པ	kleśāvaraṇa
ཉོན-ཡིད	kliṣṭa-manas
ཉུག-བྱེད-ལ	[C]abhyokireya
ཉུང	[MSA]alpa; [C]alpaka; [MSA]parītta
ཉུང-བ	[MSA]alpa; [MV]alpatva
ཉུང-བ-དང-ཆེས-ཉུང-བ	[MSA]alpa-tara-tama
ཉུང-ངུ	[MSA]alpa
ཉུང-ངུ-ཉུང-ངུས	[C]stoka-stokam
ཨོན-ཀྱང	[C]api tu khu
པ-ལ-ཤ	[BMH] palāśa
པ-ལ-ཤའི-མེ-ཏོག	[BMH] palāśa
པད	padma
པད-མ	padma; [L]rakta
པད-མའི-ར-ག	padma-rakta
པདམ	 padma|[C]padma 
པདམ-རལ	[L]padmarāga
༅པགས-པ༏-ལུས	sparśana
པར-འགྱའ	prajñā
ཕ	[MSA]pitṛ; [C,MSA]paitṛka
ཕ-དང-འདྲ-བ	[MSA]pitṛ-kalpa
ཕ-ཀྱི-མཚན	[MSA]puruṣa-vyañjana
ཕ-མཐའ-མེད	[C]anantapāra
ཕ-མཐའ-ཡས	[C]anantapāra
ཕ-པ	[L]para
ཕ-རོལ	[LCh,C,MSA]para; [C]pāra(m) (=prakarṣa-gamana); [MV]pareṇa; [MSA]amutra; [MSA]pāra; [C]tīru
ཕ-རོལ-འགྲོ	[C]pāra-gantu; [MSA]pāra-ga
ཕ-རོལ-འགྲོ-བ	[MSA]pāra-ga
ཕ-རོལ-གནོན-པ	[C,MSA]parā-krama
ཕ-རོལ-གྱི	[C]pārima
ཕ-རོལ-གྱི-འགྲམ	[C]pārima
ཕ-རོལ-གྱི-ཆ	para-bhāga
ཕ-རོལ-གྱི-དད-པའི-ཕྱིར-མི-འབྲང-བ	[C]paropakramita
ཕ-རོལ-གྱི-གནོད-པ	[C]paropakramita
ཕ-རོལ-གྱི-སྡུག-བསྔལ	[MSA]para-duḥkha
ཕ-རོལ-གྱི-སེམས-ཀྱི-སྤྱོད-པ-ཤེས-པ	[C]para-citta-carita-jñatā
ཕ-རོལ-གྱིས-ཁོང-དུ-ཆུད-པར	[C]paro jānīyāt
ཕ-རོལ-མ-མཆིས-པའི-ཕ-རོལ-ཏུ-ཕྱིན-པ	[C]apāra-pāra-gata (=apārapāra-gamanatā)
ཕ-རོལ-ཕྱིན	[MSA]pārami (e.g.: dhyāna-pārami)
ཕ-རོལ-ཕྱིན-བཅུའི-རྒྱུས-བྱུང-བ	[MSA]daśa-pāramitānvaya
ཕ-རོལ-ཕྱིན-གྱུར-ཅིང	[C]pārami-gato
ཕ-རོལ-ཕྱིན-ལ-འཇུག-པ	[MSA]pāramitā-praveśa
ཕ-རོལ-ཕྱིན-པ	[C]pāra-gu; [MSA]yātaṃ pāraṃ
ཕ-རོལ-རྒོལ-བ	[C]para-pravādin
ཕ-རོལ-སོང-ལ	[C]pārami-gato
ཕ-རོལ-ཚུ	[Lindtner] pārāvāraṃ
ཕ-རོལ-ཏུ	[MSA]paratra
ཕ-རོལ-ཏུ-འགྲོ-བར-འདོད-པ	[C]pāraṃgantu-kāma
ཕ-རོལ-ཏུ-འགྲོའོ	[C]pāraṃ gacchati
ཕ-རོལ-ཏུ-ཕྱིན	[MSA]pāra-ga
ཕ-རོལ-ཏུ-ཕྱིན-པ-འཕེལ-བ	[MSA]pāramitā-vṛddhi
ཕ-རོལ-ཏུ-ཕྱིན-པ-བཅུ-བསྒྲུབ-པ	[MV]daśa-pāramitā
ཕ-རོལ-ཏུ-ཕྱིན-པ-དང-ལྡན-པ	[MSA]pāramitā-pratisaṃyukta
ཕ-རོལ-ཏུ-ཕྱིན-པ-དང-མཐུན-པ	[MSA]pāramitānukūlya
ཕ-རོལ-ཏུ-ཕྱིན-པ-དྲུག	[MSA]ṣaṭ-pāramitā
ཕ-རོལ-ཏུ-ཕྱིན-པ-དྲུག-གི-སྤྱོད-པ-སྤྱད-པ-ཡིན-པ	[C]ṣaṭ-pāramitā-cīrṇa
ཕ-རོལ-ཏུ-ཕྱིན-པ-དྲུག-པ	[MSA]ṣaṣ ... pāramitā
ཕ-རོལ-ཏུ-ཕྱིན-པ-དྲུག-པོ	[MSA]ṣaṭ-pāramitā
ཕ-རོལ-ཏུ-ཕྱིན-པ-དྲུག-ཡོངས-སུ-རྫོགས-པ	[MSA]ṣaṭ-pāramitā-paripūri
ཕ-རོལ-ཏུ-ཕྱིན-པ-གསུམ-པོ-སྦྱིན-པ-དང-ཚུལ-ཁྲིམས-དང-བཟོད-པ-དག	[MSA]dāna-śīla-kṣānti-pāramitā
ཕ-རོལ-ཏུ-ཕྱིན-པ-ལ-སྒོམ-པ	[MSA]pāramitābhyāsa
ཕ-རོལ-ཏུ-ཕྱིན-པ-ལ-སོགས-པ-དགེ-བ	[MSA]pāramitādi ... kuśala
ཕ-རོལ-ཏུ-ཕྱིན-པ-མངོན-པར-སྒྲུབ-པའི-སྙིང-རྗེ	[MSA]pāramitābhinirhāra-karuṇā
ཕ-རོལ-ཏུ-ཕྱིན-པ-ངེས-པའི-ས-ལ-གནས-པ-འཐོབ-པ	[MSA]pāramitā-niyata-bhūmy-avasthā-lābha
ཕ-རོལ-ཏུ-ཕྱིན-པ-ཕྱིན-ཅི-མ-ལོག-པར-འདོམས-པ	[MSA]aviparīta-pāramitopadeśa
ཕ-རོལ-ཏུ-ཕྱིན-པ-རབ-ཏུ-དབྱེ-བའི-བསྡུ-བ	[MSA]pāramitā-prabheda-saṃgraha
ཕ-རོལ-ཏུ-ཕྱིན-པ-རྣམས-ཀྱི-རིགས	[MSA]pāramitānāṃ gotram
ཕ-རོལ-ཏུ-ཕྱིན-པ-རྣམས-ཀྱི-རྟེན-དུ-གྱུར-པ-བྱང-ཆུབ-ཀྱི-སེམས	[MSA]pāramitānāṃ saṃniśraya-bhūtaṃ bodhi-cittaṃ
ཕ-རོལ-ཏུ-ཕྱིན-པ-རྣམས-ལ-སེམས-མཉམ-པ-ཉིད	[MSA]sama-cittatā ... pāramitāsu
ཕ-རོལ-ཏུ-ཕྱིན-པ-རྣམས-ལ-སྒྲུབ-པའི-འདུན-པ	[MSA]pāramitā-pratipatti-chanda
ཕ-རོལ-ཏུ-ཕྱིན-པ-སྦྱིན-པ-དང-ཚུལ-ཁྲིམས-དང-བཟོད-པ-དག	[MSA]dāna-śīla-kṣānti-pāramitā
ཕ-རོལ-ཏུ-ཕྱིན-པ-སྒོམ-པ	[MSA]pāramitā-bhāvanā
ཕ-རོལ-ཏུ-ཕྱིན-པ-སྒྲུབ-པ	[MSA]pāramitā-pratipatti
ཕ-རོལ-ཏུ-ཕྱིན-པ-སྟོན-པ	[MSA]pāramitā-deśanā
ཕ-རོལ-ཏུ-ཕྱིན-པ-ཐོབ-པའི-རྟགས	[MSA]pāramitā-lābha-liṅga
ཕ-རོལ-ཏུ-ཕྱིན-པ-ཡང-དག-པར-ལེན-དུ-འཇུག-པ	[MSA]pāramitā-samādāpanā
ཕ-རོལ-ཏུ-ཕྱིན-པ-ཡང-དག-པར-སྤྱོད-པ	[MSA]pāramitā-samudācāra
ཕ-རོལ-ཏུ-ཕྱིན-པ-ཡོངས-སུ-རྫོགས-པ	[MSA]pāramitā-paripūri
ཕ-རོལ-ཏུ-ཕྱིན-པ-ཡོངས-སུ-རྫོགས-པར-བྱ-བ	[MSA]pāramitā-paripūraṇa
ཕ-རོལ-ཏུ-ཕྱིན-པ-ཡོངས-སུ-སྒྲུབ-པ	[MSA]pāramitā-pariniṣpādana
༅ཕ-རོལ-ཏུ-ཕྱིན-པ༏-ཕར-ཕྱིན	 pāramitā|[C,L,MSA,MV]pāramitā; [C]pāra(m); [MSA]pāra-gamana 
ཕ-རོལ-ཏུ-ཕྱིན-པའི-བསླབ-པ-ཐམས-ཅད-ཀྱི-ཕ-རོལ-ཏུ-ཕྱིན-པ	[C]sarva-śikṣā-pāramitā
ཕ-རོལ-ཏུ-ཕྱིན-པའི-ངོ-བོ-ཉིད	[MSA]pāramitā-svabhāva
ཕ-རོལ-ཏུ-ཕྱིན-པའི-རང-བཞིང-གྱི-དགེ-བ	[MSA]pāramitā-maya ... kuśala
ཕ-རོལ-ཏུ-ཕྱིན-པའི-སྐབས	[MSA]pāramitādhikāra
ཕ-རོལ-ཏུ-ཕྱིན-པའི-སྤྱོད-པ	[MSA]pāramitā-caryā
ཕ-རོལ-ཏུ-ཕྱིན-པར	[C]pāraṃ gacchati
ཕ-རོལ-ཏུ-སོང-བས-ན	[C]pāraṅgata
ཕབ-པར-གྱུར-པ	āveśa
ཕལ-ཆེན-པ	mahāsāṃghika
ཕལ-ཆེན-སྡེ	[BJ 78.5] mahāsāṃghika
ཕལ-ཆེན-སྡེ-པ	mahāsaṃghika
ཕལ-ཆེར	[C,MSA]prāyeṇa; [C]bhūyastvena (=bāhulyena); [MSA]bāhulyena
ཕམ-པ	[MSA]parājita
ཕན	[LCh]hita; [C]upakāri-bhūta; [C]mokṣa; [C]sukha
ཕན-འདོགས	[MSA,MV]anugraha; [MSA]anugraha-kṛt
ཕན-འདོགས-འདོད	[MSA]anugrahecha (sic)
ཕན-འདོགས-བདག-ཉིད	[MSA]anugrahātmaka
ཕན-འདོགས-བྱེད-ལ-འཇུག	[MSA]anugrahe vartati; [MSA]anugrahe vartate
ཕན-འདོགས-པ	[L,MSA]upakāra; [MSA]upakārin; [MSA]upakara; [C]upakāri-bhūta
ཕན-འདོགས-པར-འགྱུར-བ	[MSA]anugrahe vartati; [MSA]anugrahe vartate
ཕན-འདོགས-པར-འགྱུར-བ-ཡིན-ནོ	[C]upakāri-bhūta
ཕན-འདོགས-པར-བྱེད-པ	[MSA]anugrāhaka
ཕན-འདོགས-རྣམ-པ-གཉིས	[MSA]anugraha ... dvividha
ཕན-འདོགས-ཤིང	[C]anugṛhṇāti
ཕན-བདེ-བྱེད-པ-འབྲས-བུ	[MSA]hita-sukha-kriyā-phalatva
ཕན-བདེ-དགོངས	[MSA]saukhya-hitāśaya
ཕན-བདེའི-རྒྱུ	[MSA]hita-sukha-hetutā
ཕན-བྱ-བ	[MV]hita
ཕན-བྱེད	[C]hitaṃ-kara; [MSA]upakārin; [MSA]hita-kara; [MSA]hitādhāna
ཕན-བྱེད-བློ-ལྡན-པ	[MSA]upakāri-buddhimat
ཕན-བྱེད-པ	[MSA]upakārin; [MSA]hita-kara; [MSA]hitādhāna
ཕན-བཞེད	hita-kāmyā
ཕན-བཞེད-པ	[MSA]hita-kāmyā
ཕན-ཆད	[MSA]para; [MSA]yataḥ pareṇa
ཕན-དང-བདེ-འདོད-པ	[MSA]sukha-hitaiṣin
ཕན-དང-སྙིང-བརྩེར-བཅས-པ	[C]hita-sānukampa
ཕན-དང-སྙིང-བརྩེར-ལྡན-པ	[C]hita-anukampī
ཕན-གདགས-པ	[C,MSA]anugraha
ཕན-གདགས-པར-བྱ-བ	[C]anugṛhītavya
ཕན-མཛད	[C]hitaṃ-kara
ཕན-མཛད-བརྩེར-ལྡན	[C]hita-anukampī
ཕན-པ	[L,MSA]hita; [C,MSA]upakāra; [C]kṛta; [MSA]anugraha; [MSA]upakara
ཕན-པ-བསམ-པ	[MSA]upakara ... āśaya
ཕན-པ-བསྒྲུབ-པ	[C]hitopasaṃhāra
ཕན-པ-བྱེད-པ	[MSA]anugraha-kṛt
ཕན-པ-དང-བདེ-བ	[MSA]hita-sukha
ཕན-པ-དང-བདེ-བ-ལ-ཕྱིན-ཅི-མ-ལོག-པ	[MSA]hite ca sukhe cāviparyastaṃ
ཕན-པ-དང-བདེ-བའི-སེམས	[C]hita-sukha-citta (=hita-kṛpā)
ཕན-པ-ལ-འཇུག	[MSA]anugrahe vartati; [MSA]anugrahe vartate
ཕན-པ-མཛད-པ	[C]hitaṃ-kara
ཕན-པ-རྣམ-པ-ལྔ	[MSA]pañca-vidhopakāra
ཕན-པའི-འདུ-ཤེས	[MSA]upakara-saṃjñā; [MSA]upakāri-saṃjñā
ཕན-པའི-བསམ-པ	[MSA]upakārāśaya; [MSA]hitāśaya
ཕན-པའི-དགོངས-པ	[MSA]hitāśaya
ཕན-པའི-དངོས-ཉིད	[C]hita-vastutva
ཕན-པའི-དངོས-པོ	[C]hita-vastutā
ཕན-པའི-ལྷག-པའི-བསམ-པ	[MSA]hitādhyāśaya
ཕན-པའི-སེམས	[C]hita-citta
ཕན-པའི-ཚིག-དང-ལྡན-པ	[C]hita-vacana
ཕན-པར-འདོད-པ	[MSA]hita-kāma
ཕན-པར-བྱ-བ	[MV]hita
ཕན-པར-བྱེད-པ	[MSA]hita
ཕན-པར-བྱེད-པའི-ཐབས	[MSA]anugrāhaka ... upāya; [MSA]upāya ... anugraha-kara
ཕན-པར-དགོངས-པ	[MSA]hitāśaya
ཕན-པར-སེམས	[MSA]hitāśaya
ཕན-པར-སེམས-པ	[C]hitaiṣitā; [MSA]hitāśaya
ཕན-ཕྱིར	[C]hita
ཕན-སེམས	[BCA] hitāśamsa
ཕན-ཚུལ-གྲོགས-སུ	[LCh,MSA] mitra
ཕན-ཚུན	[LCh,MSA]anyonya; [C]parasparam; [C]mitha
ཕན-ཚུན-འགལ-བ	[N]anyonya-parihara-virodha; [N]paraspara-viruddha; parasparavirūddha
ཕན-ཚུན-བརྟན-པ	parasparasaṃbhavana
ཕན-ཚུན-མི-མཐུན	[C]paraspara-viruddha; [C]viruddhaka
ཕན-ཚུན-མཉེན	[Śāntideva] snigdha ... parasparam
ཕན-ཚུན-སྤང-འགལ	[N]anyonya-parihāra-virodha; paraspara-parihara-virodha; paraspara-viruddha; *parasparaparihāra-viruddha
ཕན-ཚུན-སྤངས-འགལ	anyonyaparihāra
ཕན-ཚུན-ཚོགས-པ-དང-མི-མཐུན-པ-འགྱུར	[C](anyonyam) visāmagrī
ཕན-ཡོན	[C,MSA,MV,N]anuśaṃsa; [MV]anuśaṃsana
ཕན-ཡོན-ཆེ-བ	[C]mahā-anuśaṃsa
ཕན-ཡོན-གྱི-ཡན-ལག	*anuśaṃsāṅga
ཕར-འགྲོ-ཚུར-འགྲོ	[C]āra-pāraṃ gacchati
ཕར-ཕྱིན	 [C,L,MSA,MV]pāramitā; [C]pāra(m); [MSA]pāra-gamana | pāramitā|[LCh]pāramitā 
ཕར-ཕྱིན-དྲུག	ṣaḍ-pāramitā
ཕར-ཕྱིན-དྲུག-པོ	ṣaḍ-pāramitā
ཕར-ཕྱིན-གྱི-ཐེག-པ	pāramitā-yāna
ཕར-ཕྱིན-ཐེག-པ	pāramitāyāna
ཕར-ཤེས-པ	[C]pitṛ-jñatā (=pitreyatā)
ཕས-ཀྱི-རྒོལ-བ	[C,MSA]para-pravādin; [L]para-vādin; [MSA]para-pravāda
ཕས-ཕམ-པས	[C]pārājikā
ཕས-རྒོལ	[C;MSA;VNS] para-pravādin; [L] para-vādin; [MSA] para-pravāda
ཕོ	[MSA]puruṣa
ཕོ-བྲང-འཁོར	[C]rāja-dhānī
ཕོ-དང-མོའི-དབང-པོ	[MV]strī-puruṣendriya
ཕོ-མོར-འགྱུར-ཞེས	[C]puruṣestriya
ཕོ-ཕྲ-མོར-འགྱུར-ཞེས	[C]puruṣestriya
ཕོག	vidhyati
ཕོག-པ	[C]vidhyati
ཕོངས	[MSA]vighātin; [MSA,MV]vyasana; [MSA]vighāta
ཕོངས-པ	[C,MSA]vyasana [C](=upaghātam); [L]vipad; [L]anaya; [MSA]vighāta
ཕོངས-པ-ཆེན-པོ	[L]mahā-vipad
ཕོངས-པ-མེད-པ	[MSA]avighāta
ཕོངས-པར-འགྱུར-བ-དང-མཐུན-པ	[C]vyasana (=upaghātam)
ཕོངས-པར-འགྱུར-པའི-ལས	[MSA]vyasana-saṃvartanīyaṃ karma
ཕྲ	[C,MSA]sūkṣma; [MSA]tanu
ཕྲ-བ	[L,MSA,MV]sūkṣma; [MSA]tanu
ཕྲ-བའི-མི-རྟག-པ	*sūkṣmānitya
ཕྲ-མ	[C]piśuna; [C,MSA]paiśunya; pāruṣya
ཕྲ-མོ	[C,MSA]sūkṣma; [C]kṣudra; [MSA]tanu
ཕྲ-མོ-མན	[C]kṣudraka
ཕྲ-མོ-ཕྲ-བ-དག	[C]sūkṣma-sūkṣmāṇi
ཕྲ-རབ	[N]paramāṇu; [N]atisūkṣma
ཕྲ-རབ-རྡུལ	paramanu
ཕྲ-རབ-ཙམ	[MSA]aṇu-mātra
ཕྲད	[MSA]āgama (e.g.: pratyayāgama); [MSA](upa √sṛp): upasarpanti; [MSA]labdha
ཕྲད-པ	[L]samagata; [C]nipāta; [MSA]abhigama; [MSA]saṃbandha; [GD:443]prāpaṇa; [GD:625] saṃnikassa; samāpatti
ཕྲད-པའི-རྒྱུ	[C]samprayoga-nimitta
ཕྲད-པར	[C]samavadhāna
ཕྲད-པར-བྱ-བ	[MSA]samavadhāna
ཕྲག-དོག	 īrṣyā|[LCh,C,MV]īrṣyā 
ཕྲག-དོག-གི-ཀུན-སྦྱོར	īrṣyā-saṃyojana
ཕྲག-དོག-གི-ཀུན-ཏུ-སྦྱོར-བ	[MV]īrṣyā-saṃyojana
ཕྲག-པ-གཅིག-ཏུ	[C]eka-aṃsam
ཕྲག-པའི-ལྷུན-མཛེས-པར-གྲུབ-པ	[C]susaṃvṛtta-skandhatā
ཕྲག-སོ-ཤིན-ཏུ-ལེགས-པར-རྒྱས-པ	[C] cita-antara-aṃsata
ཕྲན-ཚེགས	[LCh]itara
ཕྲེང	[MSA]mālā (e.g.: Śrī-mālā-sūtra)
ཕྲེང-བ	[LCh]mālā; [LCh]mālya
ཕྲེང-བ-ཅན	śreṇika
ཕྲེང-བའི-གནས	[C]mālāvihāra
ཕྲེང-ཅན	[C]śreṇika
ཕྲེང-ཅང	[C]śreṇika
ཕྲིན-ལས	[MSA]karman
ཕྲིན-ལས-འདྲ-བ-ཉིད	[MSA]sādharaṇa-karmatā (sādhā-?)
ཕྲིན-ལས-ཀྱི-དོན	[MSA]karmārtha
ཕྲིན-ལས-ཀྱི-ཁྱད-པར	[MSA]karma-viśeṣa
ཕྲིན-ལས-སྒྲུབ-པ	[MSA]karmānuṣṭhāna
ཕྲིན-ལས-ཐུན-མོང-བ	[MSA]sādhāraṇa-karmakatva
ཕྲིན-ལས-ཟབ-པ	[MSA]karma-gāmbhīrya
ཕྲོགས	[C]harati
ཕྲོགས-པར-འགྱུར-རོ	[C]saṃhriyate (=apanīyate)
ཕྲུལ-གྱི-འཁྲུལ-རྒྱུ	pratibhāṣikī-bhrānti-hetu
ཕུ-དུད	[Negi] citrīkāraḥ
ཕུད	[L]cūḍika
ཕུག	[MSA]gahvaraka
ཕུག-གི-འཁྲུལ-རྒྱུ	mukhya-vibhrama-hetu
ཕུལ	[MSA]śreṣṭha
ཕུལ-བྱེད-པར-འགྱུར-བས	[C]agratā(ṃ-kārayati)
ཕུལ-དུ-བྱུང-བ	[MSA]atiśaya; [MSA]utkarṣa
ཕུལ-དུ-བྱུང-བའི-དམིགས-པ	[MV]prakarṣālambana
ཕུལ-དུ-བྱུང-བའི-ཁྱད-པར	[MSA]utkarṣa-viśeṣa
ཕུན	[L]saṃpad
ཕུན-པ	[L]saṃpad
ཕུན-སུམ་	[MSA]saṃpatti; [MSA]saṃpad; [MSA]saṃpanna
ཕུན-སུམ-ཚོགས	[MSA]saṃpatti; [MSA]saṃpad; [MSA]saṃpanna
ཕུན-སུམ-ཚོགས-པ	[LCh,MSA,MV]saṃpanna; [C,MSA,MV]saṃpatti [C](=saṃpad); [C]saṃpanna (= samāpanna); [C]niṣpatti (=pariniṣpatti = pariniṣpadyante); [C,L,MSA]sampad
ཕུན-སུམ-ཚོགས-པ-ལ-ངེས-པར-འགྱུར-བ	[MSA]saṃpatti-niyatipāta
ཕུན-སུམ-ཚོགས-པ-ལྷག-པ	[MSA]adhika ... saṃpatti
ཕུན-སུམ-ཚོགས-པ-ཐོབ-པ	[MSA]saṃpat-prāpti
ཕུན-སུམ-ཚོགས-པའི-བདེ-བ-དག-ལ-མ-ཆགས-པ-ཉིད	[MSA]saṃpatti-sukheṣv asaktatā
ཕུན-སུམ-ཚོགས-པར-འགྱུར-བ	[C]samṛdhyate; [C]samṛdhyantām; [C]samṛdhyati; [C]samṛdhyate
ཕུན-ཚོགས	[LCh,MSA]saṃpanna; [C]saṃpatti; [MSA]saṃpad
ཕུང	[MSA]skandha
ཕུང-པོ	[LCh,C,MSA,MV]skandha; [C,L]rāśi
ཕུང-པོ-ལྷག-མ-མེད-པའི-མྱ-ངན-ལས-འདས-པ-ན-ཡང	[MV]nirupadhiśeṣe nirvāṇe 'pi
ཕུང-པོ-ལྷག-མ-མེད-པའི-མྱ-ངན-ལས-འདས-པའི-དབྱིངས	[C]anupadhiśeṣa-nirvāṇa-dhātu
ཕུང-པོ-ལྔ	pañcaskandha
ཕུང-པོ-ཐམས-ཅད-ངེས-པར-འདོར-བ-དང-འབྱུང-བར-དང	[C]sarva-upadhi-pratinisarga
ཕུང-པོ-ཡང-དག-པར-ཟད-པ	[C]saṃkṣaya
ཕུང-པོའི-ལྷག-མ-མ-ལུས-པའི-མྱ-ངན-ལས-འདས-པ	[MSA]anupadhiśeṣa-nirvāṇa
ཕུང-པོའི-ལྷག-མ-མེད-པའི-མྱ-ངན-ལས-འདས-པ	[MSA]nirupadhiśeṣa-nirvāṇa
ཕུང-པོའི-ལྷག-མ-མེད-པར-མྱ-ངན-ལས-འདའ-བར-མཐའ-ཐུག-པ	[MSA]anupadhiśeṣa-nirvāṇāvasānatva
ཕུང-པོའི-མཚན-མ-དམིགས-པ	skandhanimittopalambha
ཕུང-པོའི-མཚན-ཉིད	[N]skandha-lakṣaṇa
ཕུང-པོའི-སྐྱེ-བ-དམིགས-པ	 skandhanimittopalambha|skandha-vināśopalambha 
ཕུར-བུ-པ	bārhaspatya; cārvāka
ཕུར-མ	cūḍika
ཕྱ-ལེ-བ	śāta
ཕྱ-ལེ-བ-མ-ཡིན-པ	viśāta
ཕྱག	[LCh,C]pāṇi; [LCh,C]hasta; [C]bhuja; [C]kara; [C]bāhu
