སངས-རྒྱས	buddhaḥ
སྨིག-མའི-ལྡུམ-བུ	karīraḥ
སྔགས-ཀྱི-རྒྱུད-ནས-འབྱུང-བའི-མིང-ལ	mantranāyavanirgatāni
སྔགས-ཀྱི-རྒྱུད	tantram
རྒྱུད-བླ-མ	uttaratantram
གསང-སྔགས	mantram
རིག-སྔགས	vidyā
གཟུངས-སྔགས	dhāraṇī
དཀྱིལ-འཁོར	maṇḍalam
དྲག-ཤུལ-སྤྱོད-པ	ābhicārikam
དབང-དུ-བྱ-བ	vaśīkaraṇam
སྦྱིན-སྲེག	homaḥ
བྱ-བའི-ཆོ-ག-དང-ཡོ-བྱད-ཅེས-སྐབས-དང-སྦྱར	upacāraḥ
ཆོ-ག	 vidhānam | ācāraḥ (ācaraḥ)|vidhiḥ 
ཆོ-ག-ཞིབ-མོ	kalpaḥ
བཟླས-བརྗོད	jāpaḥ
སྦྱིན-སྲེག-གི-ཡོ-བྱད	homopakaraṇam
སྦྱིན-སྲེག-བྱེད-པ	hotā (hotṛ)
སྲེག-བླུག-གི-རྫས	āhutidravyam
སྲེག-པ	 tittiriḥ|havanam 
སྦྱིན-སྲེག-བྱའོ	juhuyāt
དབང-བསྐུར-བ	 abhiṣiktaḥ|abhiṣekaḥ 
སྤྱན-དྲང-པ	āvāhanam
དགུག-པ	ākarṣaṇam
སླར-གཤེགས-སུ-གསོལ-བ	visarjanam
བཅིང-བ	 bandhaḥ|bandhanam 
དགར-བ	uccāṭanam
བསྙེམས-པའི-ཚུལ	garvaḥ
བྱིན-བརླབས-པ	adhiṣṭhānam
སྔགས-ཀྱི-སྤྱོད-པ	mantracaryā
གྱས-བརྐྱང-བ	ālīḍham
གྱོན-བརྐྱང-བ	pratyālīḍham
གསལ-སྣང	prasenam
དངོས-གྲུབ	siddhiḥ
སྔགས-པ	mantrī
རིག-སྔགས-འཆང	vidyādharaḥ
བསྒྲུབ-བྱ	 sādhyaḥ|sādhyam 
སྒྲུབ-པ-པོ	sādhakaḥ
སྒྲུབ-པའི-གྲོགས-མཆོག	uttarasādhakaḥ
བདག-གི-མ	māmakī
གཙུག-སྤྱོད	mūrdhaṭakaḥ
རལ-པ-གཅིག-མ	ekajaṭī
སངས-རྒྱས-ཀྱི-སྤྱན	buddhalocanā
གོས-དཀར-ཅན	pāṇḍaravāsinī
སྒྲོལ-མ	tārā
རྡོ-རྗེ-ཁྲོ-གཉེར-ཅན	vajrabhṛkuṭī
འཕགས-མ-ཁྲོ-གཉེར-ཅན	āryabhṛkuṭī
རྡོ-རྗེ-པད-མ	vajrāmbujā
རྡོ-རྗེ-ལྕགས-ཀྱུ-མ	vajrāṅkuśī
སོ-སོར-མདངས-འཕྲོག-མ	ojaḥpratyāhāriṇī
བཞད-ལྡན-མ	hāsavatī
རིན-ཆེན-སྒྲོན-མ	ratnolkā
ཀུན-འཛིན-མ	ādhāraṇī
ཀུན-ཏུ-བཟང-མོ	samantabhadrā
དགའ-བའི-འདོད-ཆགས-མ	ratirāgā
རྡོ-རྗེ-དབྱིངས-ཀྱི-དབང-ཕྱུག-མ	vajradhātvīśvarī
འཁོར-ལོ-ཐམས-ཅད-མ	sarvacakrā
མཆོག-གི-རིན-ཆེན-མ	ratnottamā
སྟོང-འཁྱིལ-མ	sahasrāvartā
ལེགས-པའི-བློ-གྲོས-མ	sādhumatī
གྲུབ-མཆོག-མ	siddhottamā
གཟུངས-ཀྱི-ཕྱག-རྒྱ-མ	dhāraṇīmudrā
རྡོ-རྗེ-སེམས-དཔའི-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ-མ	vajrasattvajñānamudrā
དགྱེས-པ-ཆེན-པོའི-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ	mahātuṣṭijñānamudrā
འོད-ཆེན-པོའི-དཀྱིལ-འཁོར-བཀོད-པའི-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ	mahāprabhāmaṇḍalavyūhajñāna mudrā
ཆོས-ཐམས-ཅད-མཉམ-པ-ཉིད-ཀྱི-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ	sarvadharmasamatājñānamudrā
དེ-བཞིན-གཤེགས-པ-ཐམས-ཅད-མཉེས-པར-བྱེད-པའི-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ	sarvatathāgatānurā gaṇājñānamudrā
དགའ-བའི-ཤུགས-ཆེན-པོ-འབྱུང-བའི-ཡེ-ཤེས-ཀྱི-ཕྱགས-རྒྱ	mahāprītivegasambhavajñānamudrā
དེ-བཞིན-གཤེགས-པ-ཐམས-ཅད-ཀྱི-དགོངས-པ-ཡོངས-སུ-རྫོགས-པར-བྱེད-པའི-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ	sarvatathāgatāśāparipūraṇajñānamudrā
དེ-བཞིན-གཤེགས-པ-ཐམས-ཅད-འདུས-པའི-བྱིན-གྱིས-བརླབས-ཀྱི-བའི-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ	sarvatathāgatasamājādhiṣṭāna (sarvatathāgatasamayādhiṣṭāna)jñānamudrā
དེ-བཞིན-གཤེགས-པ-ཐམས-ཅད-ཀྱི-རྡོ-རྗེའི-དབང-བསྐུར-བའི-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ	sarvatathāgatavajrābhiṣekajñānamudrā
དེ-བཞིན-གཤེགས-པ-ཐམས-ཅད-ཀྱི-ཤེས-རབ-དང-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ	sarvatathāgataprajñājñānamudrā
དེ-བཞིན-གཤེགས-པ-ཐམས-ཅད-ཀྱི-ཆོས-ཀྱི-ཚིག-སྤྲོས-པ-མེད-པའི-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ	sarvatathāgatadharmavāgniṣprapañcajñānamudrā
འཁོར-ལོ-ཆེན-པོ-འཇུག-པའི-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ	mahācakrapraveśajñānamudrā
དེ-བཞིན-གཤེགས-པ-ཐམས-ཅད-ཀྱི-ལས-སྣ-ཚོགས-ཀྱི-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ	sarvatathāgataviśvakarmajñānamudrā
འཐབ-དཀའ-བའི-བརྩོན-འགྲུས-ཀྱི-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ	duryodhanavīryajñānamudrā
བདུད-ཀྱི-དཀྱིལ-འཁོར-ཐམས-ཅད-རྣམ-པར-འཇོམས-པའི-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ	sarvamāramaṇḍalavidhvaṃsanajñānamudrā
དེ-བཞིན-གཤེགས-པ-ཐམས-ཅད-བསྡམས-པའི-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ	sarvatathāgatabandhanajñānamudrā
དེ-བཞིན-གཤེགས-པ-ཐམས-ཅད-ཀྱི-དགྱེས-པ-མཆོག-གི-བདེ-བ	sarvatathāgatasuratasukhā
དེ-བཞིན-གཤེགས-པ-ཐམས-ཅད-སྤྱན-འདྲེན-པ	sarvatathāgatākarṣaṇī
དེ-བཞིན-གཤེགས-པ-ཐམས-ཅད-མཉེས-བྱེད-མ	sarvatathāgatānurāgaṇī
དེ-བཞིན-གཤེགས-པ-ཐམས-ཅད-དགྱེས-བྱེད-མ	sarvatathāgatasaṃtoṣaṇī
བདག-མོ-ཆེན-མོ	mahādhipatiḥ
གསལ-བྱེད-ཆེན-མོ	mahādyotā
རིན-ཆེན-ཆར-འབེབས	mahāratnavarṣā
རིན-ཆེན-འཆར-འབེབས	mahāratnavarṣā
དགའ-བ-ཆེན-མོ-ཚིམ-པ	mahāprītiharṣā
ཡེ-ཤེས-ཆེན-མོ-གླུ-དབྱངས	mahājñānagītā
སྒྲ-ཆེན-པོའི-རྗེས-སུ-འཇུག-མ	mahāghoṣānugā
སྤོས-ལྡན-མ	gandhavatī
བྱང-ཆུབ-ཡན-ལག-ཆེ-ལྡན-མ	mahābodhyaṅgavatī
མིག-ལྡན-མ	cakṣuṣmatī
སྙིང-སྟོབས-ལྡན	sattvavatī
གནོད-མཛེས	sumbhaḥ (śumbha)
ངེས-པར-གནོད-མཛེས	nisumbhaḥ (niśumbyaḥ)
བདུད-རྩི-ཐབས-སྦྱོར	amṛtakuṇḍalī
རྨུགས-འཛིན	jambhalaḥ
འཆོལ-བ	ucchuṣmaḥ
འཕགས-པ-གཤིན-རྗེ-སེལ	āryayamāntakaḥ
གཞུ-ཐོགས	pinākī
ཉི-མའི-བུ	vaivasvatī
གསང-བའི-བདག-པོ	guhyakādhipatiḥ
གནོད-སྦྱིན-གྱི-སྡེ-དཔོན-ཆེན-པོ	mahāyakṣasenāpatiḥ
མཆོད-ཕྱིར-ཐོགས	yajñopavītam
ཀུ-ཤ-གཙང-བསྲེལ	kuśapavitradhārakaḥ (kuśapavitradharakaḥ)
ཐལ-བའི-སོལ-རིས-གསུམ-མཚན-ཅན	tripuṇḍrakacihnitam
སུམ-མདོའི-རིས-མཚན-ཅན	śṛṅgāṭakacihnitam
རལ-པ-འཕྱང	jaṭāvalambitam
ཡམ-བསྲེག-ཤིང	samidhaḥ
བུད-ཤིང	indhanam
མེ-ཐབ	agnikuṇḍaḥ
དགང-བླུགས	pūrṇāhutiḥ
བླུགས-གཟར	sruvakam (śruvakam)
དགང-གཟར	pātrī
བསྐུལ-བ	codanam
སྨོས-པ	vidarbhaṇam
མཆོད-ཡོན	arghaḥ
ལྷ-བཞོས	naivedyam
གཏོར-མ	baliḥ
ཉེ-རེག	upaspṛśyaḥ
འཐོར-འཐུང	ācamanam
བསང-གཏོར	prokṣaṇam
ཁ-རན-ནམ-ཁ-ཁྱེར	vedikā
པུ-ཤུ	upāṃśuḥ
སྒོ-ཁང-ངམ-བ-གམ-སྐབས-དང-སྦྱར	niryūhaḥ
ཁོར-ས	pradakṣiṇapaṭṭikā
ནང-རིམ	abhyantarapaṭṭikā
ཕྱི-རིམ	bahiṣpaṭṭikā
ཡོངས-སུ-རྒྱས-བྱ	āpyāyanam
ཕིར-གླན-པ	pratyāyanam
ཁ-རན	pālī
རེངས-བྱེད	stambhanam
རྨུགས-བྱེད	jambhanam
རྨོངས-བྱེད	mohanam
འཁྲུལ-བྱེད	ohanam
གཤེད-བྱེད	kṛtyā
བསྒྱུར-བའི-ལས	karma
གྱེངས-བྱེད	kiraṇaḥ
བྱད	kākhordaḥ
རོ-ལངས	vetālaḥ
སེམས-བསྒྱུར-བ	cicchaḥ
རྦོད-གཏོང	preṣakaḥ
སྐྱུག-ཉེས	duścharditam
བཟའ-ཉེས	durbhuktam
བསྒོམས-ཉེས-སམ-སྨྱུང-ཉེས	durlaṅghitam
བྲིས-ཉེས	durlikhitam
གནོད-ལྟས	duḥprekṣitam
གནོད-བལྟ-ཉེས-པ	duḥprekṣitam
གནོད-འགྲིབ	duśchāyaḥ
མཆེ-བ-འཇིགས-སུ-རུང-ཞིང-མི-སྡུག-པ	vikarālavikṛtadaṃṣṭraḥ
བཞིན-འཇིགས-སུ-རུང-བར-བསྒྱུར-བ	vikṛtavadanaḥ
ཕུར-པའམ-ཕུར-བུ	kīlaḥ
ལྟས-དང-མཚན-མར-གཟུང-བའི-མིང-ལ	utpātanimittāni
གནམ-གྲུམ-པའམ-སྒྲ-དྲག-པོ	nirghātaḥ
སྐར-མདའ-ལྟུང-བ	ulkāpātaḥ
འཇའ-འམ-དབང-པོའི-གཞུ	indracāpam
ཉི-མ-འཁྱིམས-པ	sūryapariveśaḥ
ལ-ཉེ	śakunam
སྐར-མའི-ཡི-གེ	jyotiṣam
རྨི-ལྟས-ཀྱི-སྤྱད	svapnādhyāyaḥ
བྱ-སྐད-ཀྱི-བརྡའ	śakunarutam
རྣམ-པར-ལྟུང-བྱེད	vyātipātaḥ
ལྟས-སུ-འབྱུང-མ	utpātaḥ
འཆི-ལྟས	ariṣṭam
དུས-འབྱོར-བ	lagnaḥ
དུས-སྦྱོར-བ	lagnaḥ
བྲང-ངེར-སྣང-བ	daṇḍabhāsaḥ
ཚད-མ-དང-རྟོག-གེ-བའི-གཞུང-ལུགས-ལས-འབྱུང-བའི-མིང-ལ	pramāṇatarkanirgatārthāḥ
དེ-མངོན-སུམ-དུ-དམིགས-པའི-མཚན-ཉིད	tatpratyakṣopalabdhilakṣaṇam
དེ-ལ-གནས-པ-མངོན-སུམ-དུ-དམིགས-པའི-མཚན-ཉིད	tadāśritya pratyakṣopalabdhilakṣaṇam (āśritapratyakṣopalabdhilakṣaṇam)
རང-གི-རིགས-ཀྱི-དཔེ-ཉེ-བར-སྦྱར-བའི-མཚན-ཉིད	svajātīyadṛṣṭāntopasaṃhāralakṣaṇam
ལུང-ཤིན-ཏུ-རྣམ-པར-དག-པས-གཏན-ལ-དབབ-པར-བསྟན-པའི-མཚན-ཉིད	suviśuddhāgamopadeśalakṣaṇam
དེ-ལས-གཞན-དང-མངོན-སུམ-དུ-དམིགས-པའི-མཚན-ཉིད	tadanyasārūpyopalabdhilakṣaṇam
དེ-ལས-གཞན-དང-མཐུན-པར-དམིགས-པའི-མཚན-ཉིད	tadanyasārūpyopalabdhilakṣaṇam
དེ-ལས-གཞན-དང-མི-མངོན-སུམ-དུ-དམིགས-པའི-མཚན-ཉིད	tadanyavairūpyopalabdhilakṣaṇam
དེ-ལས-གཞན-དང-མི-མཐུན-པར-དམིགས-པའི-མཚན-ཉིད	tadanyavairūpyopalabdhilakṣaṇam
ཐམས-ཅད-མཐུན-པར-དམིགས-པའི-མཚན-ཉིད	sarvasārūpyopalabdhilakṣaṇam
ཐམས-ཅད-མི-མཐུན-པར-དམིགས-པའི-མཚན-ཉིད	sarvavairūpyopalabdhilakṣaṇam
གཞན-གྱི-རིགས-ཀྱི-དཔེ-ཉེ-བར-སྦྱར-བའི-མཚན-ཉིད	anyajātīyadṛṣṭāntopasaṃhāralakṣaṇam
ཡོངས-སུ-མ-གྲུབ-པའི-མཚན-ཉིད	apariniṣpannalakṣaṇam
ལུང-རྣམ-པར-མ-དག-པ-བསྟན-པའི-མཚན-ཉིད	aviśuddhāgamopadeśalakṣaṇam
རྟོག-གེ	 tarkaḥ|tarkaḥ 
རྟོག-གེ-བ	tārkikaḥ
མངོན-སུམ-པ	pratyakṣam
རྗེས-སུ-དཔག-པ	anumānam
འཐད-པའམ-གཏན-ཚིགས	upapattiḥ
གཏན-ཚིགས	 hetuḥ|hetuḥ 
རྗེས-སུ-འགྲོ-བ	 anveti|anvayaḥ 
ལྡོགས-པ	vyatirekaḥ
མ-གྲུབ-པ	asiddhaḥ
འགལ-བ	viruddhaḥ
མ-ངེས-པ	anaikāntikaḥ
ཆོས-མཐུན-པ-ཅན	sādharmyavataḥ
ཆོས-མི-མཐུན-པ-ཅན	vaidharmyavataḥ
རྒྱུ-ལྟར-སྣང-བ	 hetvābhāsaḥ|hetvābhāsaḥ 
དཔེ-ལྟར-སྣང-བ	dṛṣṭāntābhāsaḥ
སུན-འབྱིན	dūṣaṇam
རང-གི-ཕྱོགས	svapakṣaḥ
གཞན-གྱི-ཕྱོགས	parapakṣaḥ
རྒོལ-བ	vādī
ཚུལ-གསུམ-པའི-རྟགས	trirūpaliṅgam
རང-གི-མཚན-ཉིད	svalakṣaṇam
སྤྱི	 sāmānyam|sāmāṇyam 
ཕྱོགས-སྔ-མ	pūrvapakṣaḥ
ཕྱོགས-ཕྱི-མ	uttarapakṣaḥ
ལན	 parihāraḥ|parihāraḥ 
ལན-གདབ-པ	samādhānam
རྗེས-སུ-དཔག-པར-བྱ-བ-ལ-ཡོད-པ	anumeye sattvam (anumeghe sattvam)
མཐུན-པའི-ཕྱོགས-ལ-ཡོད-པ	sapakṣe sattvam
མི-མཐུན-པའི-ཕྱོགས-ལ-མེད-པ	asapakṣe cāsattvam
སྲིད-པའི-ཚད-མ	sambhavatpramāṇam
བསྒྱུར-དུ-རུང-བ	ādheyātiśayaḥ
བསྒྱུར-དུ-མི-རུང-བ	anādheyātiśayaḥ
མཇུག-སྡུད	nigamanam
ཉེ-བར-སྦྱར-བ	upanayaḥ
ཉེ-བར-སྦྱོར-བ	upasaṃhāraḥ
རང-བཞིན-གྱི-གཏན-ཚིགས	svabhāvahetuḥ
འབྲས-བུའི-གཏན-ཚིགས	kāryahetuḥ
ཤེས-པར-བྱེད-པའི-གཏན-ཚིགས	jñāpakahetuḥ
མི-དམིགས-པ	anupalabdhi (anupalabdhihetuḥ)
གསལ-བར-བྱེད-པའི-རྒྱུ	vyañjakahetuḥ
དམ-བཅའ-པ	pratijñā
དོན-གྱི-སྤྱི	arthasāmānyam
བརྗོད-པའི-སྤྱི	abhilāpyasāmānyam
རྟོག-པ-དང-བྲལ-བའི-མཚན-ཉིད	kalpanāpoḍhalakṣaṇam
མ-ནོར-བའི-མཚན-ཉིད	abhrāntalakṣaṇam
ཡང-དག-པའི-ཤེས-པ	samyagjñānam
ལོག-པའི-ཤེས-པ	mithyājñānam
རྣམ-པར-རྟོག-པ-དང-བཅས-པ	 savikalpam|savikalpakam 
རྣམ-པར-རྟོག-པ-མེད-པ	 nirvikalpam|nirvikalpakam 
རྣམ-པ-དང-བཅས-པ	sākāram
རྣམ-པ-མེད-པ	nirākāram
གཞན-གྱི-རྣམ-པ	anyākāram
ཡོད-པ	sattā
བརྗོད-པར-བྱ-བ	vācyam
རྗོད-པར-བྱེད-པ	vācakaḥ
མེད-ན-མི-འབྱུང-བའི-འབྲེལ-བ	avinābhāvasaṃbandhaḥ
རང-གི-ཚད-མ	svataḥ pramāṇam
གཞན-གྱི-ཚད-མ	parataḥ pramāṇam (parataḥ pramralam)
དེའི-བདག-ཉིད-ཀྱི-མཚན-ཉིད-ཀྱིས-འབྲེལ-བ	tādātmyalakṣaṇasambandhaḥ
དེའི-བདག-ཉིད-ཀྱི-མཚན-ཉིད-ཀྱི-འབྲེལ-བ	tādātmyalakṣaṇasambandhaḥ
དེ-ལས-བྱུང-བའི-མཚན-ཉིད-ཀྱིས-འབྲེལ-བ	tadutpattilakṣaṇasambandhaḥ
དེ-ལས-བྱུང-བའི-མཚན-ཉིད-ཀྱི-འབྲེལ-བ	tadutpattilakṣaṇasambandhaḥ
འབྲེལ-བ-ནི-གཉིས-ལ-གནས-པ	dviṣṭho hi sambandhaḥ (dṛṣṭo dviṣṭho bhi sambandhaḥ)
གྲོག-མ-གྱེན-དུ-འཛེག-པ	pipīlikotsaraṇam
ཉ-འཕར-བ	matsyavikāraḥ (matsyavikaraḥ)
ཚང-མང	mahānasam
ཁུག-སྣ	nīhāraḥ
བ-མོ	tuṣāraḥ
ལྷན-ཅིག-བྱེད-པའི-རྐྱེན	sahakāripratyayaḥ
བརྩལ-མ-ཐག-ཏུ-འབྱུང-བ	prayatnāntarīyakaḥ
གཅིག-ལ-མ-གྲུབ-པ	anyatarāsiddhaḥ
རང-ལ-མ-གྲུབ-པ	svato 'siddhaḥ
ཕ-རོལ-མ-གྲུབ-པ	parato 'siddhaḥ
གཉིས-ཀ-ལ-མ-གྲུབ-པ	ubhayāsiddhaḥ
གཞི-མ-གྲུབ-པ	aśrayāsiddhaḥ
རྒོལ-བ-བདག-ཉིད-ལ-མ-གྲུབ-པ	svayaṃvādyasiddhaḥ
ཕྱིར-རྒོལ-བ-ལ-མ-གྲུབ-པ	prativādyasiddhaḥ
ཉེ-བར-ལེན-པའི-རྒྱུ	upādānakāraṇam
རིགས-མཐུན-པ	sajātīyaḥ
རིགས-མི-མཐུན-པ	vijātīyaḥ
སྒྲའི-ཚངས-པ	śabdabrahmā
ལྡོག-པ-སེལ-བ	vyāvṛttiḥ
གཞན-སེལ-བའི-སྒྲའི-དོན	anyāpohaḥ śabdārthaḥ
མེད-པར-དགག-པ	prasajya pratiṣedhaḥ
མ-ཡིན-པར-དགག-པ	paryudāsapratiṣedhaḥ
འཇིག-རྟེན-པའི-དོན-མ-ཡིན-པར-བྱུང-བ	alaukikārthotpattiḥ
རྨི-ལམ-དུ-རྨི-བའི-རྫས	svapnāntikarūpam
བསྐལ-བ	viprakarṣaḥ
རང-རིག-པ	svasaṃvedanam
ཕྱོགས-ཀྱི-ཆོས	pakṣadharmatvaṃ
རིམ-དང-ཅིག-ཅར	kramayaugapadyam (kramayogapatyam)
མ-ཏུ-ལུང-ག	mātuluṅgam
ཆུ-ཤིང	kadalī
རྩ-བ	skandhaḥ (kandaḥ)
འཆལ-བའམ-འཁྲུགས-པའམ-ཅལ-ཅོལ-དུ-གྱུར-བ	asamañjasaḥ
ཕྱེ-མ-ལེབ-ཁྲ-བོ	citrapataṅgaḥ
ཐལ-གྱུར	prasaṅgaḥ
ཨུཏ-པ-ལའི-རྩ-བ	 śālukam|śālūkaḥ 
ཚིག-གི-དོན-བཅུ-དྲུག	ṣoḍaśapadārthāḥ
ཚད-མ	pramāṇam
གཞལ-བྱ	prameyam
དགོས-པ	prayojanam
ཆ-ཤས	avayavaḥ
གཏན-ལ-དབབ-པ	nirṇayaḥ
རྩོད-པ	 adhikaraṇam|vādaḥ 
སུན-འབྱིན-དུ-རྒོལ-བ	vitaṇḍā
ཚིག-དོར	chalaḥ
ལྟག-ཆོད	 jātyuttaraḥ|jātiḥ 
ལྟག-གཅོད	jātiḥ
ཆད-པའི-གནས	nigrahasthānam
དབང-པོ-དང-དོན-དུ-འཕྲད-པ-ལས-བྱུང-བའི-ཤེས-པ-མངོན-སུམ	indriyārthasaṃnikarṣotpannajñānam pratyakṣam
འཁྲུལ-པ-མེད-པ	avyabhicārin
རྟོགས-པའི-བདག-ཉིད	vyavasāyātmakam
ཤེས-པ-ཡོད-པ	caitanyam
གཙོ-བོ	pradhānam
སྙིང-སྟོབས	sattvam
ཆེན-པོ	mahān
ངར-འཛིན-པ	ahaṃkāraḥ
བླའི-དབང-པོ-ལྔ	pañcabuddhīndriyāṇi
དེ-ཙམ-ལྔ	pañcatanmātrāṇi
ཕྲ-བ	aṇimā
མཆོད-པར-བྱ-བ	mahimā
བདག-པོར-གྱུར-བ	īśitvam
དབང-དུ-གྱུར-བ	vaśitvam
གར-ཡང-ཕྱིན-བ	prāptiḥ
འདོད-དགུར-ལྡན-པ	prākāmyam
དགའ-མགུར-གནས-པ	yatrakāmāvasāyitvam
མངོན-པ	abhivyaktiḥ
མངོན-པར-འབྱུང-བ	āvirbhāvaḥ
མི-མངོན-པར-འགྱུར-བ	tirobhāvaḥ
ཡོངས-སུ-འགྱུར-བ	pariṇāmaḥ
ཞ-བ	layaḥ
ངག-གམ-ཚིག	vāk
འདོམས	upastham
ཉེ-བ	 saṃnikṛṣṭaḥ|saṃnikṛṣṭaḥ 
རྒྱང-རིང-བ	viprakṛṣṭaḥ
རྣམ-པར-ལྡན-པ	vītaḥ
གསལ-ཏེ-འོངས-པ	āvītaḥ
ལྷན-ཅིག-འགྲོགས-པའི-འབྲེལ-བ	sahacarasambandhaḥ
གནོད-བྱ-གནོད-བྱེད-ཀྱི-འབྲེལ-བ	ghātyaghātakasambandhaḥ
རྗེས-ཁོལ-གྱི-མཚན-ཉིད-ཀྱི-འབྲེལ-བ	svasvāmilakṣaṇasambandhaḥ
གཞི-དང-བརྟེན-པའི-མཚན-ཉིད-ཀྱི-འབྲེལ-བ	ādhārādheyalakṣaṇasambandhaḥ
གཞི-དང-བརྟེན-པའི-མཚན-ཉིད-ཀྱིས-འབྲེལ-བ	ādhārādheyalakṣaṇasambandhaḥ
བྱ-བ-དང-བྱེད-པའི-མཚན-ཉིད-ཀྱི-འབྲེལ-བ	kāryakāraṇalakṣaṇasambandhaḥ
བྱ-བ-དང-བྱེད-པའི-མཚན-ཉིད-ཀྱིས-འབྲེལ-བ	kāryakāraṇalakṣaṇasambandhaḥ
ཆ-ཤས-དང-ཆ-ཤས-ཅན-གི-མཚན-ཉིད-ཀྱི-འབྲེལ-བ	avayavāvayavilakṣaṇasambandhaḥ
ཆ-ཤས-དང-ཆ-ཤས-ཅན-གི-མཚན-ཉིད-ཀྱིས-འབྲེལ-བ	avayavāvayavilakṣaṇasambandhaḥ
ཡོད-པ-དང-ཕྲད-ན-སྐྱེས-བུའི-དབང-པོ-རྣམས-ཀྱི-བློ-སྐྱེ-བ-ནི-མངོན-སུམ-མོ	satsaṃprayoge puruṣasyendriyāṇāṃbuddhijanmapratyakṣam
དོན-ལ-བལྟ-བའི-ཤེས-པ	arthālocanajñānam
སྔ-ན-མེད-པ	prāgabhāvaḥ
ཞིག-ནས-མེད-པ	pradhvaṃsābhāvaḥ
གཅིག-ལ-གཅིག-མེད-པ	itaretarābhāvaḥ
གཏན-མེད-པ	atyantābhāvaḥ
སྒྲ-ལས-བྱུང-བ	śābdaṃ (śabdam)
ཉེ-བར-འཇལ-བ	upamānam
དོན-གྱིས-གོ-བ	arthāpattiḥ
དངོས-པོ-མེད-པ	abhāvaḥ
ཐོས-པ	 śrutiḥ|śrutiḥ 
སྐྱེས-བུས-མ-བྱས-པ	apauruṣeyaḥ
བཟླས-དཀའ-བ	durbhaṇatvam (durbhāṣatvam)
རྫས	 dravyam|dravyam 
ལས	 karma|karma 
བྱེ-བྲག	viśeṣaḥ
འདུ-བ	sāmavāyaḥ
བོང-ཚོད	parimāṇam
ཕྲད-པ	saṃyogaḥ
དབྱེ-བ	vibhāgaḥ
སོ-སོ-བ	 pratyekam|pṛthaktvam 
ཕ-རོལ-མ-ཡིན-པ	aparatvam
ཁུ-བའམ-ཞུ-བའམ-གཤེར-བ	dravatvam
སྣུམ-པའམ-གཤེར-བ	snehaḥ
ཆོས-མ-ཡིན-པ	adharmaḥ
བྱས-པའི-ཤུགས	saṃskāraḥ
འབད-པ	prayatnaḥ
འདེགས-པ	 utkṣepaḥ|utkṣepaṇam (akṣepaṇam) 
འཇོག-པ	 nikṣepaḥ| prakṣepaḥ |avakṣepaṇam 
བསྐུམ-པ	 saṃkuñcanam|ākuñcanam (akuñcanam) 
བརྐྱང-བ	 prasāraḥ | prasāritaḥ|prasāraṇam 
འགྲོ-བ	 jaṅgamaḥ|gamanam 
དབང-པོ-གཉིས-ཀྱིས-གཟུང-བ	dvīndriyagrāhyam
སའི-རྡུལ-ཕྲ-རབ	pārthivaparamāṇuḥ
ཡོད-པ-ཆེན-པ	mahāsattā
ཉི-ཚེ-བའི-སྤྱི	avāntarasāmānyam
སྤྱི-ཆེན-པོ	mahāsāmānyam
འབྲས-བུ-སྔ-ན-ཡོད-པ	satkāryam
འབྲས-བུ-སྔ-ན-མེད-པ	asatkāryam
བདག-དང-དབང-པོ-དང-དོན-ལས-གང-བྱུང-བའི-ཤེས-པ-མངོན-སུམ-པ	ātmendriyārthād yad utpannam jñānaṃ pratyakṣam
སྤྲིན-གྱི-རྩ-བ-ནར-བར-སྣང-བ-ལས-ཆར-འབབ-པར-རྗེས-སུ-དཔག-པ	lambāmbudadarśanād
ཆུ-བྲུབ-པར-སྣང-བ-ལས-གོང-དུ-ཆར-འབབ-པར-རྗེས-སུ-དཔག-པ	nadīpūradarśanāduparivṛṣṭyanumānam
སྤྲིན-འཁྲིགས-པར-སྣང-བའམ-མཐོང-བ	meghonnatidarśanāt
དེ-ལྟ-བུ-ཡོད-ཅེས-གྲགས-པ	aitihyam
མཐོང-བས-ཚོར-བ	prātibham (pratibham)
བདག-ཏུ-འཛིན-པ	ātmagrāhaḥ
གཅིག-ཏུ-འཛིན-པ	ekatvagrāhaḥ
བྱེད-པར-འཛིན-པ	kartṛtvagrāhaḥ
རིལ-པོར-འཛིན-པ	piṇḍagrāhaḥ
ལྟ-བར-བྱིང-བ	dṛṣṭipraskannaḥ (dṛṣṭipraskantaḥ)
ལྟ-བ-ཐིབས-པོ	dṛṣṭigahanam
ལྟ-བའི-དགོན-པ	dṛṣṭikāntāram
